train-StdReturn,LossAfter,train-AverageReturn,train-MinReturn,Itr,Time-Sampling,LossBefore,Time-Optimization,Time,train-MaxReturn,train-EnvExecTime,ItrTime,train-PolicyExecTime,n_timesteps,Time-SampleProc,train-AverageDiscountedReturn,train-NumTrajs
65.52930691471691,-0.013703226,184.61364183471989,-5.449104259542127,161,22.73160171508789,-1.0177787e-05,0.5043301582336426,3584.232986688614,295.8322453323275,4.872042179107666,23.388431787490845,17.375328302383423,1620000,0.14944005012512207,105.73716659086286,100
59.71332809720192,-0.01507852,192.23121128509817,-6.26777794512015,162,22.735230445861816,-1.0153006e-05,0.5971817970275879,3607.768383741379,306.34223530890927,4.836223602294922,23.51933455467224,17.419280290603638,1630000,0.18041515350341797,110.41598435157377,100
63.28372153326945,-0.013269275,203.38761517720627,-15.524285607849514,163,22.684134006500244,-1.0120865e-05,0.5069317817687988,3631.1339433193207,302.16126788899777,4.881675720214844,23.348466157913208,17.361928701400757,1640000,0.15419459342956543,116.23322462908841,100
64.74235816298936,-0.01397924,194.77554097302362,-13.786057853313261,164,22.667306900024414,-1.0076569e-05,0.48991847038269043,3654.545132637024,297.83678819934755,4.977736949920654,23.39635133743286,17.229079246520996,1650000,0.23793244361877441,111.96029063244917,100
54.98852945614923,-0.013829278,210.4978517768425,3.784275098013002,165,21.489187240600586,-1.0045102e-05,0.5116045475006104,3676.7313289642334,301.47848917866264,4.760846853256226,22.165414810180664,16.26196050643921,1660000,0.16348648071289062,120.49076679852956,100
62.069200171868864,-0.011861952,199.5888218351857,38.5864388253851,166,22.401350498199463,-1.0033743e-05,0.5342628955841064,3699.848160505295,283.22669047502495,4.826775074005127,23.10173463821411,17.068869590759277,1670000,0.16515707969665527,113.91934300300603,100
56.088917064663406,-0.014805716,207.95254438317002,36.374456469508836,167,21.57248020172119,-9.988417e-06,0.5922400951385498,3722.279302597046,346.49140215329584,4.7228782176971436,22.41876459121704,16.404086589813232,1680000,0.2501499652862549,118.81046514401018,100
70.94146583590219,-0.0136645045,197.1301362466165,-26.763271992204942,168,19.718615531921387,-9.936932e-06,0.5524508953094482,3742.7158737182617,331.6557757793944,4.570230960845947,20.413793802261353,14.708287715911865,1690000,0.14139246940612793,113.95430437204577,100
49.98195873629184,-0.013008512,205.73553515990406,37.43020782907393,169,23.35541868209839,-9.914708e-06,0.690626859664917,3766.9771599769592,300.6401821442816,5.05500340461731,24.21489930152893,17.786958694458008,1700000,0.16685271263122559,117.0365915310526,100
61.668611658214765,-0.011909753,209.68527965595752,10.019042820467758,170,20.685434818267822,-9.88326e-06,0.43036508560180664,3788.2844660282135,318.53649771045195,4.903082847595215,21.28668737411499,15.321247577667236,1710000,0.16974639892578125,119.52815547257796,100
67.1609338974917,-0.0071116877,206.04584411541745,-4.821945144130283,171,21.935725450515747,-9.894973e-06,0.4719393253326416,3810.866115093231,311.91540823659614,5.087228536605835,22.563564777374268,16.37235140800476,1720000,0.15381288528442383,117.97332114115574,100
66.43949662499088,-0.010847255,194.87534147831965,-45.14342218550299,172,21.571837186813354,-9.8382925e-06,0.46282219886779785,3833.122535943985,287.9794026550877,4.870664358139038,22.24373483657837,16.238879442214966,1730000,0.2084200382232666,111.24033595243154,100
46.41702909453667,-0.012569409,225.34414957380923,21.705094964780418,173,24.600961446762085,-9.828522e-06,0.5166399478912354,3858.464462041855,307.1129796618428,5.107966661453247,25.329033136367798,18.970886707305908,1740000,0.2107834815979004,127.85503422837299,100
56.739481815871194,-0.011319871,212.4621928697785,-8.421183990823707,174,21.55462336540222,-9.780414e-06,0.4796133041381836,3880.6921615600586,303.71182805597715,4.730241775512695,22.21213126182556,16.366925716400146,1750000,0.17422986030578613,121.14043142608385,100
55.00260460379281,-0.013076633,212.1197970642794,-22.392356700239972,175,20.952579259872437,-9.768736e-06,0.4640023708343506,3902.2975368499756,318.45531700448737,4.790769815444946,21.59089732170105,15.706542730331421,1760000,0.17142581939697266,120.69830405325352,100
68.7484967112969,-0.013969913,200.97093140186595,-22.118743973491934,176,22.899911403656006,-9.748693e-06,0.46247005462646484,3925.858965396881,295.4353703479759,4.830264091491699,23.547539949417114,17.594486951828003,1770000,0.1832129955291748,115.3786821103069,100
64.77439552657904,-0.013244482,215.3310516057827,-43.71439981961355,177,21.482685089111328,-9.695203e-06,0.4894533157348633,3947.9834825992584,299.00970278940355,4.8080644607543945,22.10882258415222,16.229024648666382,1780000,0.13436222076416016,122.3923968059356,100
61.720798460286495,-0.014317208,215.95032187150613,-16.34544800415341,178,21.78680157661438,-9.682394e-06,0.5670809745788574,3970.5199825763702,304.25565986014135,4.988923788070679,22.52213716506958,16.342881202697754,1790000,0.16536831855773926,123.38555997693484,100
57.34642398000823,-0.014776194,208.54818879406594,23.946335817406002,179,21.47195816040039,-9.633059e-06,0.45927929878234863,3992.636726617813,301.6759630987892,4.7903735637664795,22.096340894699097,16.23200821876526,1800000,0.16365385055541992,119.82555295373136,100
54.77974786653245,-0.013375292,218.61004107642958,-50.90187840076008,180,21.49662208557129,-9.6107615e-06,0.5548200607299805,4014.9123845100403,305.20722504830314,4.895877361297607,22.25833010673523,16.158151865005493,1810000,0.20238423347473145,125.08283187459287,100
60.569241971451376,-0.01262111,210.3687007503556,4.0313627480861935,181,22.70772695541382,-9.562642e-06,0.6283378601074219,4038.4485573768616,316.8130442086659,4.761615991592407,23.513509035110474,17.474599361419678,1820000,0.1759624481201172,120.67327607248748,100
52.598337362056256,-0.0140705975,216.50090827296944,20.89999761462296,182,20.946250200271606,-9.519911e-06,0.4464113712310791,4060.100070476532,305.8970055516286,4.833794832229614,21.634430408477783,15.638964891433716,1830000,0.24069619178771973,123.46471044606032,100
59.84813708709647,-0.012939594,213.91423022961018,-69.07024321685971,183,21.468934535980225,-9.491143e-06,0.5755584239959717,4082.321501970291,305.58204133166413,4.780681848526001,22.205453157424927,16.23634696006775,1840000,0.15973687171936035,121.75234214376476,100
72.85644981266778,-0.01284821,215.59166668560673,-141.36188200385632,184,20.692447900772095,-9.45222e-06,0.45046186447143555,4103.639200925827,310.90351927412917,4.798548936843872,21.29794955253601,15.435727596282959,1850000,0.15339970588684082,123.03909801042238,100
59.66732273291967,-0.014586044,204.61027121085536,36.61139122663033,185,21.704901218414307,-9.45587e-06,0.4939701557159424,4126.029356718063,304.91242904019657,4.965077877044678,22.375218391418457,16.284128189086914,1860000,0.17551064491271973,117.64012248226187,100
51.26432201096596,-0.013898481,224.72629872820914,50.64208272973554,186,24.091087102890015,-9.401831e-06,0.5598287582397461,4150.8832359313965,313.9345135483821,4.937506914138794,24.8257474899292,18.675002336502075,1870000,0.17146706581115723,128.3887259503322,100
61.997256408046866,-0.014040295,214.41768295456532,10.697014059010996,187,22.318549633026123,-9.387707e-06,0.4950530529022217,4173.883725643158,313.217651557229,4.902766704559326,22.9877769947052,16.95622444152832,1880000,0.17352008819580078,123.52426710258564,100
56.897411901477625,-0.014385051,212.57699443397948,-20.651746716001178,188,21.474883317947388,-9.372235e-06,0.5108861923217773,4196.032328605652,306.7510504888115,4.753115892410278,22.136431455612183,16.241814374923706,1890000,0.15012598037719727,121.71829462752183,100
68.87162734261412,-0.015025772,206.49634589241901,-2.530021901524923,189,23.967015504837036,-9.362941e-06,0.5134139060974121,4220.706607103348,319.79241742726424,4.920414686203003,24.654263496398926,18.546123504638672,1900000,0.17070317268371582,119.43014884932484,100
57.62250610503349,-0.013938737,221.61405674953983,20.628268246467403,190,21.698694229125977,-9.311801e-06,0.42035865783691406,4242.982984542847,314.26020335824717,4.865023612976074,22.259796619415283,16.35767388343811,1910000,0.13961553573608398,127.18421342909603,100
71.79354688559746,-0.014259191,209.01832626352177,-18.36588268469832,191,22.72351622581482,-9.257972e-06,0.4945096969604492,4266.354689836502,319.05692739371506,4.848700284957886,23.356613874435425,17.39704203605652,1920000,0.13730549812316895,119.89106882138427,100
72.77035874953728,-0.014497631,215.99203668560497,-85.11046262262417,192,21.05937123298645,-9.268645e-06,0.42827486991882324,4288.0516810417175,315.23630645254934,4.786345958709717,21.682961225509644,15.82002568244934,1930000,0.19012188911437988,123.44497992780106,100
61.621124613303316,-0.012969793,221.74716432272842,-47.76719282852907,193,21.229238510131836,-9.2326745e-06,0.448486328125,4309.905797719955,311.9536194953637,4.704492807388306,21.83634090423584,16.070112943649292,1940000,0.15784215927124023,126.1584197462675,100
49.07090259155893,-0.013331661,232.62237422560017,94.14482313261159,194,21.94496250152588,-9.211854e-06,0.4698972702026367,4332.440028190613,342.10064021302156,4.957624912261963,22.51876425743103,16.507814407348633,1950000,0.10091447830200195,131.77643724908899,100
70.192821137952,-0.014176557,220.0656605123012,-80.0690280543831,195,22.275120735168457,-9.180293e-06,0.46314358711242676,4355.356667280197,321.1947800184141,4.926495790481567,22.89289093017578,16.871736764907837,1960000,0.15200161933898926,126.16389262039796,100
62.71030107482379,-0.01225974,225.43223592541216,-13.936322933580287,196,21.907920122146606,-9.177819e-06,0.5762515068054199,4378.050404787064,332.5881538586699,4.799692630767822,22.68207573890686,16.64442014694214,1970000,0.18535661697387695,129.33768721979234,100
61.57354500929203,-0.012669087,224.54402807436392,-11.973314962682426,197,22.396068572998047,-9.148164e-06,0.4985513687133789,4401.143069982529,332.6142322518159,5.015417575836182,23.074886560440063,16.905838012695312,1980000,0.17917633056640625,128.37449887766326,100
66.5220318963117,-0.012536662,232.5256534048331,-20.416214930180086,198,20.88203477859497,-9.125658e-06,0.47805213928222656,4422.700897455215,334.97467901077863,4.998245000839233,21.531434535980225,15.424145936965942,1990000,0.16983366012573242,132.67775600876456,100
52.30633462353185,-0.014110761,231.62787616150376,73.3383098357585,199,20.92348551750183,-9.106433e-06,0.4425995349884033,4444.242834329605,320.8896371633891,4.959570646286011,21.51796317100525,15.468205451965332,2000000,0.15072894096374512,132.94169592386555,100
56.95049152805778,-0.014625066,221.86946005918605,53.18862641130678,200,20.76117467880249,-9.085481e-06,0.5054283142089844,4465.685489177704,320.034088562436,4.665968894958496,21.432523012161255,15.65760350227356,2010000,0.1651020050048828,126.13053410593994,100
67.8034946602724,-0.013467757,223.8624590876055,17.26949186080959,201,21.28442144393921,-9.058921e-06,0.516761064529419,4487.678604841232,315.89603574051296,4.807453870773315,21.976775884628296,16.01932144165039,2020000,0.1730055809020996,129.4989275996037,100
57.02186532050593,-0.013509868,228.53387537987135,42.388036589616995,202,21.790287017822266,-9.034907e-06,0.4960322380065918,4510.245858669281,326.55321948936273,4.965008735656738,22.547308683395386,16.35559916496277,2030000,0.25904297828674316,131.5057886470525,100
67.7698755462777,-0.014269221,221.65848392531913,-18.946292133061995,203,21.805106163024902,-9.0115955e-06,0.4675130844116211,4532.678409576416,346.12097003395064,4.874387979507446,22.420307636260986,16.46487522125244,2040000,0.14702081680297852,126.66969361967887,100
56.14291198733453,-0.012049996,235.88512455510212,32.18700156418215,204,23.758010149002075,-8.992342e-06,0.49383020401000977,4557.1006581783295,330.00490180038526,5.087721586227417,24.403616428375244,18.1495144367218,2050000,0.14649033546447754,134.0483379279136,100
75.85297062646092,-0.011873806,230.79225996465718,-32.94264294556831,205,21.53057360649109,-8.972716e-06,0.4337456226348877,4579.223190546036,348.3608538145833,4.90032434463501,22.10593318939209,16.165639638900757,2060000,0.14030027389526367,131.39067367456477,100
67.87063071125618,-0.012940199,237.21377426042417,-14.17899270832382,206,21.64204454421997,-8.941105e-06,0.48906755447387695,4601.533667087555,351.1581235846739,4.753612756729126,22.29473066329956,16.42553186416626,2070000,0.15921354293823242,136.35103482174475,100
67.82875616881596,-0.014887915,223.6243094455915,-38.76007526575644,207,23.28020930290222,-8.9171535e-06,0.4503016471862793,4625.440634012222,348.4359698426452,4.980256795883179,23.889394998550415,17.734363555908203,2080000,0.15801095962524414,128.2109562795548,100
60.61735958359191,-0.01126284,230.3401975957291,11.745811916931153,208,22.795353174209595,-8.887581e-06,0.6782855987548828,4649.102685213089,314.88728770157604,5.057398557662964,23.651644706726074,17.247450590133667,2090000,0.17706513404846191,132.49466833581118,100
68.7679487634868,-0.014333286,226.53751461875333,-0.40505501994251725,209,22.18024253845215,-8.893056e-06,0.5124821662902832,4671.960485458374,335.5768071043131,5.047280550003052,22.841068029403687,16.639527320861816,2100000,0.1473848819732666,129.68246824534197,100
57.54167116073258,-0.0117455805,232.5725563674206,29.17566943219042,210,21.923357725143433,-8.88332e-06,0.7079250812530518,4694.850551605225,349.77071567976816,4.914801597595215,22.86621904373169,16.534757375717163,2110000,0.23277783393859863,134.11691842623517,100
60.23229131081185,-0.014394583,229.81960344670784,-24.88400054901614,211,23.856090784072876,-8.861952e-06,0.5077619552612305,4719.379290103912,312.3910128532912,5.068395614624023,24.51321053504944,18.281681060791016,2120000,0.14851903915405273,131.65277558548766,100
60.190363716666454,-0.014853991,232.24239446947232,41.38969340377084,212,22.55236291885376,-8.861305e-06,0.5679237842559814,4742.757594347,344.89328133234494,5.02671480178833,23.360244274139404,17.05409836769104,2130000,0.2283782958984375,133.22174078779523,100
