LossBefore,Itr,train-MinReturn,train-MaxReturn,Time,Time-Sampling,LossAfter,train-NumTrajs,Time-SampleProc,ItrTime,train-StdReturn,train-AverageReturn,train-EnvExecTime,Time-Optimization,train-PolicyExecTime,n_timesteps,train-AverageDiscountedReturn
-1.0097629e-05,169,80.68266230145574,235.80532664872842,1438.0521614551544,8.5866539478302,-0.009329912,100,0.035132646560668945,8.96978759765625,31.920266744956418,177.61477838356635,2.5637269020080566,0.34761571884155273,5.780383586883545,1700000,99.64169809243359
-1.0071625e-05,170,105.70153656940317,246.96246572696606,1444.694657087326,6.193675994873047,-0.011868711,100,0.03558158874511719,6.625712871551514,31.914934865672215,176.68145892935823,2.0685536861419678,0.3961813449859619,3.921191453933716,1710000,99.32584956417224
-1.0052934e-05,171,76.9122222746605,241.78185965829317,1451.8764464855194,6.660894393920898,-0.0068106907,100,0.027838706970214844,7.16428017616272,31.585066761251177,182.6340129337965,2.188215494155884,0.47536587715148926,4.266522645950317,1720000,102.67076904313531
-1.0010248e-05,172,82.79282580968416,246.27374290567633,1459.9727246761322,7.660590648651123,-0.011809977,100,0.04104948043823242,8.078375816345215,30.686894958358582,176.15345973154342,2.473698616027832,0.3762202262878418,4.956934690475464,1730000,99.52089246553673
-9.9651215e-06,173,91.60470107394963,245.12816797061382,1471.5291666984558,10.739049911499023,-0.009629478,100,0.12557697296142578,11.537791728973389,29.44936828608677,183.32650885268504,3.3783233165740967,0.670799970626831,7.053250551223755,1740000,102.69179602272737
-9.931009e-06,174,111.52681646677436,249.83459190791316,1481.6727199554443,9.541727781295776,-0.0067475764,100,0.10326790809631348,10.111552000045776,31.239779537644477,178.8706302929392,3.2028613090515137,0.4612748622894287,6.042092323303223,1750000,100.93109633287533
-9.904429e-06,175,66.27224891437969,243.62966645445664,1488.7934396266937,6.692806959152222,-0.009829532,100,0.03512406349182129,7.090169668197632,34.85414825575359,177.05206338583827,2.232663154602051,0.36193418502807617,4.2514708042144775,1760000,99.50308833071391
-9.883421e-06,176,105.26256577212548,269.2282650503581,1495.6699950695038,6.385666131973267,-0.010085289,100,0.0843207836151123,6.859685897827148,32.56629745409201,184.56035383164442,2.1364338397979736,0.38932156562805176,4.047356128692627,1770000,103.42398293941025
-9.857599e-06,177,125.44223801757809,257.45799163368804,1503.378088235855,7.0675177574157715,-0.007298806,100,0.053748369216918945,7.670271158218384,27.40326101503764,181.99886329266,2.2501606941223145,0.5482680797576904,4.603458642959595,1780000,103.15698410834722
-9.838798e-06,178,69.11799843928435,271.22182861806596,1512.5712451934814,8.527037143707275,-0.008348603,100,0.0709376335144043,9.167948246002197,35.37332102343632,180.36198779991457,2.6166977882385254,0.5648841857910156,5.669449329376221,1790000,101.4309668159333
