Itr,train-AverageReturn,Time-Optimization,train-EnvExecTime,train-MinReturn,Time-SampleProc,train-NumTrajs,LossAfter,n_timesteps,Time-Sampling,train-AverageDiscountedReturn,train-MaxReturn,train-PolicyExecTime,train-StdReturn,LossBefore,Time,ItrTime
43,25.799878034211282,0.22644972801208496,2.0873863697052,-37.05289019570632,0.04576396942138672,100,-0.017672658,440000,5.953141689300537,14.732906708270932,78.42121804169678,3.6731929779052734,26.1066804089487,-1.31008865e-05,276.8353066444397,6.2255942821502686
44,27.818214763995964,0.2340712547302246,2.041109800338745,-83.27122285402464,0.04202866554260254,100,-0.013107135,450000,5.799151420593262,16.164375501722176,113.75229588301586,3.5714685916900635,28.517033140538814,-1.3069621e-05,282.921804189682,6.075565338134766
45,24.725372718668304,0.21219897270202637,2.1823763847351074,-80.14744468195452,0.04775238037109375,100,-0.01467572,460000,6.217215299606323,14.783898516355242,100.56826066258745,3.835416555404663,31.584045520034184,-1.3034777e-05,289.4103329181671,6.4774580001831055
46,34.36476579540856,0.24053502082824707,2.1277523040771484,-91.1422376762429,0.042565107345581055,100,-0.017911276,470000,6.007052183151245,19.501039962151502,96.2473599012007,3.6863672733306885,28.887991751454944,-1.3009281e-05,295.71353483200073,6.290396451950073
47,31.815316759301925,0.22325873374938965,2.115835428237915,-56.31318876672356,0.05690646171569824,100,-0.018065235,480000,6.039441347122192,17.189003564209532,111.2854399013939,3.719844102859497,32.88276004400867,-1.2978319e-05,302.04407691955566,6.319828987121582
48,35.06504555470193,0.22968792915344238,2.0128936767578125,-62.310077873781445,0.04033708572387695,100,-0.018962553,490000,5.761571407318115,20.221771862659406,104.49223652347544,3.560779333114624,29.639052655161898,-1.295573e-05,308.0892391204834,6.031937122344971
49,40.5598495030413,0.21500229835510254,2.1239564418792725,-85.92175397853815,0.08921265602111816,100,-0.019349013,500000,6.051985740661621,23.41600843695653,119.64493674127162,3.730851411819458,35.169588657010856,-1.2939663e-05,314.46086835861206,6.359593391418457
50,40.491075684878766,0.21986627578735352,2.187854766845703,-87.2226836355944,0.07909679412841797,100,-0.01918096,510000,6.220461368560791,23.21301687613111,100.71859644701708,3.8321945667266846,32.881668197549125,-1.2920751e-05,320.99326515197754,6.519642353057861
51,38.62152130290949,0.22287678718566895,2.0580496788024902,-83.6082397095033,0.04170393943786621,100,-0.018763423,520000,5.852054834365845,23.25305228467632,99.8955798877487,3.6039161682128906,30.787832362920437,-1.2895275e-05,327.121244430542,6.11690616607666
52,39.98822925767704,0.24912738800048828,2.195354700088501,-32.09011473931307,0.03625607490539551,100,-0.014447777,530000,6.372341632843018,23.256334545514147,115.95376703464271,3.969660997390747,27.398233062780033,-1.2862822e-05,333.7892470359802,6.657964468002319
53,40.94631692090319,0.20589590072631836,2.1980395317077637,-36.173582352529735,0.08269619941711426,100,-0.012857967,540000,6.270761251449585,23.58391942138667,125.32872103515369,3.870656728744507,28.757946157016843,-1.2813407e-05,340.3662393093109,6.5652618408203125
54,46.94555333870435,0.23346686363220215,2.0402746200561523,-25.167464845355514,0.031253814697265625,100,-0.018365726,550000,5.843008518218994,27.451508573634356,103.88743307147463,3.613187074661255,28.77361178895415,-1.2749904e-05,346.48510813713074,6.108076095581055
55,47.711417941885095,0.25441551208496094,2.0594282150268555,-40.39841569754355,0.04382133483886719,100,-0.015628284,560000,5.860837936401367,27.17072413607359,130.4269111247039,3.6102700233459473,31.67227775036295,-1.2721795e-05,352.65532398223877,6.159297466278076
56,47.37316943085931,0.24605107307434082,2.177720069885254,-92.16659800231774,0.04286074638366699,100,-0.013750752,570000,6.165024518966675,26.981052518267838,118.96111685716811,3.785191059112549,39.228834801181705,-1.2679258e-05,359.1213731765747,6.4541966915130615
57,48.981075138230935,0.21432781219482422,2.211331605911255,-71.51095016553754,0.045618295669555664,100,-0.018596703,580000,6.314062833786011,29.044865203465314,107.53648231772489,3.8997130393981934,30.29506849009312,-1.265154e-05,365.7055685520172,6.574230670928955
58,50.90064211063391,0.234696626663208,2.179588556289673,-18.602503614332438,0.04692697525024414,100,-0.014322918,590000,6.17809271812439,29.664922123951598,148.86183272828868,3.7998955249786377,26.772410636150756,-1.2628542e-05,372.17692494392395,6.459944725036621
