train-MaxReturn,Time-Optimization,LossAfter,ItrTime,Time-SampleProc,train-MinReturn,train-PolicyExecTime,LossBefore,Itr,Time,n_timesteps,train-EnvExecTime,train-AverageReturn,Time-Sampling,train-AverageDiscountedReturn,train-StdReturn,train-NumTrajs
31.821075301912188,0.28968095779418945,-0.0016743034,5.683912754058838,0.06387734413146973,23.855378809334965,3.235490322113037,-1.3453129e-06,18,121.25266313552856,190000,1.9185526371002197,28.266363875322728,5.329978704452515,22.466881362931787,1.6230388482962645,100
32.45873812404905,0.5487885475158691,-0.0015434145,6.038004636764526,0.11449599266052246,23.908145895240853,3.269491672515869,-1.3509776e-06,19,127.305819272995,200000,1.9265620708465576,28.589486251410257,5.374136447906494,22.97518016664349,1.8280806759718975,100
31.952781545223203,0.274355411529541,-0.002650358,9.751521110534668,0.07896995544433594,23.491837342199144,5.689785957336426,-1.3380371e-06,20,137.09399390220642,210000,3.40547513961792,28.846866508079582,9.390259027481079,23.126960032851954,1.752100889316258,100
32.97481060503357,0.30413246154785156,-0.0034423831,5.6166932582855225,0.03762364387512207,24.279002165830633,3.178670644760132,-1.3404837e-06,21,142.72003436088562,220000,1.9206726551055908,28.628927132710764,5.274659633636475,22.953078168647885,1.699880091693654,100
31.980049579397395,0.2979905605316162,-0.0016199822,5.635993242263794,0.037817955017089844,22.05138013931812,3.21671199798584,-1.3356592e-06,22,148.36955976486206,230000,1.9098050594329834,29.01891667237179,5.299576759338379,23.23540216620437,1.7831861850996737,100
32.40405857421872,0.28522729873657227,-0.0014239482,9.160498857498169,0.03550529479980469,24.763698994978284,5.354279518127441,-1.3316803e-06,23,157.54611253738403,240000,3.2090766429901123,28.832900860643676,8.839251279830933,23.078439457232754,1.6719469580838406,100
32.99467759987618,0.2966175079345703,-0.0035682207,5.8043413162231445,0.08174324035644531,22.109781618007908,3.294818639755249,-1.3273277e-06,24,163.36550664901733,250000,1.9505596160888672,28.85106809284118,5.424657821655273,23.167765153477053,1.6824181517797212,100
32.84123919823203,0.3375277519226074,-0.0030767648,10.561272382736206,0.04014897346496582,24.217929159565475,6.178183555603027,-1.3178139e-06,25,173.94112420082092,260000,3.687333106994629,29.008658480759177,10.183272361755371,23.2323568806789,1.771979313916951,100
33.54939450243687,0.2994508743286133,-0.002236905,7.813416957855225,0.07547831535339355,25.091747089124524,4.516822814941406,-1.3046368e-06,26,181.76752948760986,270000,2.682101011276245,29.40742179200813,7.43626070022583,23.635271663829457,1.6668666013543214,100
32.90171449383208,0.32324647903442383,-0.0021155544,6.146829605102539,0.05256247520446777,23.877351823733267,3.5456464290618896,-1.3065151e-06,27,187.92385077476501,280000,2.0342657566070557,29.141659926163417,5.770738124847412,23.33543487006232,1.7613489937841913,100
33.55503741300329,0.9345517158508301,-0.0023374788,6.494166851043701,0.038376808166503906,19.62283635511638,3.3577826023101807,-1.298619e-06,28,194.42930555343628,290000,1.979257345199585,29.588765705426276,5.520885467529297,23.71984682559642,1.9331150663665835,100
32.564222898974634,0.35702085494995117,-0.0024317256,6.759373188018799,0.04312396049499512,5.987677257162795,3.855414628982544,-1.2910872e-06,29,201.2224407196045,300000,2.29758882522583,28.849239826347755,6.35881495475769,23.13148407458552,3.137203606692798,100
33.49787857305409,0.3269991874694824,-0.0011461703,7.192959547042847,0.04883909225463867,23.317206875921084,4.115533828735352,-1.2909053e-06,30,208.42939829826355,310000,2.480175495147705,29.856969391835918,6.816828012466431,23.928993905887822,1.753890505057485,100
34.507914484898684,0.3758115768432617,-0.0016860882,7.191039323806763,0.11336088180541992,-4.599102940652387,4.049848794937134,-1.279388e-06,31,215.63615489006042,320000,2.436939001083374,29.61143806365824,6.701565980911255,23.789199963805622,3.9649199893475786,100
33.334522247788996,0.3428988456726074,-0.0028657224,7.28026008605957,0.05418658256530762,8.390792832773014,4.1924309730529785,-1.2780824e-06,32,222.93142914772034,330000,2.471501350402832,29.434496702174183,6.882706880569458,23.569346837646002,3.1910503923033717,100
34.05505921459717,0.30953502655029297,-0.0020428589,7.247080087661743,0.11741304397583008,-1.1599623147484006,4.129059791564941,-1.2741878e-06,33,230.19658780097961,340000,2.472712278366089,30.0790291414368,6.819667339324951,24.037897466713474,3.5414784243289974,100
33.19505830875343,0.28344035148620605,-0.003921016,6.741952180862427,0.10423660278320312,23.38304852865266,3.888766288757324,-1.2763909e-06,34,236.95377683639526,350000,2.258991241455078,30.582078832488328,6.3538453578948975,24.30376265976529,1.6859738558859747,100
34.52931878980501,0.31351304054260254,-0.0018905314,5.931267738342285,0.037627220153808594,26.081113384191823,3.4079484939575195,-1.259916e-06,35,242.8974940776825,360000,1.98972749710083,30.549579284092363,5.579907655715942,24.27472129350784,1.7151003928484627,100
