train-MaxReturn,train-AverageDiscountedReturn,train-NumTrajs,Itr,LossBefore,train-AverageReturn,ItrTime,train-PolicyExecTime,train-EnvExecTime,LossAfter,Time-Sampling,Time-SampleProc,Time-Optimization,Time,train-MinReturn,n_timesteps,train-StdReturn
234.62883419146718,123.4854075991088,100,21,-1.37411125e-05,220.5939467259963,8.767932891845703,4.544422388076782,3.581097364425659,-0.005787133,8.377980947494507,0.060494422912597656,0.329235315322876,158.595618724823,180.01513227385118,220000,9.206488590225748
240.0716130612553,125.24516540909846,100,22,-1.37011875e-05,224.07194324356558,8.774236917495728,4.609515190124512,3.5508038997650146,-0.005428242,8.418582439422607,0.04715871810913086,0.30821990966796875,167.38168501853943,191.1834795482307,230000,8.357971732307448
241.02873205379777,126.17498804633014,100,23,-1.3659419e-05,226.037866588251,11.93616771697998,6.23163628578186,4.837747812271118,-0.005292159,11.42153024673462,0.08761215209960938,0.4266798496246338,179.3281593322754,182.30571128549707,240000,7.951672159026965
242.53215723033915,126.50716387492439,100,24,-1.3626705e-05,226.37142125320602,9.30693006515503,4.735601425170898,3.6414835453033447,-0.0031950362,8.643528461456299,0.04964113235473633,0.6125948429107666,188.65208458900452,199.42724227854322,250000,8.709078228655269
242.4496015251153,127.59804197851128,100,25,-1.361846e-05,229.29918571638345,8.935266971588135,4.627582311630249,3.648249864578247,-0.0045015546,8.53747844696045,0.05053877830505371,0.3468964099884033,197.60788655281067,196.7901422677258,260000,6.756922872141555
243.4820797611147,127.48578620678018,100,26,-1.3552871e-05,228.91721593993213,8.818691730499268,4.571192979812622,3.598224639892578,-0.0044870796,8.424785137176514,0.053313493728637695,0.3403282165527344,206.44200730323792,204.90652300557363,270000,7.027393468870055
244.60650194831493,129.23692218093905,100,27,-1.3498326e-05,231.6725565337742,11.812488317489624,6.16544246673584,4.89200234413147,-0.004952422,11.407124042510986,0.0431818962097168,0.36190032958984375,218.31170415878296,212.34340448841186,280000,6.0723714912754385
246.5065706568368,129.22822202901648,100,28,-1.3456816e-05,231.91601264987963,8.794081211090088,4.520646572113037,3.606032609939575,-0.0043712338,8.382200002670288,0.04516959190368652,0.3663303852081299,227.1200385093689,200.87482989411333,290000,6.615517724321733
246.1270244741352,130.56055456548077,100,29,-1.3434387e-05,234.1841480169865,11.787611961364746,6.134160280227661,4.920013904571533,-0.004820417,11.389615297317505,0.045128583908081055,0.3524057865142822,238.9223861694336,220.43477531424438,300000,4.8893919524941465
243.98411603657803,130.61242191282392,100,30,-1.3381677e-05,233.75485138221927,8.769123077392578,4.532175540924072,3.577381134033203,-0.0032514348,8.366732597351074,0.044853925704956055,0.3572421073913574,247.70660662651062,208.44184989585398,310000,6.470916220536321
