n_timesteps,LossAfter,train-AverageDiscountedReturn,Time-SampleProc,train-AverageReturn,train-MaxReturn,Time-Optimization,Time,Itr,ItrTime,train-NumTrajs,train-StdReturn,LossBefore,train-PolicyExecTime,Time-Sampling,train-EnvExecTime,train-MinReturn
610000,-0.0045930296,-23.612365803304172,0.1310567855834961,-37.454266382036714,44.73992760465185,1.084874153137207,1519.6830604076385,60,24.404027462005615,100,34.126910693619536,3.0517577e-09,14.096687078475952,23.187321662902832,8.388253450393677,-135.4883429827433
620000,-0.0067734225,-24.62982095530161,0.11486649513244629,-40.15769861458086,33.72354101987024,1.1006667613983154,1544.2169740200043,61,24.471339225769043,100,30.738427943845036,-0.00047535094,14.271042108535767,23.255197763442993,8.270710229873657,-115.0835081802001
630000,-0.0058153076,-23.07135027107661,0.15701961517333984,-36.29986386633843,58.35403432510909,1.2235691547393799,1569.2296569347382,62,24.95100712776184,100,30.85225812561179,1.2207031e-08,14.413157939910889,23.569684743881226,8.446306943893433,-156.4844115898888
640000,-0.0066286027,-27.525796001586492,0.12243223190307617,-42.792379566427805,66.47473731816575,1.1717171669006348,1594.257934808731,63,24.946274995803833,100,30.224020107995337,-6.1035155e-09,14.509909629821777,23.651304721832275,8.422213315963745,-102.57544846543294
650000,-0.006676979,-21.592475948642537,0.1267719268798828,-33.39183401547676,35.241297934894234,1.1954412460327148,1618.8859324455261,64,24.55726146697998,100,30.79626530957149,5.340576e-09,14.193889379501343,23.234323024749756,8.337889671325684,-106.97105014177272
660000,-0.0061427187,-21.345841882975108,0.12368345260620117,-32.68126174203,31.67379101035772,1.2428994178771973,1643.8856117725372,65,24.924551248550415,100,26.754523230142635,-6.1035155e-09,14.476266384124756,23.55721616744995,8.369032621383667,-113.60796701124787
670000,-0.005020284,-21.203586224383844,0.133087158203125,-32.2530462918872,35.81474274465173,1.2543742656707764,1669.8452105522156,66,25.882179021835327,100,34.433872233498334,-7.6293943e-10,15.037422180175781,24.493976354599,8.711570978164673,-153.4091741552524
680000,-0.0044791717,-21.810495401502404,0.11893057823181152,-33.3728525844826,69.07356603596382,1.0997982025146484,1695.113507270813,67,25.207143783569336,100,29.863970705661295,-6.1035155e-09,14.696250915527344,23.987712144851685,8.564464092254639,-130.94485958965208
690000,-0.0034409119,-24.112748157800237,0.15088772773742676,-37.88999493647253,33.75360012779377,1.122206687927246,1720.0006687641144,68,24.82500457763672,100,34.44627769394333,-3.8146974e-09,14.444995164871216,23.5511531829834,8.38899827003479,-116.44926870070077
700000,-0.0043875547,-20.72616895176173,0.12780261039733887,-32.708552320260196,53.65972214769176,1.0853493213653564,1744.476188659668,69,24.409719467163086,100,33.255880005294294,1.525879e-08,14.16730809211731,23.195372343063354,8.333590984344482,-130.58863265187927
710000,-0.0054012663,-14.184106706803787,0.14908504486083984,-21.107298374686412,61.00792968931972,1.1202702522277832,1768.963597536087,70,24.42373752593994,100,30.673655799703347,4.577637e-09,14.136923551559448,23.15365505218506,8.313522100448608,-98.26591955374835
720000,-0.0032965958,-14.127955122267393,0.13655376434326172,-22.44486255848395,49.15502304359202,1.0985767841339111,1793.42861866951,71,24.39823079109192,100,30.9207853271694,-9.155274e-09,14.152537107467651,23.162378072738647,8.306251525878906,-103.65567126805271
730000,-0.006415206,-19.477298057221574,0.12530016899108887,-29.312173289116817,51.430459113019225,1.1125373840332031,1817.965586423874,72,24.47311520576477,100,30.800171334321544,-0.0005788773,14.208831787109375,23.23445439338684,8.31444525718689,-109.44841496871841
740000,-0.005907794,-19.746634256261117,0.13687419891357422,-30.307231035225204,58.867731963871556,1.1186554431915283,1842.5982913970947,73,24.56771445274353,100,30.040966979654023,6.1035155e-09,14.263328075408936,23.31159257888794,8.345103025436401,-96.58450291396419
750000,-0.004781184,-19.419643290147725,0.12422657012939453,-29.1875805407157,33.982732043413236,1.1155891418457031,1867.0440981388092,74,24.380704641342163,100,31.486516932526698,2.2888185e-09,14.054494142532349,23.14029312133789,8.384826421737671,-105.41829875924385
760000,-0.00471792,-20.107727128015608,0.1520380973815918,-31.48559421735678,57.72584706144168,1.089482307434082,1891.5118510723114,75,24.403483867645264,100,34.22490724176734,2.1362304e-08,14.170501708984375,23.161222457885742,8.29567575454712,-119.97890892643599
770000,-0.0051822783,-20.24630559328221,0.1231083869934082,-31.389120547939868,63.18413620495628,1.1066577434539795,1915.9031991958618,76,24.32491946220398,100,35.86397283211577,1.5258789e-09,14.050869941711426,23.0942804813385,8.340600967407227,-126.77981333378143
780000,-0.0042357882,-21.492561014980808,0.12124156951904297,-31.840174138850465,39.77314863355844,1.0994832515716553,1940.4590668678284,77,24.49523162841797,100,31.52753899092199,-1.449585e-08,14.221094369888306,23.273932933807373,8.347387790679932,-148.00172543233583
790000,-0.0037706664,-18.59273186324843,0.14369606971740723,-27.477097514560278,49.290029592556984,1.1044092178344727,1965.0541694164276,78,24.530534505844116,100,34.253097056640414,3.0517577e-09,14.238540410995483,23.281665086746216,8.344550132751465,-124.56772070591703
800000,-0.005336618,-24.140451090810316,0.12111139297485352,-38.14286894097713,42.7941988591423,1.0888233184814453,1989.5092885494232,79,24.38725972175598,100,35.53844537753094,-0.0005129089,14.144606113433838,23.176514148712158,8.336339235305786,-132.31205904953018
810000,-0.0049349703,-18.597471905483957,0.12211275100708008,-29.498137554301856,51.51301195364749,1.1282691955566406,2014.2351732254028,80,24.663377046585083,100,35.17126733966518,-4.4822692e-09,14.300821542739868,23.412267446517944,8.38770604133606,-128.9665184937581
820000,-0.0075152772,-24.72525179124039,0.12347745895385742,-39.172037484528694,32.18302627813593,1.1305699348449707,2038.70290517807,81,24.399045705795288,100,34.015592816374884,-2.2888185e-09,14.135974407196045,23.144007682800293,8.31178069114685,-122.36754304575523
830000,-0.0074520204,-21.806710204402776,0.12116408348083496,-34.08990081207824,47.29193583347243,1.1324026584625244,2063.1687150001526,82,24.393308639526367,100,34.81928574677518,-6.1035155e-09,14.1552255153656,23.139078855514526,8.287417650222778,-143.60346098046776
840000,-0.0027984343,-19.50688980344406,0.20319557189941406,-29.235379467505805,35.0840124881346,1.226297378540039,2087.812397480011,83,24.5817654132843,100,32.28371896195716,1.3272094e-05,14.153904438018799,23.151161432266235,8.297053337097168,-137.4301486068046
850000,-0.0051040957,-18.44264003826156,0.12771058082580566,-28.627432234738773,44.27739235643103,1.638758659362793,2112.270128965378,84,24.391730546951294,100,35.08732273873251,-6.1035155e-09,13.757866382598877,22.624598741531372,8.176308155059814,-111.77522214246837
860000,-0.006309656,-17.985727428096876,0.12201952934265137,-27.77978696769082,46.10821921582897,1.1598014831542969,2136.3045947551727,85,23.949767112731934,100,32.672090371997946,-3.0517577e-09,13.800973415374756,22.666353702545166,8.1773841381073,-109.50559901324684
870000,-0.003880475,-15.763213092753153,0.12498807907104492,-24.099287866873976,39.582419074012165,1.1028354167938232,2160.7117159366608,86,24.320598602294922,100,28.650372394292347,-1.525879e-08,14.094835758209229,23.091779232025146,8.285721778869629,-104.9815551726831
880000,-0.005747284,-18.01097158236156,0.12898755073547363,-27.834043534315175,79.39603439628911,1.0989556312561035,2185.266115427017,87,24.486324787139893,100,40.87004547498938,3.0517577e-09,14.219372987747192,23.257611989974976,8.333579540252686,-129.43938761897965
890000,-0.006987892,-14.114079833642645,0.12534189224243164,-19.983222713736794,45.67567438350194,1.0917224884033203,2209.7864937782288,88,24.45879292488098,100,31.417544876861772,-1.2207031e-08,14.280808448791504,23.240689754486084,8.25723385810852,-125.9669072024767
900000,-0.008056322,-15.804245594888544,0.15209341049194336,-22.468044097431275,74.31111066732808,1.1284310817718506,2234.1687116622925,89,24.320106983184814,100,34.69780483705504,-3.0517577e-09,14.052131175994873,23.039020538330078,8.279245138168335,-142.9326510079141
910000,-0.003906537,-15.092980350562668,0.12221193313598633,-22.981462529930912,69.96155866863118,1.1146824359893799,2258.667508125305,90,24.436872005462646,100,32.37867919953952,1.2207031e-08,14.216019868850708,23.199256420135498,8.292099952697754,-138.58215531856862
920000,-0.00592251,-15.628275047455663,0.12700319290161133,-23.855466032663795,43.18627131475242,1.111846685409546,2283.0234088897705,91,24.294548273086548,100,33.03530640431997,6.1035155e-09,14.05502986907959,23.05499005317688,8.290804862976074,-113.88741587682863
930000,-0.0062047415,-14.694652745560225,0.12155699729919434,-20.84469620643862,61.65476132816315,1.1042721271514893,2307.5136213302612,92,24.421837329864502,100,33.597261210697155,1.5258789e-09,14.187963485717773,23.195387840270996,8.284168004989624,-94.49540607491869
940000,-0.0027512466,-15.471071394478207,0.14064836502075195,-23.319585582880332,50.333187078673674,1.1128885746002197,2331.950234889984,93,24.379359245300293,100,30.471773840488833,-1.6784668e-08,14.10282015800476,23.1251962184906,8.30781102180481,-103.61573224581848
950000,-0.0050374633,-10.041161424245592,0.12572550773620605,-13.369260594635028,69.04680536107901,1.1048252582550049,2356.3991327285767,94,24.38565754890442,100,33.13873531807002,-2.3317337e-08,14.178534507751465,23.154375314712524,8.287937879562378,-94.02999230909201
960000,-0.0048015886,-9.315486781586076,0.12468862533569336,-12.830098182093673,66.99750296824857,1.08742356300354,2380.89284992218,95,24.429387092590332,100,31.450614981305645,4.577637e-09,14.193286180496216,23.216497659683228,8.327512264251709,-91.22099516212192
970000,-0.0047668945,-10.560330309295091,0.15571999549865723,-15.068661872324167,48.16029541970689,1.1346666812896729,2405.432270526886,96,24.481220960617065,100,33.505961338763534,-0.00032765503,14.147774457931519,23.190184116363525,8.340724468231201,-139.78221733731755
980000,-0.005003366,-10.741366216542447,0.13183355331420898,-14.54275761206486,52.374488550603665,1.1092817783355713,2429.8769960403442,97,24.380284547805786,100,32.53702686855677,-9.155274e-09,14.136378288269043,23.13844609260559,8.304102897644043,-117.63434351345565
