train-StdReturn,Time,train-AverageDiscountedReturn,train-MinReturn,LossAfter,train-PolicyExecTime,Time-Optimization,train-AverageReturn,train-NumTrajs,train-EnvExecTime,n_timesteps,LossBefore,Itr,train-MaxReturn,Time-SampleProc,ItrTime,Time-Sampling
37.143228182599046,3232.696525335312,27.870091968466753,-100.6645532971923,-0.0028193346,15.357606649398804,1.1170217990875244,51.734451805009364,100,8.975450038909912,1310000,-1.1732694e-05,130,130.7914096582421,0.1449422836303711,26.35046887397766,25.087800979614258
34.85753171545514,3261.305486679077,30.835639207473097,-28.238904792738634,0.0001656431,16.802085399627686,1.1384875774383545,56.57824904828245,100,9.618641138076782,1320000,-1.1723535e-05,131,143.2117698157762,0.14061880111694336,28.531759023666382,27.251625299453735
39.00823209883783,3286.723340034485,32.390007114955,-65.54774404703804,-0.017687654,14.649190425872803,1.1478240489959717,58.591528660473735,100,8.693771839141846,1330000,-1.1706757e-05,132,132.1341637976766,0.13459444046020508,25.346420764923096,24.063262224197388
36.415044318121375,3312.4682726860046,32.25366759075909,-37.4178254635735,-0.013312423,14.877817630767822,1.1553926467895508,58.76396442021353,100,8.765690565109253,1340000,-1.1677514e-05,133,129.90086606949606,0.1354837417602539,25.666529178619385,24.374837398529053
40.14428579921185,3338.001490831375,32.54065735958014,-101.61635116685198,-0.012560825,14.754279375076294,1.157285451889038,58.88335372840337,100,8.678011417388916,1350000,-1.16655365e-05,134,152.52518196872222,0.14774036407470703,25.46142888069153,24.155567407608032
38.07682954018112,3363.218178510666,33.63062798541462,-41.14142320341381,-0.008363261,14.478590726852417,1.1446259021759033,60.54936291098586,100,8.660310983657837,1360000,-1.1660623e-05,135,132.95660475624234,0.13149762153625488,25.142470121383667,23.86541509628296
35.22475218546318,3388.502265691757,30.903868133011287,-25.423909385090383,-0.002132157,14.557876110076904,1.1374540328979492,56.15169643635461,100,8.664026737213135,1370000,-1.165012e-05,136,137.84305055253273,0.1289360523223877,25.216850996017456,23.949143409729004
37.879601065508204,3413.826014280319,33.482884635564304,-36.895360337452864,-0.005225402,14.574450016021729,1.1235466003417969,60.40060878179237,100,8.680894136428833,1380000,-1.164847e-05,137,155.89319412940367,0.1435856819152832,25.25586247444153,23.987690687179565
35.231410712709824,3439.5005407333374,35.30067809346592,-40.99541504347235,-0.0125923455,14.682546377182007,1.329777717590332,61.264071669611404,100,8.706855773925781,1390000,-1.1627043e-05,138,144.09917051853543,0.14206480979919434,25.594110250473022,24.1214599609375
34.13981311262852,3464.248727083206,34.55081631440158,-55.275601719951446,-0.012287002,14.191171407699585,1.1211848258972168,60.89037069521119,100,8.525027751922607,1400000,-1.1588995e-05,139,135.50821061339275,0.12482285499572754,24.666359663009644,23.419602632522583
32.85471558853787,3488.896636247635,32.85394540073448,-15.34948997771033,-0.0105981305,14.15640377998352,1.1100001335144043,59.53608206662015,100,8.491193294525146,1410000,-1.1558029e-05,140,147.47721284035177,0.11787557601928711,24.576074600219727,23.34737539291382
