train-MaxReturn,n_timesteps,train-PolicyExecTime,Time-Sampling,train-EnvExecTime,Time-Optimization,LossAfter,train-StdReturn,train-MinReturn,LossBefore,ItrTime,Time-SampleProc,train-AverageDiscountedReturn,Itr,Time,train-NumTrajs,train-AverageReturn
279.24247403160916,1090000,16.40728735923767,23.2868709564209,6.440739154815674,0.42319464683532715,-0.0032691152,11.78928247425473,161.77847199699522,-1.007287e-05,23.88901376724243,0.17044401168823242,146.41585272014174,108,2687.016926050186,100,266.336200913248
279.24987020502846,1100000,15.775498151779175,22.644999504089355,6.413027048110962,0.3778340816497803,-0.0036825868,12.439626817600567,167.190715060387,-1.0032543e-05,23.18679118156433,0.16246724128723145,145.69737154443894,109,2710.218747854233,100,265.3197415489399
277.6063639302331,1110000,15.821913957595825,22.73234224319458,6.446104288101196,0.43663477897644043,-0.0038881456,5.721703121110202,246.59805863107863,-1.00048865e-05,23.33853816986084,0.16864013671875,146.52880619044168,110,2733.574323415756,100,266.8250530168586
276.41511826963307,1120000,16.783841371536255,23.52602195739746,6.278311014175415,0.4600231647491455,-0.0035048407,12.78105704003779,150.3248557681773,-9.989331e-06,24.177894830703735,0.19128704071044922,146.2975033633208,111,2757.7632739543915,100,265.57272735926654
280.6156646881741,1130000,17.578389644622803,24.63366961479187,6.585555076599121,0.5508737564086914,-0.002787643,11.871890060007305,162.8238061611985,-9.982218e-06,25.336530685424805,0.15133333206176758,146.73737911802203,112,2783.114619255066,100,266.91397191462255
277.19592937218255,1140000,14.873345136642456,21.441956281661987,6.11558723449707,0.4284183979034424,-0.0032514287,5.58049483546021,238.2278181503806,-9.948599e-06,22.023854970932007,0.15157508850097656,146.32806865405485,113,2805.1584162712097,100,265.9732270718307
279.017779058462,1150000,16.028313636779785,23.05778169631958,6.563199043273926,0.4891929626464844,-0.0034587246,4.847903801119339,251.23199101693584,-9.9349145e-06,23.701488494873047,0.15254735946655273,146.47898864306052,114,2828.8772869110107,100,266.7559299243823
276.995939852763,1160000,16.290565252304077,23.349651336669922,6.556487560272217,0.4167513847351074,-0.004546413,5.4344109255581365,242.88257042804025,-9.907234e-06,23.89433002471924,0.12712788581848145,146.83688855559853,115,2852.783527612686,100,267.5053934442227
277.1372695651963,1170000,17.821476697921753,24.7646381855011,6.476018190383911,0.43584418296813965,-0.00550265,6.063509389828734,241.65398019808805,-9.876486e-06,25.348066806793213,0.14677143096923828,147.0455995578684,116,2878.146836042404,100,267.70870342267574
277.3821318536302,1180000,17.363487482070923,24.06185507774353,6.246776342391968,0.47307395935058594,-0.003103372,18.375117530500866,163.75378812188836,-9.84553e-06,24.707242250442505,0.16679739952087402,145.2019477463813,117,2902.8698840141296,100,262.99437436268715
