LossAfter,train-EnvExecTime,Itr,Time-SampleProc,train-AverageReturn,train-StdReturn,LossBefore,n_timesteps,ItrTime,train-NumTrajs,train-AverageDiscountedReturn,Time-Optimization,Time-Sampling,train-MinReturn,train-PolicyExecTime,train-MaxReturn,Time
-0.014819835,8.745779752731323,87,0.12174439430236816,-7.252556175757153,28.961048110188706,-1.34434495e-05,880000,25.56884789466858,100,-5.989482265733111,1.1711933612823486,24.275153636932373,-86.88276646550578,14.749356269836426,46.60605248085243,2252.96070933342
-0.016918534,8.650863885879517,88,0.13387036323547363,-12.008714469637882,27.925230673966244,-1.3478573e-05,890000,25.267889499664307,100,-9.212003781760162,1.1126010417938232,24.02065420150757,-93.34405621384734,14.601885795593262,50.39391989359159,2278.307448863983
-0.01618739,8.70470118522644,89,0.1273045539855957,-9.55497633768137,32.107845392100096,-1.3430322e-05,900000,25.454768657684326,100,-7.65681234531401,1.176997423171997,24.149651527404785,-86.03242529779844,14.656942129135132,76.75908961688874,2303.8356664180756
-0.01573694,8.669881582260132,90,0.15032577514648438,-10.294336229040882,27.530255260804797,-1.3430648e-05,910000,25.54184317588806,100,-7.863142095036124,1.1857404708862305,24.204999208450317,-82.44757325634262,14.754576921463013,58.139434925378715,2329.449049949646
-0.018150425,8.734946012496948,91,0.13027358055114746,-6.2074752814614,26.80439778109111,-1.3412303e-05,920000,25.482466220855713,100,-5.442970500997107,1.1238157749176025,24.2276451587677,-79.33117233906316,14.713592052459717,52.89484750146916,2355.00763463974
-0.016666636,8.704556465148926,92,0.13205933570861816,-2.6457086710160356,34.86552651540872,-1.3370052e-05,930000,25.3856041431427,100,-3.1940354796845907,1.1523950099945068,24.100509881973267,-90.05520192715255,14.613699197769165,73.818832807468,2380.4639434814453
-0.01524842,8.684887647628784,93,0.1388397216796875,-5.770073635707396,29.832419770886226,-1.3356314e-05,940000,25.45507311820984,100,-5.248721164425653,1.1508855819702148,24.163541316986084,-71.25057020957912,14.707572221755981,72.546292930188,2405.9901254177094
-0.01588554,8.678093194961548,94,0.15977168083190918,-2.9757774650141697,28.596744004714143,-1.33266685e-05,950000,25.412789583206177,100,-4.100419025837851,1.1473639011383057,24.104646682739258,-67.19593883812048,14.645096778869629,69.41179920945513,2431.4707539081573
-0.016173253,8.654395341873169,95,0.12807488441467285,-2.9868970009324896,30.52903829953257,-1.3332286e-05,960000,25.349218368530273,100,-3.5329994766313964,1.1584341526031494,24.062039613723755,-102.77685441972109,14.641917943954468,58.673834118275565,2456.887869119644
-0.015360062,8.661592721939087,96,0.12897133827209473,-6.144208128196688,28.516373611788513,-1.3318754e-05,970000,25.54112982749939,100,-5.804732396961896,1.1586344242095947,24.25264835357666,-69.73450517422766,14.807549238204956,66.44324447149442,2482.5029957294464
-0.01865865,8.71959662437439,97,0.12953543663024902,-3.917419626583055,31.465535487981867,-1.3306792e-05,980000,25.52840542793274,100,-4.146586863097234,1.1264207363128662,24.27175235748291,-78.2293353680889,14.773547172546387,82.7137445249176,2508.10125875473
-0.015804013,8.743516206741333,98,0.12535595893859863,-3.6793376601733705,27.41931206207129,-1.3291706e-05,990000,25.66075587272644,100,-4.454374645356774,1.190506935119629,24.34409499168396,-59.82577497074495,14.827349185943604,57.2438134715099,2533.835648536682
-0.0145771,8.728604555130005,99,0.12411332130432129,-7.841231431542707,31.16723992479077,-1.32909345e-05,1000000,25.668158054351807,100,-6.9355637182833325,1.123584508895874,24.419294118881226,-78.12469890261701,14.889682292938232,67.86304455021174,2559.5767035484314
-0.01565034,8.711352825164795,100,0.14335894584655762,-0.8838915725711729,30.937439273519708,-1.3289503e-05,1010000,25.509366989135742,100,-3.0413342321885115,1.1475551128387451,24.217729330062866,-66.62741748902673,14.735424518585205,125.47405747833918,2585.1575798988342
-0.017513031,8.725853681564331,101,0.12558245658874512,-3.6913336097596754,29.034148955848533,-1.3307868e-05,1020000,25.6519455909729,100,-4.1875521747441615,1.169677972793579,24.35586929321289,-62.21328488540915,14.848841428756714,87.76604602136851,2610.88583445549
-0.01665853,8.684594631195068,102,0.14975666999816895,-6.0062210698477,31.42573003784381,-1.3294526e-05,1030000,25.491230487823486,100,-6.173970215566673,1.1706697940826416,24.17007327079773,-64.12883210919011,14.70340633392334,78.96049196248082,2636.4457454681396
-0.017614398,8.758373022079468,103,0.13274621963500977,0.38985580731475744,29.873585192508436,-1.3284095e-05,1040000,25.65979528427124,100,-1.5409176798091435,1.15437650680542,24.372005939483643,-85.38862883057989,14.828612089157104,75.52266724860273,2662.179388999939
-0.016051749,8.704946994781494,104,0.1323533058166504,-4.760318413067427,27.121521326020023,-1.3252855e-05,1050000,25.440117120742798,100,-4.643536381228452,1.162454605102539,24.144508123397827,-87.04155008625375,14.661744594573975,88.95531531156293,2687.693563938141
-0.016448468,8.875246047973633,105,0.1259760856628418,-4.938315441323034,33.6622699277128,-1.3240838e-05,1060000,25.98799967765808,100,-4.526144080538137,1.1623611450195312,24.69882869720459,-79.82212529051112,15.031686544418335,72.58216831828314,2713.7584068775177
-0.015817078,8.71690559387207,106,0.12350773811340332,-8.107928568786361,29.094801117452572,-1.32105315e-05,1070000,25.512389659881592,100,-6.201084800769531,1.160949468612671,24.22722887992859,-84.99052762980247,14.740645408630371,57.47579089636389,2739.3479561805725
-0.017000236,8.745948076248169,107,0.12474822998046875,-3.4179909259663197,30.02871944068378,-1.3198086e-05,1080000,25.450340032577515,100,-4.057283846715728,1.1385955810546875,24.185739755630493,-75.65930990251262,14.66136646270752,69.08380817959208,2764.8747611045837
-0.01819865,8.75498366355896,108,0.1266021728515625,-1.712467619459853,28.812323684134686,-1.3195802e-05,1090000,25.565239191055298,100,-2.675126130171266,1.1580970287322998,24.279764413833618,-78.86480877871591,14.742236137390137,61.47383437198356,2790.5156359672546
-0.016009456,8.722050428390503,109,0.14223718643188477,-1.7734021016741104,25.82590754881607,-1.3208732e-05,1100000,25.519035577774048,100,-2.5391809301206942,1.1406352519989014,24.235498189926147,-60.726072105574254,14.730669260025024,60.03629022936679,2816.1093559265137
-0.0170821,8.715677976608276,110,0.13439512252807617,-2.768271099406293,28.100116323661055,-1.32342175e-05,1110000,25.46550226211548,100,-3.1578561345326404,1.150550365447998,24.17908215522766,-88.08440786587522,14.679340600967407,64.65797563400257,2841.648827791214
-0.01630545,8.733835220336914,111,0.1289510726928711,0.9088740678104673,28.303695889299913,-1.3184513e-05,1120000,25.425976276397705,100,-1.0445671195252217,1.154663324356079,24.141440391540527,-78.80809135228213,14.630462169647217,76.2521456052338,2867.1482393741608
-0.016327305,8.765545845031738,112,0.12540054321289062,-1.2090645935942614,30.95652062300084,-1.3197988e-05,1130000,25.57068920135498,100,-2.138692110433918,1.1512961387634277,24.29277992248535,-81.9536257812543,14.753475904464722,62.8198581555952,2892.7904806137085
-0.015841115,8.74838900566101,113,0.13187718391418457,1.6156795937265012,32.9728187704817,-1.3157953e-05,1140000,25.45813250541687,100,-0.6941209834153582,1.1081624031066895,24.217162370681763,-79.92198054023417,14.700352191925049,79.73701026651935,2918.3229899406433
-0.01796982,8.77359676361084,114,0.13121581077575684,1.6348285829875229,26.850839031420886,-1.3160089e-05,1150000,25.503814935684204,100,0.0843699193806166,1.1249730587005615,24.246787786483765,-62.125037055461554,14.697975158691406,62.66546241866761,2943.89878988266
-0.016712751,8.76425290107727,115,0.15635323524475098,6.832338168706692,30.092755491998723,-1.3152636e-05,1160000,25.601699829101562,100,2.513233056598588,1.1319024562835693,24.312677145004272,-57.2401932730761,14.767244815826416,70.49589161125121,2969.5705902576447
-0.013254179,8.760820627212524,116,0.12708044052124023,3.174490970492475,29.54596245030614,-1.3164121e-05,1170000,25.542845964431763,100,1.2254594727203278,1.1656465530395508,24.249422311782837,-66.65839361252905,14.693401575088501,65.40153898052588,2995.1867849826813
-0.0148323355,8.74073600769043,117,0.1461200714111328,6.029120159393314,29.58403085529158,-1.3161227e-05,1180000,25.626476287841797,100,2.6649813996537786,1.1735501289367676,24.306178092956543,-78.25793909873839,14.78270697593689,88.80005824161253,3020.8877778053284
-0.017691635,8.791972875595093,118,0.15269994735717773,6.2435928394203275,26.99326085687124,-1.3133575e-05,1190000,25.613415956497192,100,2.496935209140048,1.1560425758361816,24.303776264190674,-65.76893799240752,14.726569175720215,82.41126591930373,3046.568588733673
