LossAfter,ItrTime,n_timesteps,train-MaxReturn,Itr,Time-Sampling,Time,LossBefore,train-EnvExecTime,Time-Optimization,train-AverageDiscountedReturn,train-NumTrajs,train-PolicyExecTime,train-MinReturn,train-StdReturn,Time-SampleProc,train-AverageReturn
-0.02600222,27.139561414718628,280000,109.20427054210792,27,25.80161762237549,654.4332270622253,-0.014704883,8.996526002883911,1.1848559379577637,47.26149768309457,100,15.995573043823242,-26.121006913775584,19.30355226292554,0.152177095413208,83.42404824569827
-0.056133326,24.417304515838623,290000,103.04383118824406,28,23.247167348861694,678.9271583557129,-0.0112496335,8.26011037826538,1.0510826110839844,48.153870922576246,100,14.245067834854126,36.080415513207,12.561982762392436,0.11832380294799805,84.56930158112782
-0.022884862,24.301011085510254,300000,120.49827953016931,29,23.06065845489502,703.2897129058838,0.016122265,8.199988842010498,1.0967745780944824,46.92475759897413,100,14.134609699249268,-0.8081309385319939,16.739437136894026,0.14296364784240723,82.84550547660754
-0.018050501,28.010631799697876,310000,105.21882076945127,30,26.39286231994629,731.3583240509033,0.0058456054,9.165138959884644,1.4815280437469482,47.30059213057505,100,16.384263038635254,0.9985464460526166,17.40395677894712,0.13507652282714844,83.1858275423222
-0.00017758789,33.40213584899902,320000,113.1262493641753,31,31.4869441986084,764.8366799354553,0.029566552,10.460437774658203,1.7555832862854004,47.77162617062816,100,20.017683029174805,-10.98943279374082,19.570422365720184,0.15834832191467285,82.56582899064642
-0.049922753,39.865561723709106,330000,108.67055317216762,32,38.07267141342163,804.7906012535095,-0.009385095,12.283660411834717,1.6440315246582031,49.131171209127196,100,24.59059476852417,-4.851250335867183,16.53307154147121,0.14644861221313477,85.95547158759395
-0.0656169,33.434486389160156,340000,112.81450577746472,33,31.831658601760864,838.2978672981262,-0.014440893,10.536606550216675,1.478316068649292,48.006775497443066,100,20.289142370224,17.29915035063669,14.071368942322083,0.12375092506408691,83.83715207472477
-0.009960254,32.16598129272461,350000,116.13274943792476,34,30.48948907852173,870.5478653907776,0.004226709,10.259263753890991,1.534850835800171,48.40798333190535,100,19.269623517990112,20.796694119054624,13.113498303660206,0.14009475708007812,84.9346116161001
-0.05233645,33.67926025390625,360000,105.39956891163905,35,31.833616495132446,904.2981190681458,-0.023949586,10.658143043518066,1.7151825428009033,47.362467339247154,100,20.200995922088623,-13.937811183166815,17.469655315926193,0.12972593307495117,83.10636168637392
-0.03358814,33.217923402786255,370000,110.6439335722486,36,31.44224739074707,937.5913026332855,-0.024379648,10.595378637313843,1.614196538925171,48.37085535153904,100,19.861388683319092,22.47460082572265,13.6101089409004,0.1600637435913086,84.86460490626585
