LossBefore,Time-SampleProc,train-AverageReturn,train-EnvExecTime,n_timesteps,Time,train-MaxReturn,train-StdReturn,train-NumTrajs,LossAfter,train-PolicyExecTime,Time-Sampling,ItrTime,train-MinReturn,Time-Optimization,Itr,train-AverageDiscountedReturn
-1.4106644e-05,0.08296418190002441,-18.028120603246226,2.3796563148498535,170000,140.50750207901,53.343103952788596,28.51279643581052,100,-0.017605199,4.642895460128784,7.244473218917847,7.7285542488098145,-91.9563369886209,0.4008302688598633,16,-11.129172396306219
-1.4070314e-05,0.11824488639831543,-17.47316127343714,2.8304381370544434,180000,150.09530401229858,56.40275026153218,28.370443605958283,100,-0.015403073,5.737876653671265,8.832478046417236,9.568023681640625,-84.8645583777213,0.6170079708099365,17,-10.952060999081757
-1.4040478e-05,0.11765789985656738,-17.399882927126768,4.506459712982178,190000,165.3104648590088,52.18546371912051,29.973698813119906,100,-0.017009752,9.244339227676392,14.14876675605774,15.183220624923706,-98.30090768980297,0.9161405563354492,18,-10.876153047796953
-1.4037727e-05,0.029226064682006836,-12.361179929586868,2.9755427837371826,200000,175.523535490036,56.246820548433305,27.157546378426336,100,-0.015381612,6.421341896057129,9.691248178482056,10.171042680740356,-84.96741944324836,0.4497675895690918,19,-7.416385545693023
-1.40273505e-05,0.041233062744140625,-13.17767091016334,2.7403817176818848,210000,184.962242603302,49.827285357299516,25.117318164591786,100,-0.01342409,5.8256306648254395,8.843007326126099,9.420565128326416,-92.7021881171544,0.5360267162322998,20,-7.677935350292475
-1.4021954e-05,0.07794451713562012,-12.107292924854928,2.6342902183532715,220000,193.9470145702362,45.98228100618176,24.330660491140236,100,-0.01484501,5.426961898803711,8.314993143081665,8.961895942687988,-82.3328356361097,0.5659539699554443,21,-7.683176437025552
-1.3999413e-05,0.07993626594543457,-15.788813458596358,4.127434015274048,230000,207.77453184127808,32.9508010261171,29.289721259136336,100,-0.015095448,8.43202519416809,12.979817390441895,13.807758092880249,-101.3097089427767,0.7475888729095459,22,-9.234944183442979
-1.3983587e-05,0.07724237442016602,-11.295963159578285,4.477275609970093,240000,222.8862977027893,49.650234069416435,25.57119646793638,100,-0.017147029,9.271502017974854,14.146911382675171,15.07737421989441,-105.94509062031564,0.8525598049163818,23,-7.522638348495918
-1.3955561e-05,0.03917813301086426,-10.51545966537241,3.382199287414551,250000,234.50544548034668,57.68357735950893,25.84398693178883,100,-0.015659327,7.275321960449219,10.98557710647583,11.526920080184937,-110.3202686938905,0.501063346862793,24,-6.846155893602997
-1.3921572e-05,0.0680077075958252,-7.132924679047644,2.5215203762054443,260000,243.14952898025513,46.203146527371935,24.08145584674428,100,-0.014574456,5.219970703125,7.98502516746521,8.623187065124512,-74.54368975203707,0.5695576667785645,25,-4.719834614291452
-1.38786945e-05,0.07761907577514648,-4.385617749638267,2.4965484142303467,270000,251.61662888526917,49.16874259191006,28.05444957241759,100,-0.014365731,5.13846230506897,7.8796491622924805,8.448948383331299,-89.68152158650251,0.4905130863189697,26,-3.184567644770107
-1.39083995e-05,0.12532687187194824,-2.3207078545064337,3.3508055210113525,280000,262.9241991043091,62.40409701129716,23.80469336508987,100,-0.016479736,6.710724830627441,10.369187355041504,11.286497354507446,-55.972137124707515,0.791212797164917,27,-0.5491440790666097
-1.3868885e-05,0.13935208320617676,-2.171658823547987,4.013909816741943,290000,276.33592534065247,54.32874377304795,23.560576265989624,100,-0.016569868,8.109630107879639,12.508558750152588,13.375527620315552,-70.31600427242691,0.7267932891845703,28,-1.1377776661739387
-1.3859575e-05,0.13437342643737793,-3.9872519486584355,3.8056790828704834,300000,288.9203727245331,66.77072347491121,25.872629740482992,100,-0.01507631,7.4580042362213135,11.630255699157715,12.550962448120117,-84.25625945094211,0.78104567527771,29,-2.5642043070952765
-1.381418e-05,0.06933164596557617,-1.8190232986151242,3.8937764167785645,310000,301.99896717071533,68.7409887500831,28.651765892990632,100,-0.016060397,7.785686016082764,12.041632652282715,13.046348094940186,-86.6308213436721,0.9349315166473389,30,-1.071885152681455
-1.3804445e-05,0.13108015060424805,-0.9401015042802031,4.118882894515991,320000,316.0356366634369,80.57766979525843,31.1704158331804,100,-0.013684524,8.380034446716309,12.875394582748413,13.992266416549683,-110.50628159431552,0.9848737716674805,31,-1.4867318054935672
-1.37886655e-05,0.06993985176086426,-2.4144958972510175,3.7359888553619385,330000,328.45582914352417,71.17491063136896,27.198614169240205,100,-0.014991691,7.494118690490723,11.5885591506958,12.38564419746399,-72.41011955548701,0.7263619899749756,32,-1.684441052716811
-1.3755547e-05,0.11599159240722656,-0.134543194215057,3.1317667961120605,340000,338.3711783885956,80.58343249514753,25.62197684603891,100,-0.011535906,5.769460201263428,9.17788314819336,9.882579803466797,-77.84565381118432,0.5879144668579102,33,-0.22954124811154575
-1.3758179e-05,0.06372714042663574,4.783353399742063,3.140915632247925,350000,348.3200829029083,60.74764110409013,26.404210641889108,100,-0.015650278,5.92317533493042,9.343059778213501,9.91955280303955,-63.72140357259471,0.5123350620269775,34,1.9638284508240806
-1.3745621e-05,0.04083418846130371,4.420690179986213,2.174877166748047,360000,355.1818027496338,61.53686250821329,26.050441676606326,100,-0.014710936,4.043206214904785,6.415539264678955,6.83133864402771,-73.38125641458778,0.374544620513916,35,2.654615085479683
-1.374135e-05,0.03820443153381348,11.470063077488499,2.100583076477051,370000,361.737845659256,89.54410187410356,28.759432262758253,100,-0.01428805,3.8087563514709473,6.101995468139648,6.539197683334351,-71.45742906597499,0.39869070053100586,36,6.859164648067545
-1.3712476e-05,0.028786897659301758,5.216650165195172,2.1948373317718506,380000,368.6665618419647,76.48257242313855,26.904484280651555,100,-0.010400991,4.108125448226929,6.5087971687316895,6.908928394317627,-71.27783944502009,0.3711252212524414,37,1.6474588998724846
-1.3696349e-05,0.04305243492126465,13.327455770746951,2.3772103786468506,390000,376.16727662086487,93.86052670597823,25.88783895993951,100,-0.0064475187,4.461174488067627,7.049962520599365,7.4819324016571045,-51.387601726147906,0.38861536979675293,38,6.7032649786143494
-1.368145e-05,0.12094497680664062,14.902574849467548,2.5228896141052246,400000,384.232430934906,102.8263128208009,29.24046673525554,100,-0.010393734,4.642990827560425,7.40064001083374,8.044589519500732,-84.57134204045032,0.5227134227752686,39,8.374326041251653
-1.3646579e-05,0.059496402740478516,15.754577682920365,3.1781504154205322,410000,394.20387029647827,78.9448480243367,27.13843357058066,100,-0.013986956,5.806018114089966,9.268886089324951,9.940811395645142,-62.6318083417665,0.6121196746826172,40,9.513482009324155
-1.3605475e-05,0.05718350410461426,21.503846382824918,3.099576234817505,420000,403.90277338027954,107.05705072298781,29.19225812009205,100,-0.013375448,5.742124080657959,9.112207651138306,9.67174220085144,-71.79633428186983,0.5019500255584717,41,12.816690682252005
-1.3597203e-05,0.038713932037353516,18.235269654590546,2.214141845703125,430000,410.84648275375366,81.91273552922229,25.89504838337519,100,-0.009971661,4.095446348190308,6.510608673095703,6.914272308349609,-54.51267845799359,0.36463165283203125,42,10.31767607201018
-1.3567147e-05,0.04071164131164551,19.673721585354166,2.079930067062378,440000,417.38988518714905,116.82073910825456,30.08809052434427,100,-0.01284434,3.8473727703094482,6.119595527648926,6.5272486209869385,-62.58235216401526,0.36672425270080566,43,10.131058341116042
-1.3534445e-05,0.06360101699829102,23.66976380179913,2.102530002593994,450000,424.1566104888916,120.24643539487066,32.45929014696483,100,-0.015303693,4.016662836074829,6.314283609390259,6.750112056732178,-45.32100215113723,0.362959623336792,44,12.951318714253313
-1.3503817e-05,0.11537456512451172,22.075638181249037,2.2102348804473877,460000,431.2438838481903,109.14875114203728,29.51948560800938,100,-0.014341253,4.090062379837036,6.502783536911011,7.069926023483276,-49.79191461943878,0.45153117179870605,45,13.078179502950638
-1.345881e-05,0.0777730941772461,27.151162509438244,2.580249071121216,470000,439.5654454231262,111.14256872042517,33.014039038513204,100,-0.016493829,4.792144775390625,7.606245756149292,8.303979396820068,-48.2283818962614,0.619579553604126,46,15.426311698581342
-1.3401536e-05,0.05885744094848633,25.27679649802066,3.1458122730255127,480000,449.3460178375244,116.22048855515706,30.489867723236515,100,-0.015743282,5.777399778366089,9.200949668884277,9.752789735794067,-87.74315659102294,0.4924147129058838,47,13.954291065922028
-1.33747435e-05,0.0385127067565918,27.390666902124625,2.558431386947632,490000,457.35718846321106,97.82910701017354,29.22338221207401,100,-0.016048692,4.805501937866211,7.596093416213989,7.9845781326293945,-33.345044155828674,0.349698543548584,48,15.714680324794797
-1.3324732e-05,0.03463912010192871,27.36003345269916,2.0535709857940674,500000,463.93543767929077,100.64082983388997,29.380822647632442,100,-0.01450895,3.8933982849121094,6.135473012924194,6.562237739562988,-70.67100301971546,0.39179420471191406,49,14.840160885652262
-1.3328873e-05,0.03866839408874512,34.26397978205969,2.0681650638580322,510000,470.5024559497833,128.7438661200466,32.79711960818288,100,-0.016256373,3.8783926963806152,6.140244722366333,6.548879623413086,-61.08749652560202,0.36972665786743164,50,20.36679221865376
-1.330608e-05,0.04963064193725586,32.69132631811837,2.120675563812256,520000,477.35027551651,102.48921613373588,33.07268432142493,100,-0.012745215,4.036040306091309,6.35538649559021,6.830277681350708,-63.636272263800734,0.4250500202178955,51,18.25944560834383
-1.3256822e-05,0.03956961631774902,29.743358887308048,2.4207522869110107,530000,485.0616829395294,119.20335599054576,34.90053299439165,100,-0.011855496,4.51274847984314,7.156280755996704,7.692052125930786,-90.08184209977566,0.4958939552307129,52,17.2895485408233
-1.3234764e-05,0.05379772186279297,35.10689716170804,3.2354485988616943,540000,495.2152273654938,128.27881851625727,32.610221560865945,100,-0.010177387,6.053933143615723,9.595723152160645,10.127870321273804,-40.11636092468208,0.47791504859924316,53,20.25592085957871
-1.321673e-05,0.12634897232055664,37.57490192035902,3.214930295944214,550000,505.4830496311188,107.54576838831026,32.78958167863084,100,-0.010795725,6.010336637496948,9.514684200286865,10.240848779678345,-95.96180962555512,0.5993940830230713,54,20.486663277690994
-1.3175079e-05,0.050283193588256836,40.105223472738714,3.020829916000366,560000,514.8586792945862,114.38479317216694,34.18525431317322,100,-0.0132978745,5.6495091915130615,8.940252304077148,9.34738564491272,-48.188142227386265,0.3565371036529541,55,22.230948862853907
