train-AverageDiscountedReturn,train-NumTrajs,Time,train-EnvExecTime,Itr,train-AverageReturn,train-MinReturn,ItrTime,Time-Sampling,LossAfter,train-StdReturn,n_timesteps,Time-SampleProc,LossBefore,Time-Optimization,train-MaxReturn,train-PolicyExecTime
135.26499124974026,100,770.8815121650696,3.575045347213745,79,238.7521768092113,178.3788100187331,8.873711824417114,8.469622373580933,0.0021263522,7.264726096257727,800000,0.044123172760009766,-1.104148e-05,0.3597233295440674,247.35959382473573,4.636162996292114
135.01750355078843,100,782.744048833847,4.873252868652344,80,238.36524593176676,216.1483399118513,11.844674348831177,11.44333553314209,-0.0039435504,4.860217239291778,810000,0.044637203216552734,-1.10013525e-05,0.35637450218200684,249.18564884433542,6.230565071105957
135.6248287050313,100,792.8690903186798,4.128245115280151,81,239.47887360720014,219.1007039669605,10.110222101211548,9.707991123199463,0.0005343745,5.192726087199019,820000,0.0749354362487793,-1.0988106e-05,0.3220353126525879,249.92890706882747,5.291189432144165
135.69747694870935,100,803.4302868843079,4.2460925579071045,82,240.1849643522529,177.8905088263824,10.549544334411621,10.01943588256836,-0.0012172471,9.584879473920584,830000,0.07032084465026855,-1.0947178e-05,0.4594273567199707,252.25963390199732,5.469609975814819
135.98829938440986,100,814.2697329521179,4.4302077293396,83,240.76254870153392,218.24793315001938,10.822404861450195,10.386905670166016,-0.0037317015,5.917771014461714,840000,0.055300235748291016,-1.0907846e-05,0.379838228225708,251.1380287853742,5.644131660461426
136.3524505761663,100,824.8226096630096,4.324528455734253,84,241.44004109159312,227.7295350229649,10.535898685455322,10.131924629211426,0.002267332,4.793446661673996,850000,0.04468417167663574,-1.0866294e-05,0.35886359214782715,254.26500446898757,5.5053229331970215
136.13901946725528,100,835.1947672367096,4.20166277885437,85,241.14185528780052,227.39578125274238,10.356770515441895,9.927365779876709,-0.0051079504,4.701331696797423,860000,0.08561062812805176,-1.08403265e-05,0.3433544635772705,249.48652191971067,5.429305791854858
136.80781958078472,100,846.0925529003143,4.411882162094116,86,242.29607874232005,219.08739989727135,10.881303310394287,10.398828744888306,0.0011141626,4.930681136598943,870000,0.09221267700195312,-1.0782707e-05,0.3898787498474121,251.84290889416928,5.6779539585113525
136.90426296646524,100,856.63933801651,4.30202841758728,87,242.79637190870977,220.61325603187092,10.530004024505615,10.13500690460205,0.0039917645,5.074710970332578,880000,0.0441129207611084,-1.0750981e-05,0.3506019115447998,252.85782359254046,5.532046556472778
137.25217914711925,100,865.432984828949,3.545964002609253,88,243.59313712469609,221.11057611729345,8.779167890548706,8.38529372215271,0.0068477322,5.30958760929874,890000,0.04363560676574707,-1.0727936e-05,0.34991955757141113,252.78742212301935,4.585521697998047
137.05365397009183,100,877.1639356613159,4.788171052932739,89,243.39595449050003,200.32027992993653,11.71757173538208,11.309362888336182,-0.00083881896,6.826485091342888,900000,0.045749664306640625,-1.0672363e-05,0.3619222640991211,253.2017711009739,6.1917150020599365
137.6422036055965,100,887.4938011169434,4.170075416564941,90,245.04696090214293,226.43231629180306,10.316250562667847,9.866931200027466,-0.0025132701,5.6530529419215885,910000,0.06612372398376465,-1.0651257e-05,0.3829061985015869,254.71819091818645,5.405854225158691
137.80293540896386,100,898.3282129764557,4.35915207862854,91,245.2381099748544,201.88913049077345,10.815690040588379,10.358441591262817,0.004161516,6.999597096047021,920000,0.05331873893737793,-1.06151765e-05,0.40360260009765625,256.2866628042085,5.684843301773071
137.54780837460913,100,908.9074447154999,4.279987573623657,92,244.40091630891402,223.20950877508,10.561377048492432,10.114680528640747,-0.0014030375,5.45314479032096,930000,0.09451031684875488,-1.0588514e-05,0.35187721252441406,252.70265635308772,5.532021760940552
138.92054226821284,100,919.2426567077637,4.190173864364624,93,247.10651626653245,232.11272363640984,10.320322275161743,9.93363642692566,0.0033840192,4.986482847111144,940000,0.046148061752319336,-1.0538732e-05,0.34013986587524414,255.5003154210856,5.447757244110107
138.80702146539323,100,929.2072026729584,4.045534372329712,94,247.10910833117697,224.94456145301692,9.948941946029663,9.589036464691162,-0.0038055188,5.796265286502223,950000,0.03928375244140625,-1.050567e-05,0.3203470706939697,256.4635303643588,5.256989479064941
139.21348714448726,100,939.9121623039246,4.337693214416504,95,247.90783543035673,214.11687049266837,10.693809032440186,10.240296363830566,-0.0032233594,7.092956908897809,960000,0.05432319641113281,-1.043987e-05,0.3988926410675049,258.482173672117,5.600285530090332
139.31776221608422,100,952.2472147941589,5.0584611892700195,96,248.0132790819012,225.2046533579646,12.316395044326782,11.929608345031738,-0.0031423473,6.456087699072821,970000,0.04677891731262207,-1.0456525e-05,0.33966922760009766,261.4662073222976,6.520604372024536
139.94600326347398,100,962.556798696518,4.157042980194092,97,249.24609723758897,218.1101913879746,10.29450011253357,9.911595582962036,-0.0032125523,6.32491642057042,980000,0.04429936408996582,-1.0395468e-05,0.33784985542297363,262.4568660700802,5.4597413539886475
140.03833390213575,100,971.3230159282684,3.524176836013794,98,249.26188089480155,227.5145332524765,8.751241207122803,8.340986251831055,0.0011279329,6.35777230523778,990000,0.04582858085632324,-1.0376372e-05,0.36412763595581055,260.26492842311256,4.563477039337158
140.99141823177533,100,983.0503525733948,4.7606518268585205,99,251.33841859817,203.57664704855566,11.712825298309326,11.318370580673218,-0.0041801273,7.865975255668588,1000000,0.045432090759277344,-1.030557e-05,0.3486511707305908,260.39050447884193,6.225934267044067
140.6396893240173,100,993.740124464035,4.320871114730835,100,250.48634314191548,220.2152616347279,10.674798250198364,10.22931432723999,-0.0041225906,7.448567716260821,1010000,0.05435538291931152,-1.0289313e-05,0.3908576965332031,261.95854079736154,5.602960109710693
140.2267156262869,100,1004.4134669303894,4.313305139541626,101,249.96195526172275,204.63060106348334,10.655049085617065,10.241498470306396,0.011678936,9.983599570947062,1020000,0.07578492164611816,-1.0279922e-05,0.3374810218811035,262.559946208243,5.622523546218872
141.05657567368667,100,1014.7417137622833,4.169092416763306,102,251.61249745008408,215.65932614842123,10.31417441368103,9.89642596244812,-0.0013693746,7.306834880225278,1030000,0.08254575729370117,-1.0233391e-05,0.3349497318267822,262.0184141925917,5.432365894317627
141.36612792805877,100,1024.7850849628448,4.08087682723999,103,251.93141061011505,224.70070576743976,10.029301643371582,9.678483724594116,-0.00052529114,6.836721297886173,1040000,0.03655219078063965,-1.0231546e-05,0.3140442371368408,262.14299606403085,5.306794881820679
141.72231853521203,100,1035.0926675796509,4.08589768409729,104,252.95657189039875,226.74772537193357,10.295490980148315,9.758222103118896,0.00897362,7.297203415331317,1050000,0.07171130180358887,-1.0191091e-05,0.46499013900756836,263.6664451532294,5.374626874923706
140.47016964215737,100,1045.9905157089233,4.33893346786499,105,250.32852460441944,196.749536149162,10.876762866973877,10.4080970287323,-0.0019890969,12.597051525818896,1060000,0.0545811653137207,-1.0178466e-05,0.41361546516418457,266.03714474986583,5.761019945144653
141.44471045549733,100,1056.611405134201,4.287292957305908,106,252.1770914414444,201.44784703675643,10.602771520614624,10.204857110977173,-0.0021828783,8.387100934780829,1070000,0.04403829574584961,-1.0150952e-05,0.35359764099121094,265.25045261322697,5.614311218261719
141.897395135196,100,1066.892635345459,4.1423375606536865,107,253.04897522547412,219.92214074584805,10.266639709472656,9.873093366622925,-0.0024592087,7.185477270942576,1080000,0.04667520523071289,-1.011695e-05,0.3465399742126465,264.5773915357213,5.4313132762908936
142.2579204807835,100,1077.5886640548706,4.28400731086731,108,254.17191919346587,223.27880330231284,10.68210744857788,10.226937294006348,-0.0029941718,7.420646295219373,1090000,0.051143646240234375,-1.0088528e-05,0.40340304374694824,265.9627541081896,5.634846210479736
