LossAfter,Time-SampleProc,n_timesteps,train-EnvExecTime,train-AverageDiscountedReturn,train-StdReturn,train-PolicyExecTime,train-NumTrajs,train-MinReturn,LossBefore,Itr,Time-Optimization,train-AverageReturn,Time,train-MaxReturn,ItrTime,Time-Sampling
0.011704238,0.061992645263671875,1160000,5.862581491470337,26.875265788530328,1.490814630674387,15.229305267333984,100,30.796397732779337,-4.730103e-05,115,0.3171231746673584,34.481581687762386,1089.296085357666,37.187515255798104,21.98505425453186,21.60501265525818
-6.3219326e-05,0.04832100868225098,1170000,6.213637590408325,26.438650296667593,1.5765835365323893,15.093806266784668,100,30.045597922287183,-4.706044e-05,116,0.3181586265563965,34.042716113442204,1111.5054891109467,37.48456519680265,22.198564291000366,21.831637620925903
0.0029162038,0.13332867622375488,1180000,5.876025915145874,26.736374066805382,1.3831756493156249,15.326809167861938,100,31.156055039191326,-4.685065e-05,117,0.42351555824279785,34.319717021467774,1133.7815568447113,37.81135500302873,22.26510787010193,21.707639694213867
0.014857034,0.16132402420043945,1190000,4.530152082443237,26.880279867620715,1.3219928543238448,10.692612409591675,100,31.061342415345464,-4.6697005e-05,118,0.7278807163238525,34.46878325700485,1150.3492047786713,37.23504372661942,16.537240505218506,15.647126197814941
0.005823732,0.04691123962402344,1200000,6.6711084842681885,26.850461416760194,1.5579735095039862,18.584309816360474,100,31.249457919063023,-4.6568148e-05,119,0.39656949043273926,34.46840812662207,1176.6819581985474,38.308022524924965,26.297839641571045,25.853864908218384
-0.0009856023,0.440371036529541,1210000,6.267019033432007,26.735059596098093,1.2724177702558719,17.717939376831055,100,32.035835872773916,-4.6422047e-05,120,0.5563290119171143,34.34556687369462,1202.2622907161713,37.547199345076166,25.56246018409729,24.56511092185974
-0.00074381894,0.06959295272827148,1220000,5.325432062149048,27.08707738080442,1.4921294616208742,13.693593502044678,100,31.892816836042783,-4.623953e-05,121,0.5201625823974609,34.77165480824451,1222.3437054157257,38.492088715725615,20.064615488052368,19.473392724990845
-0.0001235446,0.17484521865844727,1230000,4.532251358032227,27.087978744199145,1.5022529864163972,12.507800102233887,100,30.580189999841352,-4.607057e-05,122,0.5995006561279297,34.79141943697134,1240.610588312149,38.524689493036355,18.25300097465515,17.478158950805664
-0.0010687732,0.329913854598999,1240000,5.855119943618774,26.967908134757014,1.536276172672849,15.14490556716919,100,30.89911148677039,-4.591208e-05,123,1.437795877456665,34.63629143496212,1263.9128863811493,37.47019277126483,23.278568983078003,21.50904107093811
0.007908265,0.04944133758544922,1250000,5.99640417098999,26.947351291963095,1.5888015172288004,16.314491748809814,100,31.054809930137196,-4.574944e-05,124,0.3649866580963135,34.63529430152061,1287.3225636482239,38.367329601621066,23.286842346191406,22.8717942237854
0.006063832,0.1481471061706543,1260000,5.640948295593262,26.72258888266666,1.6140236397636145,15.486549854278564,100,30.747143084344756,-4.5571403e-05,125,0.4358363151550293,34.40484651892292,1309.558307647705,37.80171284938657,22.220242977142334,21.635683059692383
0.0048861187,0.1283893585205078,1270000,4.118951797485352,26.784752327926693,1.5350141178452534,9.962321043014526,100,31.037583931689664,-4.5414265e-05,126,0.35873866081237793,34.45413401770446,1324.5412874221802,37.924899257670106,14.964779138565063,14.476718187332153
0.0060892967,0.09344816207885742,1280000,4.731879949569702,26.93379819371887,1.4765728825853266,12.47358512878418,100,31.82836515849726,-4.5282864e-05,127,0.33869075775146484,34.561510572788016,1342.6544229984283,38.22906059450938,18.096534490585327,17.6574764251709
-0.0026337474,0.2585608959197998,1290000,4.25543737411499,27.05836609696607,1.5481821830386218,10.088131189346313,100,30.672402465067407,-4.5119894e-05,128,0.4831061363220215,34.71021374473361,1358.1301355361938,38.280864015579816,15.462335348129272,14.719014883041382
0.012384525,0.6430459022521973,1300000,3.9293947219848633,26.911159000160055,1.5367874624740996,10.065798997879028,100,30.652831017578986,-4.4954522e-05,129,1.0304059982299805,34.552811007112524,1374.1857721805573,38.143206505728365,16.028820037841797,14.353885173797607
-0.0022916025,0.05733299255371094,1310000,4.818026304244995,26.771143472159892,1.481597163654193,12.347520112991333,100,31.125122147852213,-4.473393e-05,130,0.46620917320251465,34.386858752947944,1392.3708763122559,38.25492419123714,18.163832187652588,17.63945460319519
-0.00092040777,0.07268810272216797,1320000,6.086614370346069,26.72520180732631,1.6316231027329375,14.189947366714478,100,31.019016710108332,-4.4544886e-05,131,0.3409585952758789,34.32469721076793,1413.5768642425537,38.076427902631956,21.17874240875244,20.764274835586548
0.007889449,0.08351659774780273,1330000,5.269711017608643,26.668079824330913,1.6100338532345346,14.5011727809906,100,30.689595443488997,-4.4374756e-05,132,0.21724438667297363,34.29167940994941,1434.1614654064178,38.427615176278096,20.573691844940186,20.272443056106567
0.026435342,0.09966492652893066,1340000,4.733366966247559,26.83128775738026,1.3801480392866217,10.757527828216553,100,30.707964581653727,-4.4220833e-05,133,0.5446860790252686,34.48320254690144,1450.6965916156769,37.143864379856154,16.523374557495117,15.877678394317627
-0.0006195515,0.11118102073669434,1350000,5.572165489196777,26.804181152949692,1.6652879216599434,15.515518426895142,100,30.78402687334006,-4.4114833e-05,134,0.46156740188598633,34.43466165309987,1472.894608259201,38.00699070116702,22.17564105987549,21.598670721054077
0.0009058256,0.13793206214904785,1360000,4.344404935836792,26.56592171639264,1.7157007008999001,11.514730453491211,100,30.26515306782192,-4.4000328e-05,135,0.48244667053222656,34.16493401506948,1489.7941641807556,38.90310362971455,16.879109859466553,16.257631063461304
-0.000680739,0.14193105697631836,1370000,4.245843887329102,26.606421533336533,1.4228771080623879,10.340307235717773,100,30.99568647413204,-4.383437e-05,136,0.7871465682983398,34.20276845169305,1505.7130618095398,37.70421972138783,15.889549970626831,14.959903001785278
-0.0020898962,0.041631221771240234,1380000,6.211369037628174,26.55169788829754,1.4896979351235546,16.708168745040894,100,30.72088888117516,-4.3668533e-05,137,0.365980863571167,34.153693773869605,1529.7532455921173,38.292989926408254,23.880868196487427,23.4715096950531
0.0015556829,0.05102944374084473,1390000,5.342813014984131,26.886078689856276,1.5435548644535222,11.36156415939331,100,30.738799018574845,-4.3499094e-05,138,0.49356722831726074,34.47591314069878,1547.4769883155823,38.16216566191914,17.71030592918396,17.16496992111206
0.0029620563,0.08479857444763184,1400000,5.090230703353882,26.753263515635467,1.550377058054171,14.02443265914917,100,29.836770191907807,-4.3323736e-05,139,0.35086727142333984,34.340493336215665,1567.5055813789368,38.04820632737728,20.014688968658447,19.5786771774292
7.907461e-05,0.11015677452087402,1410000,3.949106454849243,26.768215806937686,1.4631309738856506,9.18207597732544,100,31.00254532786818,-4.314078e-05,140,0.45242953300476074,34.36743908277167,1581.5694906711578,38.54592625888216,14.047949314117432,13.48478627204895
-0.0018042423,0.09570026397705078,1420000,5.762474298477173,26.755443245851936,1.4733314146592713,16.458266973495483,100,30.89606056521727,-4.298311e-05,141,0.38890695571899414,34.38174994631002,1604.9652409553528,38.116933759619016,23.38038992881775,22.89169406890869
0.004219335,0.12223267555236816,1430000,5.204781532287598,26.758934854302343,1.5544824048614727,11.722880601882935,100,30.888342914459123,-4.2819545e-05,142,0.3863101005554199,34.35136284007322,1622.885181903839,38.872311238353035,17.90474796295166,17.39084506034851
-0.0009239969,0.1120150089263916,1440000,5.6828293800354,26.629868877763734,1.435314036244141,15.297903299331665,100,30.68387558175792,-4.2668562e-05,143,0.5395233631134033,34.28971218441409,1645.0357239246368,37.87947226180289,22.127352476119995,21.474330186843872
0.0048449347,0.05740237236022949,1450000,3.697383403778076,26.742177490956518,1.4984198861349243,8.794882535934448,100,31.22837541810525,-4.250744e-05,144,0.31632137298583984,34.39829288254382,1658.2798607349396,38.379486668300366,13.21097993850708,12.83653473854065
0.000385803,0.13971447944641113,1460000,4.353175163269043,26.98403912603816,1.4790180338361445,11.594029188156128,100,30.890251121154797,-4.2331194e-05,145,0.5412876605987549,34.642839269981835,1675.3102662563324,38.51817496365493,17.01789903640747,16.336342096328735
-0.0017309076,0.09981369972229004,1470000,5.121023416519165,26.887707292162737,1.533472585340686,13.774862289428711,100,31.24151473172206,-4.215551e-05,146,0.35045623779296875,34.54649149426651,1695.1789546012878,38.82418475240369,19.851467609405518,19.399869203567505
-0.00136425,0.09293508529663086,1480000,5.032193183898926,26.867690749160438,1.4718628818158153,14.059410572052002,100,30.96678247718315,-4.196883e-05,147,0.39717745780944824,34.538203622110395,1715.255931854248,37.40800059005188,20.062198162078857,19.571271181106567
-0.00041878395,0.35692429542541504,1490000,5.0038347244262695,26.582759441392326,1.59490664009585,12.312105655670166,100,30.76648918986717,-4.17993e-05,148,1.7820775508880615,34.25573109851417,1735.160882949829,37.58829059160676,19.890103578567505,17.74994468688965
-0.001336211,0.2190380096435547,1500000,5.199608564376831,26.767001675385913,1.6065863253709218,16.09266424179077,100,30.55720932189751,-4.1693682e-05,149,1.3566977977752686,34.425145971103696,1758.6623649597168,37.619682165566495,23.42193341255188,21.844218015670776
0.00065069884,0.07004261016845703,1510000,4.434570550918579,26.96242990061393,1.4427919880904132,11.488853931427002,100,31.54847034292152,-4.1590516e-05,150,0.3123035430908203,34.62788739797922,1775.444902420044,38.77390708378867,16.72165584564209,16.335222721099854
-0.0012800706,0.10148406028747559,1520000,3.931807518005371,26.88989560256644,1.5252583702454534,8.535878658294678,100,30.456783622671864,-4.148064e-05,151,0.2991478443145752,34.55800342462773,1788.6899316310883,37.44043091377607,13.229517221450806,12.825747013092041
-0.0019992553,0.2985708713531494,1530000,3.9201323986053467,27.058932330361305,1.5704252595591999,9.476675510406494,100,31.229952232910243,-4.1357143e-05,152,1.2238879203796387,34.77223617247644,1803.979637145996,38.84759141414523,15.27694582939148,13.753077507019043
-0.0011543875,0.17333459854125977,1540000,4.4732279777526855,27.04551185161124,1.3684372890003955,10.0571448802948,100,30.895481979573226,-4.1203733e-05,153,0.3927311897277832,34.745276086924946,1819.5548059940338,37.60551032101225,15.521159887313843,14.950838565826416
0.006156723,0.07157373428344727,1550000,3.631432294845581,26.870741321727664,1.7112046030208001,7.716223955154419,100,30.656975780384627,-4.102226e-05,154,0.23705482482910156,34.56205064278895,1831.5539283752441,38.86471836384479,11.981003522872925,11.67181134223938
