Iteration	TimestepsThisBatch	Time	PoolSize	TimestepsSoFar	Episodes	LastEpReturn	MaxEpReturn
81	1000	979.1559612751007	83000	83000	166	344.78050747472696	1316.7597638497775
82	1000	990.3622550964355	84000	84000	167	1289.1668200109439	1316.7597638497775
83	1000	1001.4871065616608	85000	85000	169	22.567607375332685	1316.7597638497775
84	1000	1013.0674860477448	86000	86000	170	348.83511733132804	1316.7597638497775
85	1000	1024.404257774353	87000	87000	171	1484.3627402520283	1484.3627402520283
86	1000	1035.618293762207	88000	88000	173	667.2212144975746	1484.3627402520283
87	1000	1047.1344130039215	89000	89000	174	233.89187711980588	1484.3627402520283
88	1000	1058.5287618637085	90000	90000	175	1516.3565627182559	1516.3565627182559
89	1000	1070.00696849823	91000	91000	176	1480.105594235413	1516.3565627182559
90	1000	1080.9357824325562	92000	92000	177	806.486647266341	1516.3565627182559
91	1000	1092.3138501644135	93000	93000	178	325.46123377330287	1516.3565627182559
92	1000	1106.411010980606	94000	94000	179	1532.2113379917591	1532.2113379917591
93	1000	1118.1559000015259	95000	95000	180	534.1990044729893	1532.2113379917591
94	1000	1129.427234172821	96000	96000	182	392.08064101493085	1532.2113379917591
95	1000	1140.8747644424438	97000	97000	184	4.294849527934145	1532.2113379917591
96	1000	1153.0114657878876	98000	98000	185	570.0750080417267	1532.2113379917591
97	1000	1164.735533952713	99000	99000	187	123.45043901522018	1532.2113379917591
98	1000	1176.1229543685913	100000	100000	188	782.9798005540126	1532.2113379917591
99	1000	1187.117680311203	101000	101000	189	463.3958947771897	1532.2113379917591
100	1000	1198.6441102027893	102000	102000	190	1431.1610017575395	1532.2113379917591
101	1000	1209.9875814914703	103000	103000	191	658.2117134600719	1532.2113379917591
102	1000	1221.3538043498993	104000	104000	192	344.5271402653148	1532.2113379917591
103	1000	1232.8772871494293	105000	105000	193	680.1289927107466	1532.2113379917591
104	1000	1244.2093629837036	106000	106000	195	350.2082490773089	1532.2113379917591
105	1000	1255.4258725643158	107000	107000	197	470.8924760452608	1532.2113379917591
106	1000	1267.0847599506378	108000	108000	198	106.06691624914643	1532.2113379917591
107	1000	1278.5369431972504	109000	109000	200	634.2363443682447	1532.2113379917591
108	1000	1290.187026977539	110000	110000	202	576.78900717841	1532.2113379917591
109	1000	1301.8372299671173	111000	111000	203	622.07414434516	1532.2113379917591
110	1000	1313.423378944397	112000	112000	204	386.5734917565998	1532.2113379917591
111	1000	1324.6034297943115	113000	113000	205	464.13658222451875	1532.2113379917591
112	1000	1336.472971200943	114000	114000	207	1220.8929088501595	1532.2113379917591
113	1000	1348.025506734848	115000	115000	208	1841.6363249300302	1841.6363249300302
114	1000	1359.3515214920044	116000	116000	209	601.8634038600827	1841.6363249300302
115	1000	1370.9497709274292	117000	117000	210	1368.7285633395372	1841.6363249300302
116	1000	1382.279806137085	118000	118000	211	606.8119023341442	1841.6363249300302
117	1000	1394.0509583950043	119000	119000	212	509.0161088344438	1841.6363249300302
118	1000	1406.2085590362549	120000	120000	213	1212.2543918169367	1841.6363249300302
119	1000	1417.5830504894257	121000	121000	214	1511.8419245493283	1841.6363249300302
120	1000	1428.872584104538	122000	122000	215	979.5660053193163	1841.6363249300302
121	1000	1440.949567079544	123000	123000	217	1196.8592460518973	1841.6363249300302
122	1000	1452.6054108142853	124000	124000	218	749.3464898943621	1841.6363249300302
123	1000	1463.7980287075043	125000	125000	220	241.13839145904228	1884.7339807594064
124	1000	1475.838451385498	126000	126000	221	1039.232977206381	1884.7339807594064
125	1000	1487.0489361286163	127000	127000	222	1185.1284442457816	1884.7339807594064
126	1000	1498.8972663879395	128000	128000	224	56.62055733105414	1884.7339807594064
127	1000	1510.4256901741028	129000	129000	225	1596.8660949301163	1884.7339807594064
128	1000	1522.3657610416412	130000	130000	226	622.3957041889713	1884.7339807594064
129	1000	1534.2248623371124	131000	131000	227	235.37746477202376	1884.7339807594064
130	1000	1545.724097251892	132000	132000	228	280.5223607223031	1884.7339807594064
131	1000	1558.0532793998718	133000	133000	229	360.71534101436595	1884.7339807594064
132	1000	1569.1125440597534	134000	134000	230	1759.3115596941227	1884.7339807594064
133	1000	1581.7119903564453	135000	135000	232	245.01894613966067	1884.7339807594064
134	1000	1593.3457472324371	136000	136000	234	935.7705620140288	1884.7339807594064
135	1000	1604.7320976257324	137000	137000	235	748.5014023552746	1884.7339807594064
136	1000	1617.2580602169037	138000	138000	236	1864.8637589706304	1884.7339807594064
137	1000	1629.5069463253021	139000	139000	237	711.14733690621	1884.7339807594064
138	1000	1640.8684859275818	140000	140000	238	208.70275979867355	1884.7339807594064
139	1000	1653.1556069850922	141000	141000	239	1788.409149874126	1884.7339807594064
140	1000	1665.5637061595917	142000	142000	240	1926.492040742274	1926.492040742274
141	1000	1677.278170824051	143000	143000	242	476.58989453210245	1926.492040742274
142	1000	1689.1619279384613	144000	144000	243	1297.7888955084832	1926.492040742274
143	1000	1700.698617696762	145000	145000	244	779.3397395275744	1926.492040742274
144	1000	1712.5319283008575	146000	146000	245	732.5881956118699	1926.492040742274
145	1000	1723.8798594474792	147000	147000	246	1744.9590848334321	1926.492040742274
146	1000	1735.809163570404	148000	148000	247	1718.1157139818313	1926.492040742274
147	1000	1748.0721235275269	149000	149000	248	411.26208412844994	1926.492040742274
148	1000	1760.3612031936646	150000	150000	249	1404.9802865133809	1926.492040742274
149	1000	1772.068728685379	151000	151000	250	1535.5530228276402	1926.492040742274
150	1000	1783.9719433784485	152000	152000	251	672.9230241625642	1926.492040742274
151	1000	1796.0350477695465	153000	153000	252	1908.0141101135305	1926.492040742274
152	1000	1808.1855494976044	154000	154000	253	1092.0398121529652	1926.492040742274
153	1000	1820.491647720337	155000	155000	254	1865.989128107636	1926.492040742274
154	1000	1832.3239467144012	156000	156000	256	482.41812913621857	1926.492040742274
155	1000	1844.6766476631165	157000	157000	257	432.54998663052106	1926.492040742274
156	1000	1856.7233803272247	158000	158000	259	853.7539423725705	1926.492040742274
157	1000	1869.0440680980682	159000	159000	261	84.94475885916125	1926.492040742274
158	1000	1881.2912170886993	160000	160000	262	843.1031853152635	1926.492040742274
159	1000	1893.5381455421448	161000	161000	263	119.46046092176812	1926.492040742274
160	1000	1906.5562644004822	162000	162000	264	286.89067583710766	1926.492040742274
161	1000	1918.7273533344269	163000	163000	265	1161.3118192562638	1926.492040742274
162	1000	1930.7744526863098	164000	164000	266	2008.9935449480463	2008.9935449480463
163	1000	1943.137705564499	165000	165000	267	670.5781125640323	2008.9935449480463
164	1000	1955.645817041397	166000	166000	268	1985.1030872188921	2008.9935449480463
165	1000	1968.0759317874908	167000	167000	269	435.8756937949993	2008.9935449480463
166	1000	1980.0299789905548	168000	168000	271	1030.9994151324524	2008.9935449480463
167	1000	1994.5590958595276	169000	169000	272	2175.9191609707223	2175.9191609707223
168	1000	2008.8994579315186	170000	170000	273	760.5450328080574	2175.9191609707223
169	1000	2024.353069782257	171000	171000	274	67.02151383501183	2175.9191609707223
170	1000	2038.7920379638672	172000	172000	276	301.8320805875689	2175.9191609707223
171	1000	2053.0435128211975	173000	173000	278	246.382209076131	2175.9191609707223
172	1000	2068.424417257309	174000	174000	279	814.5754618997821	2175.9191609707223
173	1000	2083.1724693775177	175000	175000	281	693.9420690873753	2175.9191609707223
174	1000	2098.6912751197815	176000	176000	282	1399.3056221593215	2175.9191609707223
175	1000	2113.029346227646	177000	177000	283	1177.8216818239507	2175.9191609707223
176	1000	2128.045874118805	178000	178000	285	850.1194814802199	2175.9191609707223
177	1000	2144.749175310135	179000	179000	286	1163.084589717981	2175.9191609707223
178	1000	2158.95951628685	180000	180000	287	1654.1883074747193	2175.9191609707223
179	1000	2172.0707252025604	181000	181000	289	1326.6790224780955	2175.9191609707223
180	1000	2184.5718417167664	182000	182000	290	1983.847086825065	2175.9191609707223
181	1000	2197.8181858062744	183000	183000	291	1687.333478436534	2175.9191609707223
182	1000	2211.201393842697	184000	184000	293	245.88753713061863	2175.9191609707223
183	1000	2224.833988904953	185000	185000	294	343.06914742674945	2175.9191609707223
184	1000	2238.9236562252045	186000	186000	295	996.4026308787679	2175.9191609707223
185	1000	2252.6670541763306	187000	187000	296	1579.086371958745	2175.9191609707223
186	1000	2267.1207931041718	188000	188000	297	215.1630757188029	2175.9191609707223
187	1000	2282.479232311249	189000	189000	298	2148.004032201008	2175.9191609707223
188	1000	2296.283792257309	190000	190000	299	1756.66149917158	2175.9191609707223
189	1000	2309.6528832912445	191000	191000	300	1414.1948197203637	2175.9191609707223
190	1000	2323.087782382965	192000	192000	301	2127.2310052805683	2175.9191609707223
191	1000	2336.047753095627	193000	193000	302	2094.9637288364565	2175.9191609707223
192	1000	2349.9543561935425	194000	194000	303	365.3882100858683	2175.9191609707223
193	1000	2363.8676297664642	195000	195000	306	95.85221594417068	2175.9191609707223
194	1000	2378.407915830612	196000	196000	307	2388.765133321404	2388.765133321404
195	1000	2393.012719154358	197000	197000	308	117.19757719355061	2388.765133321404
196	1000	2406.9681067466736	198000	198000	309	2216.4297495394976	2388.765133321404
197	1000	2422.124185323715	199000	199000	310	2106.8318585970233	2388.765133321404
198	1000	2438.704677581787	200000	200000	312	171.19873896141053	2388.765133321404
199	1000	2454.3731293678284	201000	201000	313	183.35410736010323	2388.765133321404
200	1000	2470.567857503891	202000	202000	314	2265.2365776102406	2388.765133321404
201	1000	2486.832232952118	203000	203000	315	1724.937028170738	2388.765133321404
202	1000	2503.270883321762	204000	204000	316	2254.8410181799195	2388.765133321404
203	1000	2519.5859320163727	205000	205000	318	402.28839419380995	2388.765133321404
204	1000	2536.238492012024	206000	206000	320	817.1592832320786	2388.765133321404
205	1000	2552.855083465576	207000	207000	322	19.475734145988117	2388.765133321404
206	1000	2569.3754422664642	208000	208000	323	2215.60750550544	2388.765133321404
207	1000	2585.773231267929	209000	209000	327	152.50454589915728	2388.765133321404
208	1000	2601.472635984421	210000	210000	328	645.2394256107932	2388.765133321404
209	1000	2617.855846643448	211000	211000	329	1745.637228178367	2388.765133321404
210	1000	2635.6710698604584	212000	212000	330	757.637961483995	2388.765133321404
211	1000	2654.5906286239624	213000	213000	331	1367.0224537666	2388.765133321404
212	1000	2674.056709051132	214000	214000	332	2239.531468150686	2388.765133321404
213	1000	2696.723527908325	215000	215000	333	1078.3354048250608	2388.765133321404
214	1000	2719.9127349853516	216000	216000	334	2247.559936692209	2388.765133321404
215	1000	2743.216598033905	217000	217000	335	2318.1461314437934	2388.765133321404
216	1000	2766.9113659858704	218000	218000	336	210.8110208161749	2388.765133321404
217	1000	2793.7619512081146	219000	219000	337	979.3772024849325	2388.765133321404
218	1000	2820.1314969062805	220000	220000	338	1112.242425874496	2388.765133321404
219	1000	2844.7539405822754	221000	221000	339	2317.703001610732	2388.765133321404
220	1000	2872.3121609687805	222000	222000	340	2460.848984242657	2460.848984242657
221	1000	2896.6269612312317	223000	223000	341	2407.021637078003	2460.848984242657
222	1000	2917.616827726364	224000	224000	344	1215.2682670342244	2460.848984242657
223	1000	2944.21538066864	225000	225000	345	1114.4531379846633	2460.848984242657
224	1000	2974.6120598316193	226000	226000	347	455.15935170504406	2460.848984242657
225	1000	3001.1428418159485	227000	227000	349	1424.257506654066	2460.848984242657
226	1000	3025.9276592731476	228000	228000	350	513.9823134574652	2460.848984242657
227	1000	3049.1391072273254	229000	229000	351	1739.7674091983731	2460.848984242657
228	1000	3068.928977251053	230000	230000	352	2569.7252986531703	2569.7252986531703
229	1000	3087.7729213237762	231000	231000	354	1821.4749452953326	2569.7252986531703
230	1000	3108.4017295837402	232000	232000	355	2382.8174006306654	2569.7252986531703
231	1000	3128.947669506073	233000	233000	356	1930.7898946515852	2569.7252986531703
232	1000	3150.2639260292053	234000	234000	357	1723.8772177504964	2569.7252986531703
233	1000	3171.589947462082	235000	235000	358	2363.9512322357996	2569.7252986531703
234	1000	3191.4460983276367	236000	236000	359	1071.993126303159	2569.7252986531703
235	1000	3211.8961832523346	237000	237000	360	2489.9119027464217	2569.7252986531703
236	1000	3232.421724796295	238000	238000	361	2692.2763432899264	2692.2763432899264
237	1000	3250.692163467407	239000	239000	362	2497.8825470715487	2692.2763432899264
238	1000	3269.2846834659576	240000	240000	364	983.658064738505	2692.2763432899264
239	1000	3282.450268983841	241000	241000	365	2553.3039698104435	2692.2763432899264
240	1000	3294.993257045746	242000	242000	366	2711.6790219085815	2711.6790219085815
241	1000	3307.136090040207	243000	243000	367	2390.3590864037387	2711.6790219085815
