Time-Sampling,train-NumTrajs,train-AverageDiscountedReturn,train-MaxReturn,ItrTime,Time-SampleProc,train-PolicyExecTime,LossBefore,train-StdReturn,train-AverageReturn,Time,train-MinReturn,Itr,LossAfter,Time-Optimization,train-EnvExecTime,n_timesteps
23.39381456375122,100,38.033512546153744,165.28958209747103,24.64134955406189,0.1500697135925293,14.253966569900513,-1.2351318e-05,31.76857067395022,62.569114810527374,2480.9432349205017,-18.911837097959584,99,-0.008363534,1.0968046188354492,8.453039407730103,1000000
23.453062534332275,100,36.07252416782383,133.521681937092,24.68073034286499,0.115509033203125,14.300016403198242,-1.2297067e-05,28.195034419755615,58.64317674409689,2505.689038991928,-8.485501540579152,100,-0.013309899,1.1115100383758545,8.451225757598877,1010000
23.445578575134277,100,43.974360601391936,142.4904079040785,24.701618194580078,0.14497733116149902,14.305128574371338,-1.2269778e-05,34.755375711773006,71.39291490571009,2530.4529814720154,-45.79465348705546,101,-0.015932577,1.1100337505340576,8.450754642486572,1020000
23.57124948501587,100,39.4667800446383,168.64711139930915,24.80156445503235,0.11910009384155273,14.443006038665771,-1.2227769e-05,37.157283366364034,65.30403077498183,2555.320379257202,-18.310263961627115,102,-0.011305709,1.1104230880737305,8.433200120925903,1030000
23.321983098983765,100,42.347452018535726,160.2522678979674,24.561750888824463,0.1322009563446045,14.200574159622192,-1.220356e-05,36.51947028789484,69.35900629947255,2579.9476890563965,-12.152976285839655,103,-0.015610186,1.1064608097076416,8.43036413192749,1040000
23.45836615562439,100,43.13385767904656,153.508968065753,24.700227737426758,0.1360163688659668,14.339520692825317,-1.2178725e-05,33.798330094142905,70.86639809394349,2604.7106852531433,-0.09445579808235843,104,-0.011420787,1.1051907539367676,8.426491260528564,1050000
23.415679216384888,100,43.288369370797774,155.22839165053887,24.65529203414917,0.13602161407470703,14.300979614257812,-1.213722e-05,35.615530489689746,71.18979791271198,2629.4348294734955,-3.350612154328652,105,-0.0141594345,1.1029644012451172,8.413519859313965,1060000
23.337585926055908,100,45.43650308062426,179.09948103836504,24.566570520401,0.12941408157348633,14.262538194656372,-1.2125529e-05,32.14266964205375,75.28882635101499,2654.0658690929413,15.481658638359987,106,-0.013180872,1.0989470481872559,8.386287927627563,1070000
23.49618935585022,100,40.569955369690696,153.46061252078886,24.738554000854492,0.13558220863342285,14.344491481781006,-1.2115687e-05,34.490779114018,67.63746419049755,2678.8619565963745,-36.426946787182814,107,-0.014357817,1.1061108112335205,8.44474983215332,1080000
23.473747730255127,100,45.239682333186785,171.88048336779266,24.91710376739502,0.17542576789855957,14.354657173156738,-1.2119949e-05,35.49662479382088,73.97821838590237,2703.844030380249,-0.3549468160907472,108,-0.015362764,1.2671887874603271,8.420686483383179,1090000
23.966939449310303,100,47.75946544831706,159.31384809207395,25.205719470977783,0.12710332870483398,14.651782035827637,-1.2066243e-05,29.91747952831746,79.66366113077244,2729.125345468521,6.158811685843008,109,-0.014237161,1.110814094543457,8.602163076400757,1100000
23.45935320854187,100,47.90172973478402,156.3568661999384,24.697922229766846,0.12407827377319336,14.325934648513794,-1.2056814e-05,32.981458057438445,80.37294997231095,2753.8879611492157,-10.428231542577912,110,-0.013995879,1.1137616634368896,8.430381774902344,1110000
23.290424823760986,100,50.602479184185086,153.70638816786652,24.528971910476685,0.12810993194580078,14.233009099960327,-1.2032461e-05,33.94940826713674,84.6553777992301,2778.4806311130524,-0.21094147981178013,111,-0.013552832,1.1097745895385742,8.339036226272583,1120000
23.381681203842163,100,49.58407364267559,163.93975306177302,24.599260568618774,0.11952757835388184,14.273645401000977,-1.2019429e-05,40.05025938032328,80.30331099918666,2803.142030477524,-12.432872239994634,112,-0.013531003,1.0970027446746826,8.417603492736816,1130000
23.341296672821045,100,52.75086106727097,190.37308612224248,24.554882287979126,0.1237497329711914,14.260987043380737,-1.1995776e-05,38.0884539809737,86.48327895503607,2827.760475873947,-7.664759365822544,113,-0.012429481,1.0890898704528809,8.388849973678589,1140000
23.496732711791992,100,48.866760568033236,181.74435054245316,24.713001251220703,0.1221311092376709,14.354089736938477,-1.1972105e-05,37.097892142425955,80.54736200704383,2852.541527032852,2.029094056687401,114,-0.014946457,1.0934321880340576,8.442972898483276,1150000
23.347967863082886,100,49.14163725061014,167.43328499393044,24.589717388153076,0.13685178756713867,14.185947179794312,-1.1977924e-05,33.32949204302049,82.07505178766905,2877.191187620163,-10.961689512317369,115,-0.015919771,1.1041145324707031,8.455752849578857,1160000
