Time,train-AverageDiscountedReturn,ItrTime,Time-SampleProc,train-NumTrajs,train-MinReturn,Itr,Time-Sampling,train-AverageReturn,LossBefore,LossAfter,train-PolicyExecTime,n_timesteps,train-StdReturn,train-MaxReturn,Time-Optimization,train-EnvExecTime
3104.2716341018677,19.6720575834094,25.235498189926147,0.11497139930725098,100,25.516918155776384,122,24.07090187072754,27.300945177099962,-1.5258789e-09,-0.002249521,14.193268537521362,1230000,0.8370853302767629,29.206337841142833,1.0489046573638916,9.177760362625122
3129.5389244556427,19.74679176327675,25.202839851379395,0.11184024810791016,100,25.399463373966363,123,24.00440263748169,27.353957916591252,-1.5258789e-09,-0.001061715,14.176558017730713,1240000,0.8476030301856101,29.60056411208836,1.0859215259552002,9.11731243133545
3156.39554810524,19.73640651871607,26.79777956008911,0.15101957321166992,100,24.793240760702258,124,25.4676513671875,27.338068752922666,-3.0517577e-09,-0.0014004104,15.057173013687134,1250000,0.9716182863688408,29.618677221308904,1.178450345993042,9.670782327651978
3183.5225796699524,19.673379809544993,27.05617070198059,0.11351943016052246,100,24.675219954523207,125,25.716276168823242,27.39853459058067,-0.00028928526,-0.0019883818,15.172267436981201,1260000,1.0014254114715186,29.571539820878755,1.2248191833496094,9.791743755340576
3208.813015460968,19.87062069415164,25.21701955795288,0.11549520492553711,100,24.68847454597195,126,24.038865327835083,27.51808621020722,6.1035155e-09,-0.0030285828,14.101254224777222,1270000,0.9029742493703212,29.33477390420067,1.061974287033081,9.217525720596313
3234.129946231842,19.95185343019112,25.256566286087036,0.11885380744934082,100,25.169359911134123,127,24.076535940170288,27.55337458215661,9.155274e-09,-0.002237565,14.170264959335327,1280000,0.9956639907504404,29.472842521239407,1.0605878829956055,9.185015678405762
3259.374551296234,20.15501901715212,25.17802405357361,0.10624837875366211,100,23.889583012348467,128,23.997968673706055,27.666739796121192,1.5258789e-09,-0.0028642402,14.143297910690308,1290000,0.9261643479920877,29.725227431814506,1.0730681419372559,9.151926279067993
3284.849953174591,20.02401414884416,25.41523766517639,0.11464190483093262,100,24.617452403738806,129,24.220187425613403,27.66178078119558,-3.0517577e-09,-0.0012870575,14.237799882888794,1300000,0.9462304932055917,29.68689536956608,1.0795283317565918,9.2752103805542
3310.2259356975555,20.06136133094671,25.317057132720947,0.1085665225982666,100,25.468148424108517,130,24.028507709503174,27.54613828364068,8.392334e-09,-0.0014971993,14.136864423751831,1310000,0.7855868467430823,29.20960405056016,1.1793344020843506,9.186194658279419
3336.0924508571625,19.9228959862413,25.79989457130432,0.11798548698425293,100,25.427335200312967,131,24.635966300964355,27.5778281383351,-0.0005975113,-0.0036871552,14.500859260559082,1320000,0.7871889969578589,29.326616633331522,1.0452466011047363,9.404613018035889
