LossAfter,train-StdReturn,Time-SampleProc,Itr,train-MaxReturn,Time,train-AverageReturn,train-PolicyExecTime,train-NumTrajs,train-MinReturn,ItrTime,train-AverageDiscountedReturn,n_timesteps,train-EnvExecTime,Time-Sampling,Time-Optimization,LossBefore
-0.0027371137,3.1486701477343786,0.11993718147277832,118,272.4619576731908,3265.2905144691467,267.6035231468157,14.253089189529419,100,249.35176190116908,27.199341535568237,147.71082282859476,1190000,11.055330276489258,26.011250495910645,1.067516565322876,-1.0153069e-05
-0.0009217538,3.24046018150007,0.12028312683105469,119,272.70271978244625,3292.3437263965607,267.6544881998956,14.201023817062378,100,255.71133114591032,26.992985248565674,147.7493572597455,1200000,10.879774808883667,25.773308038711548,1.0987367630004883,-1.010804e-05
-0.0044544637,5.3472336209003855,0.11618590354919434,120,274.2798972218401,3319.557092189789,267.17655980946296,14.362858295440674,100,226.68401521604895,27.15706992149353,147.5356063827574,1210000,10.876198530197144,25.9328932762146,1.1072499752044678,-1.0102205e-05
-0.0017134796,2.801015309616745,0.11977434158325195,121,273.6002608039397,3346.504420042038,268.4907843946866,14.139240741729736,100,260.67682637733964,26.888166427612305,148.03318815971187,1220000,10.851866960525513,25.689292907714844,1.07845139503479,-1.0055637e-05
-0.0029123486,3.3873936392800075,0.11074352264404297,122,274.18637246934594,3373.646337747574,267.8571907932639,14.241235733032227,100,252.6097348817245,27.077746391296387,147.8310813830536,1230000,10.907657623291016,25.8541202545166,1.1123149394989014,-1.0012385e-05
-0.0027282857,2.703526984544817,0.13257932662963867,123,273.6407662455621,3400.718307495117,268.276749918307,14.221462965011597,100,257.95308220098195,27.00872540473938,148.0158649343728,1240000,10.879075765609741,25.793813943862915,1.081624984741211,-9.980443e-06
-0.0025813852,3.001773931616571,0.1408247947692871,124,276.26183262903993,3427.897817850113,268.91199014789794,14.247384071350098,100,253.00601063898458,27.11921977996826,148.38084397489413,1250000,10.969448566436768,25.916770219802856,1.0609641075134277,-9.963091e-06
0.006547379,3.123971627038164,0.09237098693847656,125,273.430498750276,3454.9453167915344,268.0291334731322,14.191907167434692,100,252.88980032894065,26.984330415725708,147.92053891338776,1260000,10.928745985031128,25.813992261886597,1.0768892765045166,-9.906138e-06
-0.0036480809,2.9590717409320524,0.12012219429016113,126,273.70531612178405,3482.0714733600616,268.300854174768,14.268403768539429,100,255.56270832744116,27.058082342147827,148.03352236397188,1270000,10.9126558303833,25.874528169631958,1.0627224445343018,-9.87108e-06
-0.0024438894,3.312140790370958,0.1346263885498047,127,274.25752043612465,3509.0858356952667,268.73045620260154,14.165016174316406,100,253.22544209375826,26.95758080482483,148.15973782551123,1280000,10.913641214370728,25.7695894241333,1.0525612831115723,-9.804251e-06
-0.0028896015,4.350087245223377,0.11165022850036621,128,274.86006655423745,3536.2148089408875,268.5263458592573,14.19395661354065,100,239.88200055308536,27.06743025779724,148.23400989396166,1290000,10.991485595703125,25.8772394657135,1.0778417587280273,-9.776368e-06
0.0006220172,3.653235053367859,0.11057543754577637,129,275.2255755191844,3563.3251297473907,269.5331771975185,14.271444320678711,100,248.82849355967159,27.045913219451904,148.72213232652015,1300000,10.93688678741455,25.90000081062317,1.0340347290039062,-9.733953e-06
0.00965981,4.05304115172116,0.13080716133117676,130,274.73902553174435,3590.4387135505676,268.7277016487163,14.252174377441406,100,252.58958446493642,27.054683446884155,148.15006851881466,1310000,10.930080652236938,25.868645191192627,1.054488182067871,-9.690567e-06
0.010719506,2.245848011026016,0.10896062850952148,131,275.3289444758447,3617.414314508438,270.57255182583015,14.160197257995605,100,263.65717963775273,26.912625551223755,149.12063515645724,1320000,10.859461069107056,25.708460807800293,1.094369888305664,-9.645469e-06
0.01816701,2.772119329984081,0.11063861846923828,132,275.29226769621465,3644.4976897239685,270.0387667868909,14.259594202041626,100,261.3797542346977,27.024550437927246,149.0208284661379,1330000,10.881332874298096,25.83329749107361,1.079841136932373,-9.601606e-06
0.0063051535,3.342731562216382,0.12024998664855957,133,274.99371168615926,3671.5822310447693,270.33719804603624,14.223270416259766,100,255.18231883510325,27.025548696517944,149.15778273230472,1340000,10.89686393737793,25.823155164718628,1.0815479755401611,-9.57857e-06
0.0042923004,2.73652132349953,0.11379528045654297,134,275.49667959235524,3698.7454879283905,270.39867234636154,14.236376285552979,100,259.87945948720926,27.099697828292847,148.91786048276785,1350000,10.985050439834595,25.90663480758667,1.0785377025604248,-9.540155e-06
