Iteration	Time	TimestepsThisBatch	PoolSize	LastEpReturn	Episodes	MaxEpReturn	TimestepsSoFar
107	1016.133054971695	1000	109000	-65.76713719082058	216	1163.6681241822496	109000
108	1024.2476968765259	1000	110000	213.38927236079073	217	1163.6681241822496	110000
109	1032.282333612442	1000	111000	263.2323494213141	218	1163.6681241822496	111000
110	1041.8152644634247	1000	112000	-24.688865669698608	219	1163.6681241822496	112000
111	1054.7133769989014	1000	113000	-44.93808851933788	226	1163.6681241822496	113000
112	1062.9879343509674	1000	114000	-28.486179332815627	235	1163.6681241822496	114000
113	1071.0618863105774	1000	115000	-726.2349389776625	236	1163.6681241822496	115000
114	1079.483985900879	1000	116000	-114.25240149762499	240	1163.6681241822496	116000
115	1088.93559384346	1000	117000	-1256.415032441786	241	1163.6681241822496	117000
116	1098.7322192192078	1000	118000	-2583.909522310054	242	1163.6681241822496	118000
117	1110.2328050136566	1000	119000	-33.936909262437794	254	1163.6681241822496	119000
118	1121.5580377578735	1000	120000	-2495.816151070561	255	1163.6681241822496	120000
119	1131.2688131332397	1000	121000	-542.4051525241783	260	1163.6681241822496	121000
120	1139.3839955329895	1000	122000	-2677.9170872373193	261	1163.6681241822496	122000
121	1147.4040050506592	1000	123000	-61.057175774838804	267	1163.6681241822496	123000
122	1156.1779916286469	1000	124000	-2611.9795701836842	268	1163.6681241822496	124000
123	1166.1237299442291	1000	125000	-111.56950373537227	269	1163.6681241822496	125000
124	1177.500114440918	1000	126000	-169.84396289727687	284	1163.6681241822496	126000
125	1188.5942108631134	1000	127000	-413.9413785496509	286	1163.6681241822496	127000
126	1197.3734991550446	1000	128000	-2824.6292050202724	287	1163.6681241822496	128000
127	1205.235585451126	1000	129000	-2735.853140028264	288	1163.6681241822496	129000
128	1213.5731165409088	1000	130000	-2740.8016777178577	289	1163.6681241822496	130000
129	1222.6562478542328	1000	131000	-59.064393085329826	292	1163.6681241822496	131000
130	1232.865520477295	1000	132000	-2798.628423414373	293	1163.6681241822496	132000
131	1243.9866962432861	1000	133000	-350.30096700091104	296	1163.6681241822496	133000
132	1251.8820445537567	1000	134000	-2793.751565694637	297	1163.6681241822496	134000
133	1260.00807595253	1000	135000	-2776.830011397007	298	1163.6681241822496	135000
134	1268.2895152568817	1000	136000	-135.68477511296032	302	1163.6681241822496	136000
135	1277.7431321144104	1000	137000	-101.03639434760207	314	1163.6681241822496	137000
136	1288.8140807151794	1000	138000	-2800.024270935178	315	1163.6681241822496	138000
137	1300.1728587150574	1000	139000	-243.641066378517	316	1163.6681241822496	139000
138	1311.361440896988	1000	140000	-334.09579614011756	319	1163.6681241822496	140000
139	1322.4616446495056	1000	141000	-2885.2446575052536	320	1163.6681241822496	141000
140	1330.7119915485382	1000	142000	-2801.661408399206	321	1163.6681241822496	142000
141	1338.7905185222626	1000	143000	-2064.1281663977943	323	1163.6681241822496	143000
142	1346.7526059150696	1000	144000	-212.7163933852595	326	1163.6681241822496	144000
143	1356.1831254959106	1000	145000	-2857.1370364814807	327	1163.6681241822496	145000
144	1366.8565802574158	1000	146000	-43.28469071971845	333	1163.6681241822496	146000
145	1378.5268387794495	1000	147000	-1205.250133127188	335	1163.6681241822496	147000
146	1389.2859675884247	1000	148000	-131.40198778030336	343	1163.6681241822496	148000
147	1397.1314280033112	1000	149000	-1087.9994146723448	348	1163.6681241822496	149000
148	1405.2420146465302	1000	150000	-2973.0751038898693	349	1163.6681241822496	150000
149	1413.6220996379852	1000	151000	-357.2509715021948	356	1163.6681241822496	151000
