train-MaxReturn,Time-Optimization,n_timesteps,train-PolicyExecTime,train-NumTrajs,train-AverageDiscountedReturn,train-StdReturn,Time-Sampling,Time,LossBefore,ItrTime,train-AverageReturn,Time-SampleProc,LossAfter,Itr,train-MinReturn,train-EnvExecTime
222.56282134811175,1.0394656658172607,520000,13.994933128356934,100,123.16766392713242,3.213759001862878,25.34564971923828,1416.5211091041565,-0.0045691896,26.510520935058594,215.7024222392287,0.12467002868652344,-0.10673848,51,207.61992171500603,10.654321670532227
224.11806584948914,1.0739936828613281,530000,14.143645286560059,100,121.75637194383418,7.314685793659736,25.208632469177246,1442.9675073623657,0.012715161,26.393320083618164,214.28575879445427,0.11007094383239746,-0.06599415,52,183.9282748217983,10.37110185623169
203.47202005132812,1.0812408924102783,540000,14.171369314193726,100,104.98809255604112,22.579256889282203,25.341384172439575,1469.569370508194,-0.008720532,26.536566257476807,177.9345581210238,0.11324214935302734,-0.08533391,53,123.40999804210888,10.469682693481445
201.37235376849162,1.08107328414917,550000,14.081181049346924,100,104.03385605633173,12.876821855754097,24.989827394485474,1495.820113658905,0.004143298,26.186954736709595,180.59705930140856,0.11540865898132324,-0.022752672,54,124.78626525123416,10.211010217666626
188.59987061311224,1.0598170757293701,560000,14.223296880722046,100,99.45063771818934,9.167348671154608,25.36725664138794,1522.4219918251038,0.0020176724,26.540810346603394,169.06159568135936,0.11307740211486816,-0.37886,55,147.50233041906571,10.434632062911987
205.38550708395115,1.0848817825317383,570000,14.12337875366211,100,111.82022035905433,5.639605122280113,25.39826250076294,1549.0938754081726,-0.015942553,26.613699436187744,195.30482095143395,0.12949681282043457,-0.28862056,56,170.53521455989645,10.572687149047852
223.08182678945622,1.0585041046142578,580000,14.151721239089966,100,118.67018507734416,9.05152420603287,25.438272953033447,1575.7641551494598,-0.0126870815,26.609986066818237,208.4119612396228,0.11252427101135254,-0.28224814,57,188.2581316443103,10.590882301330566
217.82552956493134,1.0739223957061768,590000,14.072261095046997,100,92.8153653122777,23.252728332655025,25.206400156021118,1602.2172255516052,0.010362903,26.391324043273926,153.05056868415383,0.11028051376342773,-0.106607325,58,91.69861907825604,10.437448263168335
216.6068755243085,1.066380262374878,600000,13.988704204559326,100,98.77858485985061,22.157858442466132,25.231736660003662,1628.6945025920868,-0.0010518708,26.411928415298462,163.59631758690205,0.1131281852722168,-0.46254745,59,124.96201147081119,10.547751665115356
215.10012771676836,1.1964178085327148,610000,13.943453788757324,100,116.09841279434382,7.444970607242409,25.235187292099,1655.351581811905,0.021573585,26.594855308532715,199.64746485568693,0.16174936294555664,-0.06322617,60,179.83365602742995,10.5927095413208
