train-AverageReturn,train-StdReturn,train-NumTrajs,Itr,ItrTime,Time-Optimization,train-PolicyExecTime,Time-Sampling,train-MaxReturn,Time-SampleProc,train-AverageDiscountedReturn,train-EnvExecTime,Time,n_timesteps,LossBefore,train-MinReturn,LossAfter
291.9301396842192,4.165241633893531,100,123,8.832539081573486,0.4186522960662842,4.59345006942749,8.357825517654419,300.05965752017687,0.055400848388671875,160.5320641086729,3.5058820247650146,1273.7942237854004,1240000,-1.0802328e-05,266.312124384341,-0.0019254382
292.05123449602104,5.318196770183784,100,124,11.759790420532227,0.37840843200683594,6.202442407608032,11.321077585220337,298.29567182102426,0.05997943878173828,160.58451080641296,4.783799886703491,1285.5758385658264,1250000,-1.0797381e-05,262.6003417833561,-0.0034870515
293.0031776064923,3.2193168101753478,100,125,10.804033517837524,0.39605259895324707,5.651304483413696,10.34601092338562,298.18791518281074,0.0615544319152832,161.05589763651332,4.380367040634155,1296.3984353542328,1260000,-1.0746769e-05,273.6287619577747,-0.003714594
293.2860475110017,3.502082636654914,100,126,9.02873945236206,0.34408140182495117,4.737505674362183,8.648080110549927,297.71464227833303,0.036186933517456055,161.1944646877969,3.6480002403259277,1305.4456832408905,1270000,-1.0712248e-05,277.4000886300708,-0.0040305415
292.95343194501294,3.3538172332268847,100,127,11.54151201248169,0.39423489570617676,6.082617282867432,11.09338641166687,299.12435600172716,0.053501129150390625,161.12747909155834,4.682031154632568,1316.9989953041077,1280000,-1.07021715e-05,276.1974849926609,-0.0041596037
293.0667346165744,3.729791893315293,100,128,10.41989278793335,0.48633480072021484,5.395132303237915,9.877667903900146,298.9646432107471,0.055262088775634766,161.14766531312014,4.190047264099121,1327.4354586601257,1290000,-1.0681315e-05,279.41949730187287,-0.005029722
293.14724320659496,4.217927212927848,100,129,10.418094635009766,0.6094510555267334,5.340658664703369,9.769588232040405,299.006765706186,0.0387115478515625,161.20100241527464,4.138982772827148,1337.8670580387115,1300000,-1.0608903e-05,269.95674061406277,-0.0031409601
293.6308730854903,2.498556101010915,100,130,10.57607626914978,0.40437889099121094,5.530332803726196,10.117378950119019,300.25456877998715,0.05390763282775879,161.46503359152496,4.28601336479187,1348.4672012329102,1310000,-1.0566126e-05,284.1325770256712,-0.0032464291
293.6984349796846,4.152516771581543,100,131,10.515260219573975,0.34684109687805176,5.559530735015869,10.108023881912231,300.37272488772146,0.05935049057006836,161.5356637600975,4.247843027114868,1359.0203371047974,1320000,-1.0536035e-05,270.0714369251738,-0.0026888233
294.4018144000204,2.865719148389637,100,132,10.335798978805542,0.3802206516265869,5.455708980560303,9.911411762237549,299.14495795167414,0.04378938674926758,161.79787890855516,4.157301902770996,1369.371193408966,1330000,-1.0519737e-05,282.808223418849,-0.0033608605
