train-AverageDiscountedReturn,Time-Optimization,n_timesteps,Time-SampleProc,Time-Sampling,ItrTime,Itr,LossAfter,train-EnvExecTime,train-NumTrajs,train-MaxReturn,train-MinReturn,LossBefore,train-StdReturn,train-PolicyExecTime,train-AverageReturn,Time
-14.28753430204216,1.1283962726593018,1490000,0.1279606819152832,23.965203046798706,25.22256588935852,148,-0.019640926,8.621954679489136,100,51.57794874813339,-164.0876775128885,-1.2537882e-05,32.817508471234014,14.6124746799469,-24.426716252571637,3783.8457362651825
-4.387472971909324,1.1625208854675293,1500000,0.1464240550994873,24.070362091064453,25.380093336105347,149,-0.018393783,8.607662677764893,100,68.78367311071334,-64.82980062693888,-1.2545823e-05,26.43772979881477,14.740676164627075,-8.7140609312596,3809.296164035797
-10.197280358626308,1.1524863243103027,1510000,0.13356399536132812,23.83268117904663,25.119749069213867,150,-0.016221525,8.554864883422852,100,59.74145181094393,-117.59604592342917,-1.252483e-05,29.350469349846875,14.556412696838379,-18.691762821292613,3834.4899804592133
-8.199589913211117,1.1490106582641602,1520000,0.13750338554382324,24.11619734764099,25.403329372406006,151,-0.019022072,8.571130514144897,100,76.65695285725553,-77.68052167828043,-1.251797e-05,30.064855396508104,14.813666582107544,-14.67742371716302,3859.9645738601685
-11.958210350501794,1.152420997619629,1530000,0.13031959533691406,23.875145435333252,25.158610820770264,152,-0.01865985,8.517274618148804,100,54.7810798571392,-122.11821562210658,-1.248369e-05,29.997660262814723,14.64723014831543,-21.848391564039897,3885.1896097660065
-6.373431553015248,1.1682512760162354,1540000,0.14024567604064941,23.87363076210022,25.182796001434326,153,-0.016627327,8.550609827041626,100,49.1596878192573,-87.26365685839907,-1.2489106e-05,26.142276665913062,14.607789516448975,-11.678665111172796,3910.44252204895
-4.589119517360047,1.1720759868621826,1550000,0.164017915725708,23.89439845085144,25.231644868850708,154,-0.018286899,8.51858115196228,100,54.36019820341413,-80.77700950415647,-1.2466734e-05,28.595565513809063,14.646900177001953,-8.465007907149616,3935.7542366981506
-7.967722324556905,1.142916202545166,1560000,0.13524842262268066,24.006436824798584,25.28531551361084,155,-0.017495232,8.538309574127197,100,58.85807235269881,-94.39423125830521,-1.2479206e-05,29.647393483743315,14.744588613510132,-15.431036139772136,3961.107671737671
-6.557293134552474,1.1313436031341553,1570000,0.1661663055419922,23.98412561416626,25.28246831893921,156,-0.01682036,8.560470342636108,100,78.97592082900962,-94.04408918295356,-1.2455913e-05,32.32305148087919,14.701240301132202,-10.188976796195607,3986.4633750915527
-6.374224687924495,1.1203389167785645,1580000,0.13863325119018555,23.902668476104736,25.162482976913452,157,-0.015340735,8.545168161392212,100,85.00443228952072,-107.95474078713305,-1.24613425e-05,31.957813924225732,14.637266874313354,-12.626220838576149,4011.688155889511
-5.812409881692121,1.1380975246429443,1590000,0.16115808486938477,23.94684624671936,25.246853828430176,158,-0.013460615,8.526679992675781,100,64.04799286279238,-84.97991935855978,-1.2442438e-05,28.573491962525434,14.695185899734497,-10.765502591508241,4037.0073080062866
-8.289657097234903,1.149853229522705,1600000,0.13373398780822754,24.03903889656067,25.323360919952393,159,-0.015881293,8.56487226486206,100,135.68224433036198,-122.56612630301073,-1.2483871e-05,33.69360696346768,14.756909608840942,-15.622533524537562,4062.3981006145477
-5.332456302656858,1.1464552879333496,1610000,0.128584623336792,23.973307847976685,25.249035120010376,160,-0.015471416,8.600192308425903,100,78.17339128399668,-98.26997204400284,-1.2438823e-05,30.82600900467793,14.656782627105713,-10.540943713131893,4087.716700553894
-7.521551757786054,1.196012258529663,1620000,0.12932276725769043,24.05368709564209,25.37978196144104,161,-0.015556053,8.62366771697998,100,57.12421812954897,-90.74236805409221,-1.242784e-05,29.260813271389587,14.705054759979248,-13.785174678979711,4113.171208381653
-7.728992620251838,1.1739766597747803,1630000,0.12813115119934082,23.902101516723633,25.205036878585815,162,-0.015712673,8.53464937210083,100,54.824953558654556,-81.61064702240701,-1.247348e-05,29.220441771882182,14.640446424484253,-14.80717569150098,4138.4532334804535
-7.3651000082021145,1.1081116199493408,1640000,0.13908147811889648,24.200055599212646,25.447986602783203,163,-0.018292686,8.609833717346191,100,66.52673521407974,-111.96560526146854,-1.2472555e-05,33.416180853250495,14.858980417251587,-13.93103655521962,4163.980734825134
-8.596244857995341,1.141418218612671,1650000,0.14040541648864746,23.993148803710938,25.275916576385498,164,-0.015653046,8.551462173461914,100,77.47488271921674,-99.73308656032809,-1.2471493e-05,34.0985009022956,14.719999313354492,-16.545618763884125,4189.325334072113
-2.7011732143207827,1.2105979919433594,1660000,0.1398177146911621,24.103882551193237,25.45508122444153,165,-0.017046548,8.582369804382324,100,87.79247990954639,-90.6770771680791,-1.2454651e-05,36.4070567539292,14.790837287902832,-6.439864648409111,4214.844505786896
-4.006174778786595,1.172300100326538,1670000,0.13780593872070312,23.972925662994385,25.284348726272583,166,-0.017248746,8.616088151931763,100,101.35203655486752,-86.55973940445134,-1.24354265e-05,38.71816311005986,14.634081602096558,-9.304831216175739,4240.202800512314
-6.949939830689115,1.1348788738250732,1680000,0.14886903762817383,24.104504346847534,25.389132022857666,167,-0.020451747,8.551035404205322,100,42.00536350230339,-87.6970688575228,-1.2422101e-05,28.00452023191869,14.823367357254028,-13.515517782108716,4265.668330669403
-5.159589600778759,1.147857427597046,1690000,0.1291794776916504,24.0722713470459,25.350104093551636,168,-0.018479561,8.630189418792725,100,61.106261567308756,-136.4561996507126,-1.240032e-05,35.581125184760964,14.715062856674194,-11.44939475995495,4291.092386484146
-2.22315146593804,1.175821304321289,1700000,0.1526508331298828,24.01101303100586,25.34021234512329,169,-0.018705633,8.61808180809021,100,72.9694915880231,-71.60614575349152,-1.2386217e-05,33.56990574533677,14.664436101913452,-6.617861687566009,4316.5013546943665
-7.9155400500330755,1.1566579341888428,1710000,0.1530015468597412,24.096951484680176,25.407578468322754,170,-0.017943125,8.576290845870972,100,65.54920663193957,-101.59063470995507,-1.240451e-05,36.441328104650374,14.773123264312744,-15.031210106723895,4341.982638597488
-7.05337249458205,1.136598825454712,1720000,0.13318419456481934,24.006581783294678,25.27716827392578,171,-0.018640459,8.59493374824524,100,87.47775584996769,-99.68049939626137,-1.2362849e-05,35.87248162324784,14.679253339767456,-13.198620276394843,4367.329407691956
-3.3557809916121637,1.147533893585205,1730000,0.13418889045715332,24.019354820251465,25.30194878578186,172,-0.018965231,8.637155771255493,100,124.82611669506727,-97.44555585391639,-1.23633945e-05,41.49668672379656,14.649730682373047,-6.55309186959131,4392.69771027565
0.20430180862589697,1.124262809753418,1740000,0.14853477478027344,23.93887710571289,25.21231460571289,173,-0.018655818,8.566768884658813,100,60.77297213493664,-82.16867082947032,-1.2366447e-05,30.76988399280623,14.650087833404541,-1.2972614666743727,4417.984696626663
-6.596418079220995,1.1915535926818848,1750000,0.1712648868560791,24.06818461418152,25.431775331497192,174,-0.019474657,8.63021969795227,100,71.43854653271656,-108.75629385688738,-1.235471e-05,39.55372355690894,14.702775001525879,-12.947150427339698,4443.487379789352
-3.0125191493894734,1.1903202533721924,1760000,0.14591693878173828,24.168686628341675,25.505651712417603,175,-0.018461619,8.683749914169312,100,94.09273636860563,-78.33807110546992,-1.234747e-05,33.13932408872887,14.730841159820557,-6.1516870030879875,4469.072203636169
-5.3801741650694535,1.188929557800293,1770000,0.13733911514282227,23.97435760498047,25.301330089569092,176,-0.017994381,8.57857608795166,100,97.22042514060128,-82.19184278494474,-1.2340396e-05,38.3172492387645,14.67042326927185,-10.886392472812561,4494.446123838425
-1.6045535578584866,1.1550624370574951,1780000,0.12567138671875,24.594860553741455,25.8764009475708,177,-0.018792119,8.815616607666016,100,106.58100322438042,-127.79991870517436,-1.2345495e-05,38.07568770089329,15.04352355003357,-4.166897600371309,4520.395703077316
-5.327547174760451,1.1451153755187988,1790000,0.1383814811706543,24.0758695602417,25.360262632369995,178,-0.0202101,8.616134881973267,100,86.11727228062725,-83.76601244422437,-1.23112495e-05,35.39820294445394,14.727256774902344,-10.151240814873429,4545.833765745163
2.680997550995012,1.172022819519043,1800000,0.13625502586364746,24.151555061340332,25.461158752441406,179,-0.017529609,8.578532218933105,100,107.27558839543693,-121.7649428668252,-1.23036e-05,39.36768729435925,14.847599983215332,0.43116792763077555,4571.373535633087
-2.761466748540389,1.2316639423370361,1810000,0.1562175750732422,23.986841440200806,25.375438451766968,180,-0.018576704,8.627740859985352,100,86.1907466667887,-72.13206581212422,-1.2288541e-05,35.067782261695875,14.635208368301392,-6.298296461374525,4596.821831703186
-3.5653133241966333,1.1662280559539795,1820000,0.13229012489318848,23.946444749832153,25.24585723876953,181,-0.019381622,8.624756574630737,100,77.62740620567891,-132.00943468789816,-1.2287515e-05,36.93314907650151,14.595613956451416,-7.706231706350321,4622.148302316666
-1.279290277080602,1.1763732433319092,1830000,0.1256241798400879,23.868642807006836,25.171563625335693,182,-0.019503612,8.586655378341675,100,108.87053182580743,-119.59235640753796,-1.2254552e-05,40.72942549893216,14.549574613571167,-3.720621462931261,4647.393790006638
-2.495087934591376,1.1247010231018066,1840000,0.13788533210754395,24.024276971817017,25.287595987319946,183,-0.020262375,8.569706201553345,100,84.97855726651616,-100.54464544302209,-1.2228406e-05,37.96817394934976,14.732529163360596,-5.650317960542927,4672.753116846085
-1.6233774967136276,1.3257389068603516,1850000,0.21149039268493652,23.809616327285767,25.348578214645386,184,-0.020473167,8.550274848937988,100,118.14402906543516,-153.03425802511111,-1.223944e-05,42.35323646731136,14.530117750167847,-5.371506211948608,4698.170748472214
-2.0291481651115895,1.6467714309692383,1860000,0.20997023582458496,23.5387704372406,25.396486520767212,185,-0.019452713,8.521923065185547,100,113.07277647019515,-114.36623100027606,-1.2197845e-05,39.39792272399335,14.302438020706177,-5.559633245975894,4723.629183292389
0.41535359340728684,1.8101963996887207,1870000,0.12945556640625,23.50153946876526,25.441887617111206,186,-0.02111554,8.491723775863647,100,98.5810897851189,-117.17722850021347,-1.2204958e-05,36.3223791969248,14.302905082702637,-1.3113222234935804,4749.135722875595
1.594677394444713,1.4937772750854492,1880000,0.13904643058776855,23.784598112106323,25.418105840682983,187,-0.018842582,8.615834951400757,100,90.38000835998561,-64.5687904420273,-1.219132e-05,34.10922754224414,14.45164704322815,-0.4545945931916392,4774.63730597496
1.8358506174315818,1.3320438861846924,1890000,0.13265633583068848,23.78837490081787,25.254799127578735,188,-0.020125212,8.565612077713013,100,98.11594654924654,-114.05685985896622,-1.2146665e-05,40.6226730937839,14.507379531860352,0.4939549215748718,4799.976341247559
-3.9231977249220766,1.1504366397857666,1900000,0.1211245059967041,23.74468207359314,25.01750159263611,189,-0.019399729,8.57961630821228,100,77.26754187811382,-100.93223386987228,-1.2153444e-05,39.31719288972503,14.441958665847778,-8.585927666249905,4825.087733507156
-0.5924371135742602,1.14654541015625,1910000,0.16720366477966309,23.974887132644653,25.289666175842285,190,-0.021088542,8.580055236816406,100,111.42218557185393,-99.16157845980665,-1.2140499e-05,39.262536826820174,14.661956548690796,-3.3672262572161937,4850.443339109421
