train-MaxReturn,Time-Sampling,Time,train-PolicyExecTime,ItrTime,Itr,n_timesteps,Time-SampleProc,train-EnvExecTime,train-AverageDiscountedReturn,LossAfter,train-MinReturn,Time-Optimization,train-StdReturn,LossBefore,train-AverageReturn,train-NumTrajs
246.04322341579612,25.82068181037903,4862.999291181564,14.271483421325684,27.041733503341675,177,1780000,0.13090300559997559,10.827094793319702,135.25977976168457,-0.0021024938,223.26973735077001,1.0894970893859863,5.075504777920089,-8.328981e-06,236.2910399215606,100
245.25144297874132,25.878276109695435,4890.196704149246,14.318664073944092,27.13186740875244,178,1790000,0.17232084274291992,10.857702255249023,135.44709884327295,0.0038672274,218.098950343743,1.0805692672729492,4.619228291452723,-8.299618e-06,236.6784817279382,100
245.552316966937,25.870208740234375,4917.360978841782,14.289291143417358,27.106339693069458,179,1800000,0.1398637294769287,10.882835388183594,134.99420310123816,0.0030047665,218.8153801008185,1.0955488681793213,5.420161078922359,-8.271236e-06,235.71422117244072,100
244.56369286341476,27.326900959014893,4946.0725309848785,15.18495512008667,28.65093421936035,180,1810000,0.14596104621887207,11.403637409210205,135.2281542800669,-0.00022397001,217.22254183004736,1.1774227619171143,5.149935742313382,-8.235457e-06,236.26275365456505,100
246.38984903586515,29.175137042999268,4976.725559949875,16.33605980873108,30.578680992126465,181,1820000,0.19329214096069336,12.062124013900757,135.05240416921524,-0.0032468573,217.20900184829057,1.20904541015625,5.933089372217733,-8.19924e-06,235.78628457388734,100
246.53990909390896,26.513965368270874,5004.6933336257935,14.618723630905151,27.90074062347412,182,1830000,0.19075441360473633,11.168388366699219,135.3130708015847,-0.003253854,212.78559117490093,1.1952106952667236,5.6685729751129665,-8.195603e-06,236.60190262995965,100
246.3275002911871,27.482136487960815,5033.4993851184845,15.199368476867676,28.7327880859375,183,1840000,0.16016364097595215,11.545007705688477,135.8507413866801,-0.0018011825,221.5943916030316,1.0897448062896729,4.587068592130351,-8.163728e-06,237.6525623819343,100
245.2975324432897,26.669463872909546,5061.455934524536,14.78664255142212,27.891528844833374,184,1850000,0.14205193519592285,11.1510329246521,135.26886686585544,-0.0016016149,222.07838780838594,1.0793054103851318,5.2228793515557035,-8.133287e-06,236.31889824959583,100
245.9782006597047,25.75804901123047,5088.525506734848,14.281270265579224,26.993180751800537,185,1860000,0.14456605911254883,10.78248929977417,134.92659152627894,-0.0034084304,214.35321705318404,1.0898594856262207,5.897999995205243,-8.1033295e-06,235.61298621405783,100
246.2558380345818,25.83578372001648,5115.674376249313,14.28426742553711,27.091538190841675,186,1870000,0.18424153327941895,10.84440279006958,135.5283012725738,0.0010340428,211.0160443462706,1.0708796977996826,5.846725632711031,-8.081248e-06,236.82762864526677,100
246.09255787152642,26.347536087036133,5143.378415346146,14.49937129020691,27.644562244415283,187,1880000,0.14757180213928223,11.130095720291138,135.59408271127097,-0.0013856265,218.55097890711346,1.1488316059112549,5.128174889019506,-8.061709e-06,236.89609751816718,100
247.64944271745918,25.877376317977905,5170.507611989975,14.26200246810913,27.068135499954224,188,1890000,0.1315925121307373,10.909408807754517,136.00762797804163,-0.0032250523,222.85409548249868,1.0584189891815186,4.584876785266294,-8.051725e-06,237.80212432722277,100
244.64735916513308,25.7078537940979,5197.505414962769,14.20275592803955,26.934472799301147,189,1900000,0.13823819160461426,10.801622867584229,135.7647566556615,-0.0031931105,219.85666273549904,1.0877292156219482,5.392125743981731,-8.006648e-06,237.31687050254865,100
