Time-SampleProc,train-NumTrajs,train-MinReturn,train-AverageDiscountedReturn,train-EnvExecTime,LossBefore,train-PolicyExecTime,train-MaxReturn,train-StdReturn,n_timesteps,Time-Optimization,Time-Sampling,Time,ItrTime,LossAfter,train-AverageReturn,Itr
0.26345086097717285,100,209.92287882710275,126.75005017123712,6.4916672706604,-1.2723714e-05,18.56450057029724,230.17286952569273,3.396875369333841,320000,0.47292160987854004,25.53732132911682,776.5694596767426,26.2744779586792,-0.003939231,220.06882239410572,31
0.17982816696166992,100,205.92999243402747,126.69323246090738,6.452429294586182,-1.2667537e-05,17.22132444381714,228.5405150865961,3.732096955724516,330000,0.44300389289855957,24.116871118545532,801.3348841667175,24.752673149108887,-0.0034425429,219.90279188276043,32
0.1263866424560547,100,212.1687115883632,127.01349001075906,6.738327741622925,-1.2623593e-05,16.64243459701538,229.94361436514808,3.809771027615348,340000,0.4007914066314697,23.838290452957153,825.7203683853149,24.366532564163208,-0.0038984912,221.17841741539632,33
0.16481900215148926,100,213.57757628428575,126.863071589837,6.5759148597717285,-1.2589484e-05,16.848244428634644,230.7685338349027,3.7295158666808765,350000,0.424008846282959,23.879069566726685,850.204986333847,24.46923828125,-0.0062796166,221.25196263773896,34
0.15452980995178223,100,213.48665659777896,127.43227238318983,6.50830864906311,-1.2538513e-05,16.812516927719116,233.2731203007066,3.594989243660852,360000,0.4143843650817871,23.782650470733643,874.5769371986389,24.35429358482361,-0.003463441,222.39951373317894,35
0.14895176887512207,100,199.92993151224832,126.97353110717728,6.426191329956055,-1.2472714e-05,18.741976261138916,232.0573239585214,4.4638277303146525,370000,0.4102158546447754,25.62288808822632,900.7754328250885,26.1864230632782,-0.0034679165,221.55098975216032,36
0.12060260772705078,100,215.70784679328787,127.96689216500128,6.720140218734741,-1.2421563e-05,18.0746066570282,230.7196393052007,3.15029916725524,380000,0.3870086669921875,25.30612826347351,926.6079456806183,25.815054178237915,-0.0048656682,223.6056693595775,37
0.13556528091430664,100,209.96933389683022,127.61494072910602,6.327577829360962,-1.2365277e-05,16.469099521636963,235.68284326099229,3.7572059413960233,390000,0.43942785263061523,23.230897426605225,950.4332764148712,23.80712366104126,-0.005158116,222.93672860929647,38
0.07987737655639648,100,215.79727081975642,128.00490953157566,6.548492431640625,-1.2314081e-05,16.855020999908447,235.1488971305773,4.445055166477831,400000,0.41365957260131836,23.847578048706055,974.7948269844055,24.341989755630493,-0.0045995624,224.1858022421731,39
0.21494579315185547,100,215.55731755576602,128.12787618116934,6.752887010574341,-1.2257744e-05,20.185434818267822,234.92369254005578,3.752530636230612,410000,0.5642397403717041,27.441589832305908,1003.0345568656921,28.221410751342773,-0.0060415086,224.76983322104618,40
0.12217116355895996,100,211.42613311232515,128.7023868348163,6.526458740234375,-1.2205625e-05,18.646515607833862,234.61168754127505,4.544539227246141,420000,0.44101619720458984,25.64599847793579,1029.2652146816254,26.211270570755005,-0.0052907914,226.11992876450367,41
0.13950538635253906,100,215.15839725367184,128.42563073101715,6.6693925857543945,-1.2161597e-05,16.750962495803833,233.8160168092897,4.058244716067629,430000,0.4160442352294922,23.87322759628296,1053.7126302719116,24.431806325912476,-0.0032988703,225.14489439901584,42
0.16971063613891602,100,214.03187907592414,128.54151223928136,6.344507455825806,-1.2116429e-05,16.656365633010864,238.70456516475193,4.73723102974944,440000,0.3935997486114502,23.442192554473877,1077.7364540100098,24.006706714630127,-0.0046446943,225.48354334011,43
