LossAfter,train-EnvExecTime,train-AverageDiscountedReturn,train-AverageReturn,train-StdReturn,train-MaxReturn,train-PolicyExecTime,Time-Sampling,n_timesteps,Time,Time-SampleProc,train-NumTrajs,Itr,LossBefore,ItrTime,train-MinReturn,Time-Optimization
-0.003224684,2.783905506134033,142.2318638865768,254.52957083080906,9.39495750936622,269.0462598221634,3.9725635051727295,6.96059775352478,1360000,1011.5047991275787,0.04296875,100,135,-7.824508e-06,7.230633497238159,212.81006546642996,0.2268378734588623
-0.00066183216,2.8399219512939453,143.10212790212503,256.7474597546019,4.510434805603612,265.1774597717894,4.028332233428955,7.078322649002075,1370000,1018.9029738903046,0.04421854019165039,100,136,-7.780296e-06,7.386017322540283,240.0223200675069,0.26320981979370117
-0.0034691256,2.9242405891418457,142.7086522774679,255.31515219696422,7.728525260628706,265.00675929246904,4.110074520111084,7.251830816268921,1380000,1026.489901304245,0.08287596702575684,100,137,-7.735986e-06,7.573634386062622,209.7911788010606,0.2338697910308838
-0.0017285311,2.7282874584198,142.7843885552543,256.1168000725091,5.8122405181272985,264.38739456455903,3.9020678997039795,6.854105472564697,1390000,1033.626624584198,0.033777713775634766,100,138,-7.673514e-06,7.126089572906494,222.6963296786972,0.23801612854003906
-0.003405214,2.7370359897613525,143.01855247941594,256.4150093233227,6.247590821164193,263.12509663495905,3.936630964279175,6.875022649765015,1400000,1040.7913041114807,0.03879261016845703,100,139,-7.62958e-06,7.153277397155762,213.13482802370837,0.23915481567382812
-0.0021322984,2.802541971206665,142.76305645136733,256.0468199291306,7.285981824482205,264.3145858801957,4.016010522842407,7.02516770362854,1410000,1048.0982406139374,0.048835039138793945,100,140,-7.585843e-06,7.295096158981323,221.32766080632078,0.22083330154418945
0.0058507947,2.817058563232422,143.42361227583262,257.77771758944573,3.5437834372788624,264.55272447640925,3.999152898788452,7.0226500034332275,1420000,1055.433266878128,0.08094906806945801,100,141,-7.5645444e-06,7.32401967048645,244.05255213004423,0.21540427207946777
0.0017216877,2.6481831073760986,143.1565479200753,256.73565261921584,7.690005418626496,265.76247215038734,3.815565586090088,6.657676696777344,1430000,1062.3888738155365,0.044373273849487305,100,142,-7.5118473e-06,6.9445717334747314,214.1769507181315,0.24213409423828125
0.0025717483,3.055260181427002,143.54516196558532,258.37343622160967,3.5516334462527266,266.26073308199096,4.459047555923462,7.744466543197632,1440000,1070.4087479114532,0.04833197593688965,100,143,-7.452695e-06,8.009567260742188,244.82460591894983,0.21648550033569336
0.0022845087,2.8686087131500244,143.31650138694155,257.2210185211809,5.546843674963544,264.89488057733575,4.093421697616577,7.175084829330444,1450000,1077.8588621616364,0.042327165603637695,100,144,-7.4015516e-06,7.438092947006226,230.3554378891946,0.2203679084777832
0.0010188458,2.8857479095458984,142.34748367876574,255.1567181714545,12.513831526742702,268.58868164863634,4.0825114250183105,7.180828332901001,1460000,1085.3261361122131,0.05570268630981445,100,145,-7.3597016e-06,7.456388473510742,163.59189130301877,0.2195279598236084
0.0013564002,2.7674148082733154,143.08178767813294,256.5928969965431,6.795359044794168,265.8607099250624,3.9450628757476807,6.913048982620239,1470000,1092.551240682602,0.08930468559265137,100,146,-7.3110623e-06,7.213809967041016,232.2373910312692,0.21121907234191895
0.010857317,2.867504596710205,143.46190015393825,257.1288513341704,8.783801970893537,265.8922326930072,4.111760854721069,7.19152045249939,1480000,1100.0582084655762,0.049614906311035156,100,147,-7.2582466e-06,7.495795726776123,219.86031794404855,0.2543830871582031
