train-NumTrajs,Time-Sampling,train-MinReturn,train-PolicyExecTime,train-EnvExecTime,train-StdReturn,Itr,LossAfter,LossBefore,Time-SampleProc,n_timesteps,Time,ItrTime,Time-Optimization,train-MaxReturn,train-AverageReturn,train-AverageDiscountedReturn
100,25.565285205841064,190.45408419034044,14.029713869094849,10.84421968460083,13.081851248968333,126,-0.00256641,-9.699123e-06,0.1418604850769043,1270000,3478.692849636078,26.808096885681152,1.1002304553985596,263.0453458397109,240.71848086064227,135.6961770753986
100,25.680562734603882,212.2746839904231,14.150601625442505,10.83694863319397,10.789754035867015,127,-0.0035836622,-9.692201e-06,0.11996722221374512,1280000,3505.625259399414,26.868314504623413,1.0670318603515625,259.7066194404917,241.58901817522894,136.16489492934343
100,25.731340169906616,197.39943711141024,14.18763279914856,10.853965044021606,12.089588177151644,128,-0.0034939435,-9.662359e-06,0.1212317943572998,1290000,3532.6047928333282,26.919265270233154,1.0661184787750244,260.82512486280814,245.2814611903,137.80624016027946
100,25.642714262008667,206.33038235718993,14.182281017303467,10.763398170471191,10.498570564684826,129,0.0004671804,-9.630672e-06,0.11433291435241699,1300000,3559.4922976493835,26.828737258911133,1.0709583759307861,262.0345787647256,247.2888853058741,138.35427688935465
100,25.537679195404053,213.0409405250543,14.113109350204468,10.737740278244019,8.395984683544038,130,0.008272391,-9.603347e-06,0.14238595962524414,1310000,3586.348661661148,26.79482650756836,1.114011287689209,263.23764046303165,248.37663962766578,138.90073677947964
100,25.56053328514099,208.2035743783423,14.116446256637573,10.753252983093262,9.430587465119224,131,0.003206405,-9.584183e-06,0.11783194541931152,1320000,3613.174459695816,26.764812469482422,1.085738182067871,263.0629664806834,249.31144491384265,139.13931952889482
100,25.51507019996643,187.38978647309554,13.974249124526978,10.84880256652832,11.547752064054684,132,0.01432559,-9.5526475e-06,0.12445878982543945,1330000,3639.9320166110992,26.689948081970215,1.0497496128082275,261.65018434369057,248.02070769666767,138.41585431682958
100,25.52688980102539,221.04029587693034,13.996766567230225,10.8428213596344,6.709278998452593,133,0.012084482,-9.514639e-06,0.11587882041931152,1340000,3666.7074072360992,26.71431064605713,1.0708622932434082,258.1267181924387,249.0078630967155,139.28847016848837
100,25.68641185760498,194.54907566854328,14.145348072052002,10.857950210571289,10.125844204510415,134,0.0036926263,-9.491014e-06,0.11247444152832031,1350000,3693.639216899872,26.873529195785522,1.0739827156066895,259.16266511462953,246.2995759964892,138.15586743646887
100,25.539881467819214,205.4778473013022,14.011063575744629,10.838331460952759,9.524188079501503,135,0.008824945,-9.452054e-06,0.11501073837280273,1360000,3720.444707632065,26.739413499832153,1.0838184356689453,259.0695302777876,247.87412265844432,138.75584984740487
100,25.689897537231445,193.85401276511263,14.102049589157104,10.893043518066406,11.433797774215549,136,0.0024766084,-9.428146e-06,0.11320185661315918,1370000,3747.371076107025,26.86612105369568,1.0623042583465576,262.42060976380384,245.47604501702557,137.9885220356155
100,25.668920755386353,202.0447533886287,14.095965147018433,10.891331195831299,9.132231651191775,137,0.001089417,-9.396264e-06,0.10707950592041016,1380000,3774.2975277900696,26.865195274353027,1.0884435176849365,263.10521735124416,250.21712861226504,139.4768228778059
