ItrTime,n_timesteps,train-NumTrajs,Time-Optimization,LossAfter,Time-Sampling,train-PolicyExecTime,LossBefore,Itr,Time-SampleProc,train-MinReturn,train-AverageReturn,train-MaxReturn,Time,train-StdReturn,train-EnvExecTime,train-AverageDiscountedReturn
26.47626256942749,1150000,100,1.0787577629089355,-0.0033629485,25.28148627281189,14.075140953063965,1.2207031e-08,114,0.11531853675842285,169.66083071749725,209.42022179190243,217.42088474233995,3070.9267761707306,7.419564705764983,10.477536916732788,120.62545974404067
26.597168684005737,1160000,100,1.091325283050537,-0.0024057983,25.38656997680664,14.20165205001831,3.0517577e-09,115,0.1186525821685791,173.77676168963905,209.44604755395397,215.88806523951376,3097.5881090164185,6.331317887813168,10.46906328201294,120.7107616281134
26.55840754508972,1170000,100,1.0851213932037354,-0.002061664,25.34619641304016,14.079854726791382,1.8310548e-08,116,0.1264505386352539,185.57351625626853,208.62369782532224,216.78988415982028,3124.2070972919464,5.827273646884579,10.553131103515625,120.37455492020271
26.674928665161133,1180000,100,1.0764453411102295,-0.0065532196,25.477156400680542,14.235776424407959,-3.0517577e-09,117,0.12052512168884277,170.35049776367154,209.06395281969665,217.32878163522602,3150.943375110626,6.6398301401815205,10.521959066390991,120.58334590182767
26.875996828079224,1190000,100,1.0719470977783203,-0.008615842,25.686868906021118,14.385961055755615,3.0517577e-09,118,0.1163642406463623,193.35274642066202,210.4761607293448,217.87811174059516,3177.881605863571,4.417222708725537,10.565515756607056,121.24431092731679
26.380711555480957,1200000,100,1.0674200057983398,-0.010560416,25.201314687728882,14.052520513534546,-0.0011727242,119,0.1112055778503418,194.37009623156513,209.66192215210936,218.40371795756246,3204.3251435756683,4.54956137112595,10.438361883163452,120.69423296978572
26.50329351425171,1210000,100,1.0899956226348877,-0.037604943,25.2918119430542,14.131949186325073,3.0517577e-09,120,0.12064957618713379,196.10840847275477,211.2330959325466,217.48525208791477,3230.8954541683197,4.063176371618454,10.439600467681885,121.32971788641393
26.387290716171265,1220000,100,1.0763139724731445,0.00095829775,25.199188470840454,14.012972116470337,-1.0681152e-08,121,0.11120271682739258,192.84095251419558,212.09799253783464,218.47003973263116,3257.3440024852753,4.271019494468231,10.473515033721924,121.64469874828892
26.442065000534058,1230000,100,1.107177972793579,-0.010780545,25.21462655067444,14.028552770614624,1.2207031e-08,122,0.11952757835388184,186.65367007794447,212.2585352635925,219.96140210943216,3283.845484495163,4.583033908038859,10.475481986999512,121.77860049028733
26.57484745979309,1240000,100,1.0650107860565186,-0.0044930754,25.386828660964966,14.194145202636719,0.001034082,123,0.12229514122009277,200.6033583626336,211.4434313987469,220.89753293616658,3310.484842300415,3.9741579219434,10.477612972259521,121.48977302639729
