LossAfter,train-MaxReturn,Itr,LossBefore,train-NumTrajs,Time-SampleProc,train-AverageReturn,Time-Optimization,train-EnvExecTime,n_timesteps,Time,ItrTime,train-MinReturn,Time-Sampling,train-PolicyExecTime,train-StdReturn,train-AverageDiscountedReturn
0.0024522336,240.3294613630021,47,-1.1676259e-05,100,0.09542012214660645,228.48119999250991,0.2806704044342041,2.9761765003204346,480000,334.439101934433,7.858233213424683,199.14822980245307,7.479721307754517,4.280998706817627,8.017616300209893,131.14156727840208
-0.0004477896,240.5112198339425,48,-1.1642113e-05,100,0.08019757270812988,229.23331989623034,0.21085429191589355,2.745468854904175,490000,341.5609655380249,7.10876989364624,210.94564980268729,6.817500352859497,3.868425130844116,6.591286819873096,131.5279145621551
-0.0016677395,240.19806014466766,49,-1.1592015e-05,100,0.08552980422973633,229.3494149682179,0.27403831481933594,2.682903528213501,500000,348.6292667388916,7.056259870529175,192.9218260150897,6.686741352081299,3.804091691970825,7.780299159367521,131.5322176670824
-0.0029037357,240.1896427271731,50,-1.1538223e-05,100,0.047698020935058594,230.28914517630045,0.227186918258667,2.9918155670166016,510000,356.33862471580505,7.696634292602539,198.05529309632058,7.4215099811553955,4.208229303359985,6.634386011545297,131.95604142358584
-0.0047518886,241.0677556157615,51,-1.1494088e-05,100,0.04860067367553711,230.38217614419293,0.29640626907348633,2.817026376724243,520000,363.7363529205322,7.386554718017578,197.2283232172414,7.04111909866333,4.0160088539123535,6.972515879967042,132.06757987134853
-0.0031753317,240.29200169515576,52,-1.144393e-05,100,0.03779435157775879,231.54248432718435,0.23644042015075684,2.9655613899230957,530000,371.5819284915924,7.832923412322998,215.98591336570038,7.558457374572754,4.3677802085876465,4.877319869791405,132.49562438530486
-0.0030280363,242.9929321573523,53,-1.13862425e-05,100,0.04281759262084961,230.7067954026041,0.2332444190979004,2.600104331970215,540000,378.42036628723145,6.82716965675354,209.20730772891451,6.550764560699463,3.751699209213257,5.858087856313243,132.1264381001945
-0.0032214113,242.79706867519914,54,-1.1336807e-05,100,0.0416259765625,231.7832231151155,0.22963881492614746,2.7642033100128174,550000,385.59925079345703,7.16772985458374,207.33817360021445,6.896206617355347,3.9245944023132324,5.919619206283709,132.58609299994785
-0.0040350957,240.94578105128147,55,-1.1291332e-05,100,0.04172778129577637,232.19457166829721,0.22881865501403809,2.6924242973327637,560000,392.5448970794678,6.932841539382935,205.53464599681868,6.6620049476623535,3.7669713497161865,4.961252177664655,132.77328776890076
-0.0031916124,242.52113965822673,56,-1.1258807e-05,100,0.08399820327758789,233.5280073528396,0.2097187042236328,2.739612579345703,570000,399.71027183532715,7.154757738113403,216.28703804043863,6.853994131088257,3.9048473834991455,4.620473013135822,133.33068519956166
-0.0024878697,244.90259896230916,57,-1.1215494e-05,100,0.04306674003601074,232.65777860196002,0.258253812789917,2.8369481563568115,580000,407.0946099758148,7.374589204788208,219.06617070869524,7.072979211807251,4.021092414855957,4.987931501561623,132.97638344141373
-0.004268875,242.1949902177182,58,-1.1171828e-05,100,0.07607078552246094,232.607606549024,0.19986581802368164,2.849547863006592,590000,414.48140954971313,7.374384164810181,185.9311534562826,7.09816837310791,4.036665201187134,7.269914611663625,133.0077350342024
-0.00074553123,241.91420768574224,59,-1.1128734e-05,100,0.050393104553222656,231.95733551719385,0.2952306270599365,2.9135067462921143,600000,422.1919538974762,7.700327157974243,200.41910651823468,7.354400873184204,4.222575902938843,7.008007583556808,132.6312407930921
0.00028446928,243.85972126474934,60,-1.1066029e-05,100,0.08118510246276855,234.0232550099245,0.23717784881591797,3.5810208320617676,610000,431.87956619262695,9.672175884246826,220.63893761949672,9.353537321090698,5.501096248626709,4.473659172415743,133.59713501868248
-0.00536205,243.90586029166658,61,-1.102062e-05,100,0.04414176940917969,232.8317959382389,0.26082563400268555,2.9325571060180664,620000,439.65094113349915,7.759162425994873,205.32495682219397,7.45386528968811,4.296379804611206,7.0003987967782635,133.08511624445688
0.007816003,242.0578507076468,62,-1.0957276e-05,100,0.03022313117980957,232.72082794949227,0.2443077564239502,2.853212833404541,630000,447.2140209674835,7.553009033203125,207.31581427319378,7.278269052505493,4.204041242599487,6.419106857018119,133.0326268494949
-0.001234348,245.53940696465762,63,-1.0920326e-05,100,0.09897255897521973,231.41795872551072,0.2572364807128906,2.885087013244629,640000,454.8565285205841,7.630981683731079,216.3202725899807,7.274522542953491,4.168756484985352,6.622214463932034,132.40687431182886
-0.0043234453,242.22581166990366,64,-1.0871801e-05,100,0.04494142532348633,231.96735718447366,0.2683391571044922,3.1134276390075684,650000,463.00811195373535,8.13862133026123,217.99152331313826,7.82503080368042,4.480692386627197,5.78184031457899,132.66867136173502
-0.0045534107,242.54109867347853,65,-1.0840266e-05,100,0.05817270278930664,233.01583716104795,0.23430538177490234,2.9570889472961426,660000,470.70029878616333,7.6796228885650635,208.10508091090867,7.386771202087402,4.203246355056763,5.408686402641506,133.17563951425052
