n_timesteps,train-MaxReturn,train-StdReturn,train-MinReturn,LossAfter,Time-Sampling,ItrTime,Itr,Time,train-AverageReturn,Time-Optimization,train-AverageDiscountedReturn,train-PolicyExecTime,LossBefore,train-EnvExecTime,Time-SampleProc,train-NumTrajs
680000,251.589113370541,7.709463104603008,215.4616349233165,0.00051990355,25.90665030479431,27.06641125679016,67,1845.8872511386871,230.8202179359434,1.038755178451538,132.2673166489255,14.096878051757812,9.155274e-09,11.113299369812012,0.1203606128692627,100
690000,253.55036872075965,11.922654583364386,182.34213004940855,-0.003908261,25.753167152404785,26.958133459091187,68,1872.919424533844,229.43445156807059,1.0942606925964355,131.4863754793105,14.025818824768066,4.577637e-09,11.03725266456604,0.11005902290344238,100
700000,257.56996931205634,10.200019089781746,170.4651631139943,-0.0045632203,25.81510853767395,27.010887622833252,69,1899.985735654831,231.5458723000019,1.0802280902862549,132.29097859336352,14.070227146148682,-0.001258081,11.05844783782959,0.1148831844329834,100
710000,254.45006518416125,9.201842740502839,212.0545783732271,-0.004586029,25.78034234046936,26.971463918685913,70,1927.019433259964,235.3427642566439,1.073061227798462,133.93006305196414,14.0367751121521,2.1362304e-08,11.04877519607544,0.11736106872558594,100
720000,257.87099785319157,13.963895063099347,165.84342611890554,-0.003981836,25.654796361923218,26.821098566055298,71,1953.9020671844482,238.1129631378821,1.048628330230713,134.88053610866464,14.003618478775024,-1.2207031e-08,10.960544109344482,0.11654901504516602,100
730000,262.54006536483735,10.696205744537654,215.43060684585942,-0.0052688774,25.715708255767822,26.939958810806274,72,1980.9022002220154,241.74510496044485,1.0855910778045654,136.4117416898493,14.000572204589844,6.1035155e-09,11.019759893417358,0.138077974319458,100
740000,265.2448801390279,10.932691581448811,199.9162550809152,-0.0022338135,26.119786977767944,27.345043897628784,73,2008.3121383190155,246.00332812185337,1.0800652503967285,137.95467299842846,14.269166946411133,-6.1035155e-09,11.151402235031128,0.1443798542022705,100
750000,267.04028601197604,23.68750767928286,49.74493562374139,-0.00475502,25.65233087539673,26.85234785079956,74,2035.2220079898834,245.13947206525626,1.0826177597045898,137.10425666626287,14.019095182418823,9.155274e-09,10.943768501281738,0.11670494079589844,100
760000,262.72135202631,8.644556951402421,200.53516171060954,-0.0042735534,25.663216829299927,26.861643314361572,75,2062.150957107544,252.5294668470823,1.084667444229126,140.5693129648553,13.988217115402222,2.9354858e-05,10.984886407852173,0.11309528350830078,100
770000,263.8287077767544,7.4318113847584195,226.89280363468458,-0.0028965545,25.594051599502563,26.79155731201172,76,2089.003219604492,251.3012988661294,1.0866353511810303,140.05280297134385,14.026013135910034,-0.00029454957,10.88475251197815,0.10994958877563477,100
780000,263.37775305461815,6.250834161375052,226.60958781826218,-0.0024728058,25.625900506973267,26.811020612716675,77,2115.87571144104,254.59158830731528,1.0644855499267578,141.6575071151714,14.01902985572815,-1.8310548e-08,10.915555238723755,0.1198117733001709,100
790000,265.48552897512747,7.116033524541437,225.2505539625519,0.0013539307,25.805959463119507,27.00653648376465,78,2142.948908805847,256.23231057986067,1.0801007747650146,142.16677123872066,14.136489868164062,-1.2207031e-08,10.960737466812134,0.1198265552520752,100
800000,270.14673388502564,5.64513367797085,239.68663372879212,-0.0037330932,25.57860827445984,26.761959075927734,79,2169.769818544388,257.3961186353774,1.0646297931671143,142.56310405625212,14.004732370376587,-1.2207031e-08,10.888777017593384,0.11799049377441406,100
810000,267.44746747278543,13.042675646510833,169.10645963624586,-0.0038735168,25.761474132537842,26.944310188293457,80,2196.7746875286102,256.92751721670714,1.0678424835205078,142.26158740317206,14.043124914169312,1.2207031e-08,11.005996942520142,0.11436343193054199,100
820000,267.53187443719264,4.27953628802375,248.25395372415966,0.0021512466,25.68187189102173,26.86069345474243,81,2223.699103832245,260.562062351518,1.0674872398376465,143.99129059815286,14.033525466918945,-4.577637e-09,10.9528489112854,0.11057806015014648,100
830000,266.81506349019406,3.6617450658066932,248.1610480354196,0.0016002014,25.72350788116455,26.925994873046875,82,2250.6821415424347,260.47096616369015,1.0776619911193848,143.98934623070852,14.099568605422974,2.4414062e-08,10.898835182189941,0.12408995628356934,100
840000,269.4360976908159,4.715139395736428,233.31727653524786,0.0012102578,25.7374324798584,26.889384984970093,83,2277.631912946701,261.5638083032827,1.0426702499389648,144.59390278465622,14.0153067111969,-1.5258789e-09,11.033687114715576,0.10858726501464844,100
850000,268.01900690427533,18.72978331019578,128.86956539255254,-0.0030821357,25.882753610610962,27.103475093841553,84,2304.796835422516,259.51922248344795,1.1007962226867676,143.95258067763731,14.199869394302368,3.8146974e-09,10.992065906524658,0.1191706657409668,100
860000,270.61413194039085,5.2971154219832775,227.35781199050717,-0.0038067023,25.54535746574402,26.748005628585815,85,2331.6032967567444,261.79827803005753,1.0776872634887695,144.68164738726827,13.982707262039185,-9.918213e-09,10.86960506439209,0.12424778938293457,100
870000,270.161548851029,8.51622402747889,189.9962178073152,-0.002893976,25.70107388496399,26.871776819229126,86,2358.534668445587,261.8036550909603,1.0532495975494385,144.7691328909814,14.084833860397339,-6.1035155e-09,10.921666622161865,0.11671328544616699,100
880000,272.2175046038176,4.705663925243417,247.81425920572133,-0.0015898529,25.795604467391968,26.984528064727783,87,2385.5792248249054,263.1687623844141,1.07204270362854,145.25237799391536,14.170497417449951,-6.1035155e-09,10.93709945678711,0.11627483367919922,100
890000,270.91240626299304,12.520090037734898,149.87579555557602,-0.002410725,25.64993119239807,26.861757516860962,88,2412.502825498581,262.0369496726694,1.0773935317993164,144.90775741685505,14.064589500427246,5.340576e-09,10.894366979598999,0.1337888240814209,100
900000,271.98477791317737,8.619403627039805,190.7799248217228,-0.0036457032,25.603469848632812,26.81108021736145,89,2439.3731696605682,262.971468193853,1.0971648693084717,145.43028235814026,14.023384094238281,3.051758e-08,10.890743970870972,0.10982799530029297,100
910000,273.8063126856946,5.65658783402861,230.36305673527025,-0.002435916,25.514434337615967,26.682953596115112,90,2466.117091655731,264.50759054291973,1.054248332977295,146.2000159670969,13.956104516983032,6.1035155e-09,10.856378316879272,0.11356925964355469,100
920000,273.9153910772359,15.349182695614235,120.83649063717905,-0.0025840881,25.548086881637573,26.722466945648193,91,2492.898090362549,262.39164385651316,1.0508861541748047,145.10800019699872,14.015735864639282,-9.155274e-09,10.841482400894165,0.12292146682739258,100
930000,274.6485865427882,14.446126896871563,127.22133053975628,-0.0022194244,25.589779376983643,26.75196361541748,92,2519.7089779376984,263.42463070726285,1.050992727279663,145.71018463245085,14.035399198532104,-7.629395e-09,10.858055353164673,0.11043238639831543,100
940000,277.31791798055144,6.0889308209655155,229.0090065967946,-0.0017631256,25.48878765106201,26.680586338043213,93,2546.4516084194183,263.36218873472353,1.080226182937622,145.65899262063382,14.00510025024414,-1.6784668e-08,10.793787002563477,0.11089968681335449,100
950000,272.36757441853325,2.9979645409783244,258.11085846339853,-0.002025354,25.486430168151855,26.69149613380432,94,2573.201143026352,265.2829643483792,1.0889201164245605,146.34305879402774,14.00285005569458,1.8310548e-08,10.794623136520386,0.11550354957580566,100
960000,275.9046193662884,3.535395225171992,255.15920554719008,-0.00087771605,25.539555549621582,26.73095965385437,95,2599.9913396835327,265.78299956334064,1.081468105316162,146.53925136775345,14.007131576538086,1.525879e-08,10.844821214675903,0.10919976234436035,100
970000,273.451881963189,4.487376883858286,234.71583180404488,-0.0027675799,25.609167098999023,26.783936262130737,96,2626.835437297821,265.94389514006775,1.0578906536102295,146.88919356095906,14.044254541397095,6.198883e-09,10.87613821029663,0.11627316474914551,100
980000,273.9313340276729,4.2935281866364345,247.35698661530932,0.0015689026,25.50410032272339,26.718440532684326,97,2653.619862794876,266.18072388230195,1.0727274417877197,147.0929369072431,13.94750189781189,2.4414062e-08,10.841052055358887,0.14083409309387207,100
990000,275.48154582496403,6.105896497435607,227.0203320865418,0.00065177307,25.607959508895874,26.78619885444641,98,2680.4659075737,265.9958796445921,1.0647850036621094,146.67431421091425,14.073225736618042,9.155274e-09,10.843478202819824,0.1127920150756836,100
1000000,276.28371770106116,20.930462667865903,127.10218384418741,0.00014505463,25.643919706344604,26.848268508911133,99,2707.3753736019135,263.1700027127201,1.0778138637542725,145.56037441762004,14.083200693130493,0.00722005,10.869750022888184,0.1257622241973877,100
