ItrTime,LossBefore,n_timesteps,Time-SampleProc,Time-Optimization,train-MinReturn,Time,train-AverageDiscountedReturn,train-AverageReturn,train-PolicyExecTime,train-NumTrajs,train-EnvExecTime,train-StdReturn,Itr,LossAfter,train-MaxReturn,Time-Sampling
6.978705644607544,-7.0813016e-06,1520000,0.04080057144165039,0.3962709903717041,244.23094970109022,1121.8534071445465,148.40936300074435,269.3822157050579,3.6827943325042725,100,2.6544013023376465,5.681041779771391,151,-0.0015420723,277.8058538516807,6.541265964508057
7.512832403182983,-7.02635e-06,1530000,0.09643745422363281,0.30930304527282715,195.39611868980663,1129.3812832832336,148.01005327014872,268.68272564614006,4.006059408187866,100,2.876483917236328,10.504897389591507,152,0.005208083,276.20420698005205,7.098068714141846
7.1345884799957275,-6.9521075e-06,1540000,0.04505419731140137,0.3794996738433838,246.39571770365362,1136.5303785800934,148.17198007936898,269.49563554178513,3.7919764518737793,100,2.7085652351379395,4.243771836751337,153,0.0010047572,275.64882311253683,6.707952499389648
7.905937671661377,-6.896e-06,1550000,0.0668787956237793,0.3085196018218994,258.692545642742,1144.451117515564,148.35225495086203,269.1587254558492,4.237421274185181,100,3.0555837154388428,3.4686413601807495,154,-0.0025188355,276.0713210840495,7.519405364990234
7.081838369369507,-6.8283366e-06,1560000,0.045168399810791016,0.2356400489807129,158.82966862413681,1151.5503585338593,147.53199326161072,267.0842210204457,3.851560592651367,100,2.7388429641723633,11.675591732720115,155,0.0031451231,275.3933718545988,6.800318479537964
7.195763349533081,-6.7767955e-06,1570000,0.04321026802062988,0.21582436561584473,250.00078395531892,1158.758891582489,147.74718254589018,267.85972680634205,3.929558753967285,100,2.7909977436065674,4.480797120982458,156,0.0049017803,275.3525641874751,6.93632435798645
7.151597023010254,-6.7269534e-06,1580000,0.04010367393493652,0.2275218963623047,255.33974860515852,1165.9201385974884,148.05620785982225,268.69250403755746,3.9020473957061768,100,2.7726452350616455,4.104050545698527,157,-0.0023993617,276.11445668804646,6.883691787719727
6.883577346801758,-6.689586e-06,1590000,0.04305911064147949,0.23292994499206543,258.8926577181653,1172.8136584758759,148.58611170297578,270.3676956761023,3.741042137145996,100,2.6451258659362793,3.403960075217251,158,-0.0045337323,277.92351003190777,6.607313632965088
7.194865942001343,-6.623056e-06,1600000,0.0471348762512207,0.2354888916015625,176.48341648493457,1180.019585609436,148.06216356706724,268.90858568603244,3.9103972911834717,100,2.7807326316833496,14.088447196951947,159,0.0019408306,277.49453615671575,6.911985635757446
7.363847494125366,-6.584548e-06,1610000,0.04587697982788086,0.24793553352355957,247.07385951677884,1187.3966355323792,147.45900765347034,267.50274875187193,4.005396366119385,100,2.8411011695861816,5.87496346603417,160,-0.004706568,275.57729351268244,7.0697736740112305
7.25345516204834,-6.547836e-06,1620000,0.04260730743408203,0.22307729721069336,253.30152623462763,1194.6619989871979,148.5040015055134,269.90805690928227,3.98783540725708,100,2.7893385887145996,3.754118132442894,161,-0.0028072875,275.3694631515782,6.98751425743103
7.176743030548096,-6.4819174e-06,1630000,0.08899497985839844,0.2151014804840088,180.82638712582562,1201.8484914302826,148.02163549713825,269.0617275585417,3.890915632247925,100,2.761317491531372,10.008281236097943,162,-0.0020185097,275.7023614366526,6.8724236488342285
7.1148903369903564,-6.4389524e-06,1640000,0.04632711410522461,0.22298216819763184,165.16744043160173,1208.9728710651398,147.72556537786278,268.0765672200021,3.8682608604431152,100,2.767557382583618,17.5286408901878,163,0.00090113276,276.8809466475235,6.8453593254089355
7.1472556591033936,-6.391402e-06,1650000,0.04180312156677246,0.24522113800048828,216.08004969525416,1216.1313335895538,147.46872428094682,268.02653822474355,3.8947765827178955,100,2.756218910217285,8.142190429512862,164,0.00038867182,275.93424752413154,6.859847545623779
7.770397186279297,-6.340846e-06,1660000,0.06719779968261719,0.22179889678955078,247.6186727615083,1223.9120752811432,148.54526187776298,269.9346853769866,4.227304697036743,100,3.0284993648529053,3.9236388463822838,165,-0.0028902548,278.27255547337944,7.48121190071106
7.389296054840088,-6.2952304e-06,1670000,0.04037141799926758,0.25269198417663574,177.69419006340766,1231.3143186569214,147.78945747523974,268.3505528720557,4.028341054916382,100,2.851294755935669,10.525958253589561,166,-0.004700333,276.42398109491813,7.095949172973633
7.284372091293335,-6.2744157e-06,1680000,0.04217195510864258,0.21702194213867188,258.73468017710826,1238.6101367473602,148.5515018336211,270.260977390107,3.976980686187744,100,2.8332250118255615,3.6907479864366675,167,-0.00041673926,276.4578559465309,7.024495840072632
7.148766994476318,-6.2049767e-06,1690000,0.043520212173461914,0.22383618354797363,261.62679886123686,1245.7702462673187,148.54584793978165,270.31321848260586,3.900251865386963,100,2.7726528644561768,3.274216634182785,168,-0.0043716906,276.61202850407903,6.880997896194458
