Itr,Time-Sampling,n_timesteps,train-NumTrajs,Time-Optimization,train-PolicyExecTime,LossAfter,Time-SampleProc,train-AverageDiscountedReturn,Time,train-AverageReturn,train-MinReturn,ItrTime,LossBefore,train-EnvExecTime,train-MaxReturn,train-StdReturn
10,23.560759782791138,110000,100,1.0660617351531982,13.975369930267334,-2.9043741,0.038597822189331055,-4.062474330626146,270.2933735847473,-9.37111620751037,-13.640364616708887,24.66615653038025,0.018995805,8.892059087753296,-3.0002947617129085,2.0122818402815925
11,23.508237600326538,120000,100,1.0589582920074463,14.007941246032715,-13.361433,0.03882598876953125,-4.124355222989442,294.9612603187561,-7.019768067934548,-12.935777908981649,24.606745719909668,-0.0088904025,8.815390586853027,1.322042736892246,3.2056911151947602
12,23.92343306541443,130000,100,1.0447027683258057,14.13660216331482,-7.5446916,0.03668808937072754,-7.07082064015323,320.02744698524475,-6.84001151573457,-15.867971228313602,25.00558614730835,-0.0017654297,9.106209993362427,10.069128480779941,8.02479762643015
13,23.94493794441223,140000,100,1.0523428916931152,14.007631778717041,-1.9278476,0.04192090034484863,-9.493744240445402,345.1248209476471,-12.908516200152524,-17.166448542843096,25.039868116378784,0.0032690857,9.247101545333862,9.501166858607462,2.7599623867988416
14,23.8103609085083,150000,100,1.0359017848968506,13.923079013824463,-0.51213896,0.040405988693237305,-9.496398924142063,370.07053422927856,-12.837231966197145,-17.822669434791877,24.8874351978302,0.0070246886,9.20707368850708,9.751019133563663,2.860421325274518
15,23.75841498374939,160000,100,1.0721588134765625,13.917873859405518,-0.26511732,0.04643416404724121,-9.120826335542057,395.00640773773193,-12.797115591023106,-17.665377064310906,24.877699851989746,0.0069707306,9.156027793884277,-6.586708394766274,1.8421185362488675
16,23.44721531867981,170000,100,1.0532793998718262,13.981355905532837,0.14638498,0.03893685340881348,-5.2990404862056035,419.6067097187042,-7.359735613988574,-16.158554883706127,24.54006004333496,-0.0010794678,8.780288457870483,8.44094119665305,6.532881751222145
17,23.109413146972656,180000,100,1.0757081508636475,14.010891199111938,-0.09688475,0.04657912254333496,-2.1264856381512405,443.89938020706177,-2.028691716836359,-16.585418237373954,24.232417821884155,-0.005077899,8.411089658737183,4.155768450857695,5.450184794911789
18,22.871822357177734,190000,100,1.0732054710388184,13.988389730453491,0.012731525,0.038330078125,-0.6488480675108178,467.94084882736206,0.3425886250552621,-5.086858632747271,23.984070539474487,0.0054737,8.209026098251343,3.9646126638110264,1.573309212121419
19,22.86095881462097,200000,100,1.076223611831665,13.982191801071167,-0.035774168,0.03990745544433594,-0.6276714840572167,491.97537302970886,0.3066472080212771,-2.363417860490695,23.977783679962158,-0.015263007,8.193324089050293,4.244592489901656,1.2900157828465895
20,23.05014133453369,210000,100,1.078644037246704,14.101792812347412,-0.0012704758,0.0375971794128418,-0.5830959178302744,516.2019908428192,0.2857852506517242,-2.562887027610645,24.167149543762207,0.020143768,8.262886047363281,3.7951343773940374,1.407994476343897
21,22.89781427383423,220000,100,1.0824165344238281,14.030266046524048,-0.032384917,0.0363006591796875,-0.6678889436625158,540.2857158184052,0.3106972322479833,-3.420741912928437,24.01738929748535,-0.003433496,8.186726570129395,3.7223284684450455,1.3320058135670862
22,22.870903253555298,230000,100,1.05405855178833,14.010916948318481,-0.009069061,0.039032936096191406,-0.6365981049130176,564.3097965717316,0.21182021278441687,-2.7243107726679447,23.96464776992798,0.010178284,8.188710689544678,3.9582766831349403,1.202091864669104
23,22.910504579544067,240000,100,1.0680463314056396,14.022645950317383,-0.023698352,0.03767848014831543,-0.7029890089456048,588.3862612247467,0.12628861667506347,-2.4429548993590924,24.017033576965332,0.015335809,8.21222448348999,2.6078928687146785,1.1331209629174666
24,22.958072900772095,250000,100,1.074007511138916,14.072186470031738,-0.048934847,0.040366172790527344,-0.49569196842675356,612.516695022583,0.4798192206090563,-2.3870935314755237,24.073174476623535,-0.0070207184,8.20289921760559,4.107602174174499,1.3512850641393144
