train-PolicyExecTime,Time-Optimization,train-AverageReturn,n_timesteps,LossBefore,ItrTime,Time,Time-SampleProc,train-AverageDiscountedReturn,LossAfter,Time-Sampling,train-MinReturn,train-EnvExecTime,Itr,train-NumTrajs,train-MaxReturn,train-StdReturn
3.4783358573913574,0.25892090797424316,29.162197241437568,290000,-1.3111999e-05,6.042366027832031,303.0285584926605,0.056242942810058594,23.277271073970105,-0.004088118,5.726683139801025,24.460425466587747,2.0655319690704346,28,100,31.95726960465022,1.4437219797044845
3.6902313232421875,0.21817708015441895,28.78445111213246,300000,-1.3064528e-05,6.261246204376221,309.3007445335388,0.031873464584350586,22.973749420002058,-0.0021300113,6.0107667446136475,16.93123491969747,2.124380111694336,29,100,33.24943040658777,1.9788153899941427
4.468789577484131,0.2729363441467285,28.86561097909029,310000,-1.3024423e-05,7.3711998462677,316.6810619831085,0.03717803955078125,22.980477522898035,-0.00092990696,7.060767650604248,25.698740992664025,2.377729654312134,30,100,32.294697324785744,1.3890735763026965
7.204850673675537,0.3646881580352783,29.26784012278877,320000,-1.29903e-05,11.528352499008179,328.22186827659607,0.04842519760131836,23.242665430817528,-0.0009122096,11.11490249633789,26.37723749666908,3.602663993835449,31,100,32.35748901584883,1.3602905408776562
8.120593547821045,0.4834465980529785,29.346113987449197,330000,-1.2964927e-05,13.08439016342163,341.3216030597687,0.05270504951477051,23.304490169193347,-0.0023398865,12.547823667526245,26.374240095530425,4.067197322845459,32,100,32.20714824218971,1.408777390600488
8.093599557876587,0.26598310470581055,29.26215730731313,340000,-1.2935557e-05,11.803974151611328,353.1504168510437,0.03437304496765137,23.277688844669704,0.00061027287,11.5032639503479,25.930944785537083,3.117380142211914,33,100,32.25946946147826,1.3602101445115642
4.5692949295043945,0.2427666187286377,29.595234724819193,350000,-1.2886915e-05,7.440395832061768,360.6032929420471,0.0323336124420166,23.497721116653796,-0.0027248643,7.164999723434448,25.729665501331848,2.372610330581665,34,100,32.768399253343276,1.5884715530847684
3.6183454990386963,0.22799181938171387,29.47108469467376,360000,-1.2851e-05,6.165478467941284,366.778626203537,0.029926776885986328,23.441321814878915,-0.0030202847,5.907278776168823,24.685835398329694,2.099773406982422,35,100,33.581343160609336,1.5244686381934327
8.284972429275513,0.3632664680480957,29.43218033484361,370000,-1.2810957e-05,12.838316917419434,379.6284136772156,0.053090810775756836,23.38725531916546,-0.0027799658,12.421465396881104,18.749493230460654,3.777017593383789,36,100,32.723508881579086,2.0173582283808953
9.25749945640564,0.28994202613830566,29.750706252007355,380000,-1.2761345e-05,14.228952884674072,393.8780176639557,0.045560359954833984,23.673597982367465,-0.0032499942,13.892993688583374,25.053978334856033,4.268793344497681,37,100,32.498356306217644,1.5788742461321654
3.572549819946289,0.2291860580444336,29.99111842958977,390000,-1.2703018e-05,6.1329429149627686,400.02614569664,0.02669239044189453,23.830245157932428,-0.003317189,5.8767383098602295,26.485288007073418,2.1160037517547607,38,100,33.29652931431439,1.5517286357817557
3.4506969451904297,0.20494437217712402,30.268208652544487,400000,-1.2663364e-05,5.9253294467926025,405.9622480869293,0.06030845642089844,24.10051079126235,-0.0039544315,5.659844875335693,27.053341045681865,2.0276942253112793,39,100,33.53331144714904,1.3996876100707802
