Time-Sampling,train-StdReturn,train-NumTrajs,train-AverageReturn,Time-Optimization,train-EnvExecTime,Time,LossAfter,Time-SampleProc,ItrTime,train-MaxReturn,LossBefore,n_timesteps,train-MinReturn,train-PolicyExecTime,Itr,train-AverageDiscountedReturn
22.665581226348877,4.346090341320247,100,-0.4869425261552378,1.0823287963867188,7.952600002288818,2602.4249465465546,-0.14599793,0.1344761848449707,23.883140325546265,7.551455596119153,0.0026130248,1060000,-8.219422647504222,14.030493974685669,105,-0.20740906699751413
22.690321683883667,4.713331809124829,100,-1.0465545743700788,1.0888547897338867,7.972853183746338,2626.3717794418335,-0.060501173,0.10859441757202148,23.88843321800232,7.209813032373949,-0.007298523,1070000,-12.661591235431706,14.025379657745361,106,-0.5520651293495252
22.741554975509644,4.964483521151534,100,-0.9052784274267638,1.0501899719238281,7.99226450920105,2650.331154823303,-0.15163596,0.10951352119445801,23.901909351348877,7.758646107738334,0.003645349,1080000,-12.174767097916657,14.05985164642334,107,-0.4432699431496484
22.60293197631836,4.4454279728964,100,-0.5259057831696493,1.0967097282409668,7.9616711139678955,2674.2004652023315,-0.071478285,0.11173033714294434,23.812105655670166,7.937073365492692,0.0027755494,1090000,-9.057421051090579,13.951721668243408,108,-0.2154516357252796
22.758204221725464,4.315554895302182,100,-0.6019587301994009,1.0828049182891846,7.97491455078125,2698.2191162109375,-0.050654687,0.11433863639831543,23.956010580062866,7.509042353028174,0.006533862,1100000,-9.965185570250119,14.093750953674316,109,-0.2992855472630508
22.616401195526123,4.849445676392699,100,-1.1708826537289732,1.0765552520751953,7.946176052093506,2722.0768733024597,-0.05978153,0.10640144348144531,23.80036759376526,7.819963275183772,0.0036628419,1110000,-12.47689040311178,13.983977317810059,110,-0.6592205410381985
22.703124046325684,4.311859811661098,100,-0.9290057715966227,1.063054084777832,7.978744983673096,2746.0067467689514,-0.07735944,0.10724806785583496,23.8740496635437,7.546811885336726,-0.018387659,1120000,-9.996290824493475,14.023802280426025,111,-0.4822493321045803
22.735716342926025,4.491423977539833,100,-0.8491516212177072,1.0720324516296387,7.9560301303863525,2769.9829561710358,-0.028080024,0.11210942268371582,23.920548915863037,7.529219860980217,0.010608735,1130000,-11.294020050416794,14.087113618850708,112,-0.4320493272326899
22.539212465286255,4.227357811574115,100,-1.438999426304255,1.0766444206237793,7.888942241668701,2793.7726798057556,-0.055665918,0.11622881889343262,23.733042240142822,7.315238370737491,0.008835547,1140000,-10.008861795968977,13.963846683502197,113,-0.8111333328223108
22.670377016067505,4.283514267345859,100,-0.9757827000271039,1.07942795753479,7.952467441558838,2817.685633659363,-0.055390358,0.10652947425842285,23.85698652267456,7.6906308449708565,-0.00082165527,1150000,-10.001389347664349,14.019591093063354,114,-0.5401127137731866
22.61804223060608,4.342550404668287,100,-0.6030575069821343,1.0583727359771729,7.924969911575317,2841.5316400527954,-0.06485406,0.10955262184143066,23.78661799430847,7.516015778739092,0.0137176085,1160000,-8.85431187094958,14.012651205062866,115,-0.31905586432725097
22.672771453857422,4.405843543864477,100,-0.8904100998268258,1.0705039501190186,7.970514535903931,2865.44863653183,-0.08692682,0.11014437675476074,23.85401487350464,6.743070431902306,-0.0053419983,1170000,-8.39751621511143,14.01290249824524,116,-0.5032889412620238
22.68619680404663,4.461521049853192,100,-0.677347052969202,1.0851821899414062,7.945252895355225,2889.418524980545,-0.08944801,0.13996124267578125,23.91190505027771,7.41979976202786,-0.024703076,1180000,-10.605061665621344,14.051585674285889,117,-0.3349899048435453
22.74668574333191,4.587016412038975,100,-0.9714267660425555,1.074462652206421,7.96382474899292,2913.407242536545,-0.055654906,0.10680842399597168,23.92888379096985,8.345830513831642,-0.009055054,1190000,-11.740291481550786,14.091740846633911,118,-0.48352368790066186
22.761275053024292,4.526720519523812,100,-0.8051865897446663,1.0919616222381592,7.9904279708862305,2937.4237427711487,-0.06209507,0.10412478446960449,23.958346128463745,7.526413414474021,-0.0064817383,1200000,-11.918295652090055,14.0843665599823,119,-0.44341865132720804
22.67798113822937,4.507383969924539,100,-1.0045447609979583,1.0842561721801758,7.9725422859191895,2961.3618626594543,-0.019179542,0.11526179313659668,23.87841486930847,7.9856162271991975,0.008077038,1210000,-10.442506325557494,14.021443367004395,120,-0.5212811588009161
22.65932059288025,4.890538769813734,100,-1.7039029216137669,1.095801591873169,7.940863370895386,2985.291395664215,-0.024729034,0.11812233924865723,23.873931646347046,7.7617196376020265,0.0070152525,1220000,-12.214491426959661,14.002942323684692,121,-0.9517628288210551
22.821927785873413,4.780424861304712,100,-1.4445289393620877,1.057079792022705,7.965296745300293,3009.344566822052,-0.019458728,0.11914896965026855,23.998766660690308,7.568739527332508,0.003972522,1230000,-11.377370006372642,14.169485569000244,122,-0.8099738620249795
22.80260920524597,4.672411081347925,100,-0.8208214997373321,1.0468292236328125,7.99423360824585,3033.3574316501617,-0.033893492,0.10743021965026855,23.95755910873413,7.004685196378919,-0.012745374,1240000,-10.19261995776297,14.115981578826904,123,-0.3994073335286775
22.614055395126343,4.670356925306345,100,-1.007726751247641,1.05470871925354,7.970601797103882,3057.205316543579,-0.002492267,0.11534857749938965,23.784814596176147,7.200575046140844,0.0050713746,1250000,-11.36427299337928,13.957114219665527,124,-0.5361218093241265
22.702617406845093,4.8973410334433,100,-1.1314553066240767,1.0322070121765137,8.00094985961914,3081.121006011963,0.00045561523,0.1214292049407959,23.856924295425415,7.655862993828457,0.0032917236,1260000,-11.580835182044773,14.013757228851318,125,-0.5962726466014342
22.752547025680542,4.4075075298397035,100,-1.1879182794566066,1.0582880973815918,7.981497764587402,3105.1044521331787,-0.04190406,0.11384153366088867,23.92542338371277,7.6319179533548835,-0.034401994,1270000,-12.608533582157333,14.072372198104858,126,-0.6273374532549254
22.759912252426147,4.344940611645782,100,-0.8530238481586687,1.053731918334961,7.940123796463013,3129.0924532413483,0.010959277,0.11535787582397461,23.929692029953003,7.262620832189162,0.01442334,1280000,-11.842805138423788,14.137770175933838,127,-0.4200982659346665
22.815682411193848,4.443006291873967,100,-0.7549624279698545,1.0692362785339355,7.936696290969849,3153.1599674224854,-0.0034317505,0.12271881103515625,24.008302688598633,7.796027407690981,0.0062389406,1290000,-12.880797939200646,14.184142112731934,128,-0.3307818016303132
22.773470878601074,4.766467636683056,100,-0.933582209232472,1.0515742301940918,7.972841739654541,3177.1726553440094,0.008581683,0.12320828437805176,23.949004411697388,8.003144702521814,0.011293029,1300000,-10.857007459612722,14.104782342910767,129,-0.5037517913813495
22.777437448501587,4.812773945041522,100,-0.4414084240421587,1.0510265827178955,7.990484952926636,3201.1766390800476,0.014407959,0.11689066886901855,23.946256637573242,8.135120939219341,0.019156335,1310000,-8.189188335115205,14.101457118988037,130,-0.14573233815679087
22.663150787353516,4.369678984708325,100,-0.2866935411776158,1.0323448181152344,7.918316841125488,3225.04417014122,0.017204786,0.11441707611083984,23.810492277145386,7.632661220351345,0.02201991,1320000,-8.781985275980736,14.056163311004639,131,-0.06699344913660606
22.769524812698364,4.386783056825738,100,-0.6834378316221741,1.0721774101257324,7.953276872634888,3249.0559644699097,-0.0062529664,0.11401200294494629,23.956348180770874,7.008769829594633,-0.0029525757,1330000,-9.271019005383623,14.119913101196289,132,-0.3329810368212341
22.60020685195923,4.507731481897872,100,-0.4197622801587,1.0656318664550781,7.941879034042358,3272.901433467865,-0.010645556,0.11850166320800781,23.785027027130127,8.016462683626472,-0.009647363,1340000,-8.779982276667434,13.968369960784912,133,-0.17502804693851737
