Itr,train-EnvExecTime,Time-Optimization,train-StdReturn,train-NumTrajs,ItrTime,n_timesteps,Time,train-MaxReturn,train-AverageDiscountedReturn,train-PolicyExecTime,train-MinReturn,Time-Sampling,LossBefore,Time-SampleProc,LossAfter,train-AverageReturn
27,2.9119253158569336,0.641796350479126,36.733426720751865,100,8.824309825897217,280000,201.6150438785553,69.54465923696122,-18.93179823274791,4.949211597442627,-124.73086697609097,8.150620460510254,-0.024614574,0.03151869773864746,-2.1639578,-30.72957249378461
28,2.842768430709839,0.5860292911529541,41.20926296108934,100,8.561560153961182,290000,210.19920301437378,76.55347490330996,-23.770911470717397,4.850617170333862,-179.22709767765116,7.95577597618103,-0.035658367,0.019475698471069336,-1.1228523,-39.6399419614108
29,4.054945707321167,0.6053462028503418,36.51781936633735,100,11.88400936126709,300000,222.10863733291626,61.31690795336175,-30.251834639873486,6.842262268066406,-140.42619567338048,11.26127314567566,0.00063730165,0.017093181610107422,-1.6324034,-49.56869532147483
30,2.900338649749756,0.6419434547424316,49.33047297265485,100,8.791347026824951,310000,230.92160153388977,71.64677715582546,-28.60308318156064,4.958934783935547,-184.8584339848235,8.131174564361572,-0.0052443114,0.01793694496154785,-1.0492421,-46.54837422530526
31,2.9614410400390625,0.7101643085479736,44.71048438435457,100,8.952892780303955,320000,239.8982493877411,89.95797728976244,-24.33968847272229,4.990834712982178,-189.56948369368115,8.226722478866577,-0.008022058,0.015722036361694336,-1.4993604,-42.38440534722191
32,4.04106068611145,0.6171867847442627,47.04245813873224,100,11.81222414970398,330000,251.74709630012512,60.53868711962421,-21.78517831278696,6.773040056228638,-183.79190096060648,11.17666482925415,-0.0065608397,0.018065690994262695,-1.3567556,-37.418218778628066
33,3.709810733795166,0.7343134880065918,52.72203117478648,100,10.98043966293335,340000,262.75602865219116,102.23464312462883,-19.39693491405473,6.173008680343628,-164.45966359966795,10.222476720809937,-0.00039475097,0.023346662521362305,-2.054414,-34.57784443300451
34,3.0715832710266113,0.566706657409668,42.06889579322798,100,9.100113153457642,350000,271.8844790458679,85.79622662600819,-8.108516710267683,5.162664413452148,-144.98504368262576,8.519423961639404,0.018650513,0.013640165328979492,-3.5893445,-15.448993626268816
35,3.007450580596924,0.7764251232147217,35.3944690622138,100,9.11409068107605,360000,281.0215699672699,61.912861895605865,-11.917522953898672,5.038239479064941,-135.90421712159173,8.32175087928772,-0.008720825,0.015616178512573242,-3.2022374,-22.072255148202483
36,3.219770669937134,0.744694709777832,33.25492560354719,100,9.96628713607788,370000,291.01457262039185,57.06689838293178,-13.691676821882972,5.6759278774261475,-141.94919574732955,9.201837062835693,0.012421948,0.01945662498474121,-3.6620648,-24.760530383158734
37,4.436384916305542,0.514387845993042,26.765134302522142,100,13.28466272354126,380000,304.3261630535126,25.112264330563395,-16.164734876382507,7.901548147201538,-100.80006588817889,12.758223295211792,-0.023383887,0.011596918106079102,-4.773944,-30.75763923157279
38,3.795715093612671,0.7823734283447266,17.953532694003748,100,11.147881984710693,390000,315.49334383010864,8.692788701433562,-22.390439200233317,6.200557470321655,-82.6428206136329,10.333908557891846,-0.013273499,0.03125190734863281,-36.994427,-41.23563971231559
39,4.192195892333984,0.6635105609893799,5.268842772898465,100,11.63245415687561,400000,327.1609742641449,-21.88560675712656,-36.27919292216942,6.413140535354614,-78.42173240495175,10.946332454681396,0.016084097,0.02227640151977539,-56.97055,-57.9926898472554
40,3.2225890159606934,0.5746581554412842,18.89212811901789,100,9.123982667922974,410000,336.3109838962555,3.993597482490298,-26.16208416946577,5.037353277206421,-78.10867140135365,8.533461570739746,0.013733106,0.015538454055786133,-70.91641,-44.54934347916764
41,3.8325016498565674,0.6243448257446289,10.602084357811735,100,11.351318597793579,420000,347.68535566329956,41.68148701730769,10.164357237854752,6.5250163078308105,-8.297717849994179,10.709622383117676,-0.006679651,0.01707005500793457,-0.059729345,23.97246186023002
42,2.9266111850738525,0.6036686897277832,12.898532549957633,100,8.9736008644104,430000,356.68146085739136,43.73927523071051,8.821946140386666,5.13484001159668,-35.265678926560874,8.353592157363892,-0.002033423,0.01602339744567871,-2.9957528,22.709349282511827
43,4.072423219680786,0.6150763034820557,13.542919891844846,100,12.306771039962769,440000,369.0111963748932,39.073824691824804,8.938667507944563,7.2215187549591064,-35.668940303482266,11.675045013427734,-0.01366803,0.01637411117553711,-2.7374766,22.83662123911944
44,2.921057939529419,0.5655632019042969,14.798836246720867,100,8.949414253234863,450000,377.98371410369873,44.24467503624455,7.4274586884340685,5.165966272354126,-50.54648228701712,8.367778778076172,0.01536731,0.015800952911376953,-1.5644344,21.252804226866168
45,3.8808224201202393,0.5651905536651611,12.30779961989414,100,11.329669713973999,460000,389.33629870414734,37.695448454578504,6.130804557851114,6.5179054737091064,-7.419607348373609,10.75039553642273,-0.029787598,0.01384592056274414,-0.19523661,19.525836515052948
46,2.862359046936035,0.5597717761993408,13.972987487319815,100,8.68450117111206,470000,398.0427839756012,40.986217643547306,5.385286409275527,4.974468946456909,-40.150816487945484,8.107748746871948,0.00908772,0.016751766204833984,-0.072114505,18.68521925419533
47,3.9114341735839844,0.5555558204650879,13.14192846428513,100,11.626400709152222,480000,409.6928026676178,48.775678622095434,6.376630047750435,6.78821587562561,-32.15625925090091,11.056570529937744,0.026171643,0.014038801193237305,-0.02174801,20.272815994602013
48,2.831321954727173,0.5584704875946045,12.568591547120652,100,8.49420952796936,490000,418.20894622802734,42.56786437753706,6.884469896667947,4.8241448402404785,-18.031586762273122,7.919436693191528,0.011273315,0.016040325164794922,-0.016310034,20.909219743014983
49,3.84861421585083,0.5896036624908447,14.495074129838102,100,11.37586498260498,500000,429.60683512687683,42.32762275385147,3.891441827755852,6.567372560501099,-26.01844649268834,10.770792245864868,0.0041525145,0.015114307403564453,-0.023343883,17.046872329653205
50,2.820230722427368,0.6314873695373535,11.645822852764907,100,8.550026655197144,510000,438.17893266677856,39.68598595306917,5.17339566353909,4.814867258071899,-23.11676712521761,7.900257349014282,-0.018079003,0.018035888671875,-0.042141505,18.967618799996757
51,3.0102741718292236,0.5646350383758545,12.505625145794465,100,9.20951223373413,520000,447.4106607437134,40.05506866921241,5.802322896572256,5.318692922592163,-21.8762317339472,8.629352807998657,-0.0099582765,0.015149831771850586,-0.029326977,19.78348852800019
52,3.867311477661133,0.5575101375579834,13.53208549959299,100,11.398956775665283,530000,458.83260774612427,40.39839732398576,4.900203295441993,6.603866100311279,-21.05996218984772,10.825573205947876,0.037678394,0.015594005584716797,0.012483374,18.188923053954
53,2.962705612182617,0.6600487232208252,11.572214568683881,100,9.096240997314453,540000,467.95146560668945,39.940448994271485,6.91787893449863,5.17104434967041,-10.4370004179986,8.420428991317749,0.0063042482,0.01528310775756836,-0.0009074463,21.01545408284323
54,4.443575859069824,0.6171259880065918,11.828830267387179,100,13.002642393112183,550000,480.9897310733795,40.82284560922754,6.478887404317471,7.520144462585449,-27.165122354340934,12.365417957305908,0.0323573,0.01974320411682129,0.016090736,20.785534778270176
55,3.129965305328369,0.530754566192627,12.718569962673135,100,9.355962991714478,560000,490.3723382949829,42.67830319367714,7.003822288459746,5.391603231430054,-18.833873104660015,8.811952114105225,0.0069765868,0.012945413589477539,-0.014563818,21.14273789663188
56,3.631300687789917,0.668684720993042,10.19604557359094,100,10.79392695426941,570000,501.18568086624146,41.79100932394008,7.690512615444447,6.137389659881592,-11.251873074185944,10.106525897979736,-0.01456604,0.018439054489135742,-0.015286548,22.682416931013975
57,3.5823707580566406,0.6089935302734375,13.493323373445905,100,10.812948942184448,580000,512.0283079147339,44.56241539862254,6.811962649248624,6.26794695854187,-27.299549970249014,10.184529781341553,-0.0060230223,0.01896190643310547,-0.014256958,20.999935854009188
58,2.8565165996551514,0.5673246383666992,12.321364853893892,100,8.594084024429321,590000,520.6444222927094,40.44120904338164,6.672232824724305,4.879599332809448,-19.160951049483312,8.009217262268066,0.020760778,0.017237186431884766,0.012162622,20.766365188682638
59,3.8335721492767334,0.6200883388519287,11.485050457071623,100,11.416809558868408,600000,532.0850009918213,41.51142266217598,6.492219565648655,6.5943803787231445,-19.76989162250974,10.777814865112305,0.022030396,0.01860332489013672,0.02093108,20.617038515728265
60,2.8086774349212646,0.5806264877319336,11.789149993398741,100,8.54000997543335,610000,540.6468932628632,38.107854665922396,4.6466794545134045,4.872729539871216,-27.273239568067115,7.945406913757324,0.014928613,0.013672113418579102,0.0050083864,18.349830954483995
61,3.7978122234344482,0.6130368709564209,9.043688318602264,100,11.326543807983398,620000,551.9969079494476,39.32823729939158,8.200341771648585,6.551540374755859,-2.832502171393968,10.693693161010742,0.004550671,0.01953887939453125,0.0014466065,23.336066837798672
62,2.836244583129883,0.5587913990020752,12.681599706262867,100,8.528976440429688,630000,560.547958612442,43.260925677992375,6.748943231507104,4.849005460739136,-21.635807206671608,7.955390453338623,-0.010557788,0.014462947845458984,-0.01574131,20.986476180319077
63,2.817018747329712,0.5812625885009766,12.124116014833067,100,8.562506675720215,640000,569.1332280635834,37.155391597033926,4.151347147341559,4.873086452484131,-27.931241983208732,7.963284254074097,0.010408703,0.017682552337646484,0.0027586427,17.600422848322168
64,3.8702924251556396,0.5758271217346191,11.312541434692324,100,11.356770277023315,650000,580.5109295845032,38.70179303520291,5.379795079074906,6.546046733856201,-21.622188055100104,10.765194177627563,0.021267602,0.015291452407836914,0.01112644,19.653681290108942
65,3.34407377243042,0.5752646923065186,10.101594628101525,100,9.95380711555481,660000,590.4860033988953,37.922871315604425,7.162353158543117,5.710168361663818,-5.324660182769623,9.363835334777832,0.009761792,0.014382600784301758,-0.0014902344,22.025470293363586
66,2.824963331222534,0.59134840965271,12.015499368171218,100,8.551103591918945,670000,599.0590562820435,38.322699148839064,6.546675031931992,4.848299980163574,-25.561367251075964,7.942321538925171,-0.020942345,0.017124414443969727,-0.030536182,20.854985371509223
67,3.8842685222625732,0.5833418369293213,12.122066365693334,100,11.429064273834229,680000,610.5092511177063,40.64539666936325,6.092445762239565,6.589390993118286,-23.690428167783416,10.830734968185425,-0.0056121703,0.014724493026733398,-0.017624915,20.184203452543553
68,2.8442721366882324,0.5753827095031738,10.907268669221278,100,8.586243391036987,690000,619.1190147399902,42.65552972407718,7.17420050091651,4.877780199050903,-4.273903851706356,7.9931793212890625,-0.008687622,0.017447948455810547,-0.024546754,22.06868687774974
69,3.8847057819366455,0.594768762588501,11.80828769747278,100,11.503629684448242,700000,630.6462099552155,40.022004504498575,4.6231220806521724,6.653190612792969,-32.540377853201974,10.89065408706665,-0.022035584,0.017941951751708984,-0.030613232,18.36656050310405
70,3.3569250106811523,0.5341405868530273,12.356865083014469,100,9.929179668426514,710000,640.6001136302948,39.16833047077889,6.110779758929773,5.712267875671387,-33.933600386565544,9.381145000457764,-0.020575976,0.013582468032836914,-0.027135083,20.23758037223162
71,3.030324697494507,0.7412543296813965,11.503723965309094,100,9.250757694244385,720000,649.8690135478973,43.73048077895106,7.749832187613127,5.162861108779907,-13.165172651078926,8.483865737915039,-0.011461499,0.025264263153076172,-0.030022584,22.325418512755814
72,3.635408878326416,0.6361920833587646,11.073492346165628,100,10.859772205352783,730000,660.7617709636688,41.60114437246957,7.374010612342432,6.2293665409088135,-8.670263702852377,10.202500820159912,-0.01826383,0.020659446716308594,-0.02264707,21.917013517185193
73,3.185795783996582,0.5250523090362549,13.820157006810014,100,9.4387845993042,740000,670.2288010120392,44.84538718404034,5.8086684560764805,5.411817789077759,-28.24643338236172,8.899051189422607,-0.02721322,0.01440572738647461,-0.02555067,19.816883351302504
