LossAfter,train-AverageDiscountedReturn,train-NumTrajs,ItrTime,train-PolicyExecTime,train-MaxReturn,Time-Optimization,Time-Sampling,n_timesteps,train-MinReturn,Itr,Time-SampleProc,train-AverageReturn,train-StdReturn,Time,train-EnvExecTime,LossBefore
-0.02439788,24.30765682728871,100,25.24933695793152,14.227088212966919,34.47070970350685,1.089188575744629,24.045745372772217,990000,26.75497595968844,98,0.11367344856262207,30.8853671239089,1.6078811928723253,2486.6275362968445,9.106573581695557,-1.5258789e-09
0.0033391921,24.199771684688564,100,25.031443119049072,14.000931978225708,32.10063721058088,1.0670907497406006,23.834240198135376,1000000,27.140935470146974,99,0.12938714027404785,29.71683878601162,0.9770031845852211,2511.7226111888885,9.12780237197876,-7.629395e-09
-0.057361852,23.940976411313667,100,25.058793783187866,14.030820846557617,31.730879496555513,1.0644230842590332,23.86950969696045,1010000,27.034898240797883,100,0.12416863441467285,29.49540054197511,0.9238700483575183,2536.840218782425,9.13809609413147,6.1035155e-09
-0.019508118,24.356437797897883,100,25.091232299804688,14.091929912567139,32.62338915827282,1.0675766468048096,23.896684885025024,1020000,26.718185297919643,101,0.1261460781097412,30.18010309584609,1.109349180773933,2561.990618467331,9.105039834976196,1.525879e-08
-0.021089109,24.57643985437267,100,25.001336574554443,14.005264282226562,33.268350267862914,1.0891168117523193,23.79471516609192,1030000,27.184037910162008,102,0.11694169044494629,30.74012520408615,1.2641521848551902,2587.0542459487915,9.09763503074646,-6.2942505e-09
-0.031205231,24.48025391832943,100,24.936769723892212,14.014424800872803,34.015997997857276,1.0746798515319824,23.737952947616577,1040000,27.00080052321027,103,0.12331438064575195,31.114589540482868,1.4531759026711668,2612.0571582317352,9.009871244430542,-1.6212464e-08
-0.030740814,25.614219784295354,100,25.15546202659607,14.155399799346924,35.781052620892986,1.0727429389953613,23.93791151046753,1050000,28.403511895759284,104,0.14409565925598145,32.76155049862026,1.403255481329665,2637.2729692459106,9.077735662460327,-2.0599366e-08
-0.028945709,25.66581649575715,100,25.023484230041504,14.09274411201477,35.908707686876134,1.102637767791748,23.802207708358765,1060000,28.923996422154882,105,0.11799883842468262,32.80626781251381,1.397601175567397,2662.359705924988,9.0067298412323,-1.1444092e-09
-0.015857683,26.12193199814079,100,25.38021159172058,14.008824825286865,35.951775654544235,1.5913851261138916,23.66509461402893,1070000,29.743873469643074,106,0.12295961380004883,33.42615356669729,1.3850346170956722,2687.802703857422,8.95629072189331,-7.629395e-09
-0.00940267,26.201887083712354,100,25.05728578567505,14.147518396377563,37.220759711251716,1.0747158527374268,23.84092426300049,1080000,29.5062231658707,107,0.14095592498779297,33.660318889790325,1.6104718340619326,2712.951311826706,8.988428592681885,-0.0041394136
0.0014686966,26.189702092031517,100,25.02146625518799,14.05919623374939,36.46656689474136,1.0709104537963867,23.816877126693726,1090000,29.695667642852687,108,0.1329517364501953,33.93717089085794,1.3935355796925202,2738.028589248657,9.051886558532715,1.3351441e-08
-0.02507421,26.415075364688477,100,24.99677348136902,14.085764646530151,37.30513759231738,1.0672085285186768,23.81372570991516,1100000,29.825277653567554,109,0.11526727676391602,34.20550689853352,1.4261207373134126,2763.0909864902496,9.019277334213257,1.373291e-08
