Itr,LossBefore,train-MinReturn,n_timesteps,train-NumTrajs,train-AverageDiscountedReturn,Time-SampleProc,Time,train-MaxReturn,train-StdReturn,train-AverageReturn,Time-Sampling,ItrTime,Time-Optimization,LossAfter,train-EnvExecTime,train-PolicyExecTime
63,-1.2119408e-05,27.546371549679566,640000,100,24.374952938480206,0.033505916595458984,574.0447971820831,34.463787530792494,1.3981426089220494,31.62079494640497,5.889352798461914,6.161785364151001,0.23865842819213867,-0.0033164797,2.12272047996521,3.5745413303375244
64,-1.2044773e-05,27.0590972645823,650000,100,24.414245036024067,0.03987860679626465,581.3031203746796,34.5759400184333,1.6451425275106877,31.661506654503775,6.9629926681518555,7.2445268630981445,0.24133563041687012,0.0014764171,2.5009803771972656,4.244512319564819
65,-1.1993065e-05,28.282388845491095,660000,100,24.705475817654882,0.0477297306060791,589.0898559093475,35.31542916965548,1.3643146987074446,31.82771349728697,7.437277555465698,7.775542259216309,0.2902495861053467,-0.0014822922,2.7073967456817627,4.500150918960571
66,-1.1930131e-05,28.6934157872502,670000,100,24.604397240991442,0.0395047664642334,598.2389230728149,35.43864321337131,1.349176324039372,31.849026999399985,8.793062925338745,9.13409423828125,0.30123019218444824,-0.0020346832,3.167121171951294,5.348656177520752
67,-1.1892117e-05,27.314413225237654,680000,100,24.71115844350067,0.0299837589263916,606.4788641929626,34.90166582800751,1.5131975512181954,31.867928033161583,7.972031354904175,8.22312068939209,0.22080516815185547,-0.0027166312,2.8710901737213135,4.854377031326294
68,-1.1852139e-05,28.649308354214405,690000,100,24.832048394613988,0.040511369705200195,612.3921234607697,35.61525295841945,1.34020262444123,32.141957366912024,5.6447789669036865,5.9026103019714355,0.21697616577148438,-0.0024370595,2.031724452972412,3.4310340881347656
69,-1.1794031e-05,26.031903929705972,700000,100,24.806071879809974,0.027521610260009766,618.3924887180328,34.71443040557713,1.630643460625621,32.08381322822638,5.7359349727630615,5.989634037017822,0.22595453262329102,-0.003083027,2.0895330905914307,3.4634320735931396
70,-1.17256795e-05,28.51181324941286,710000,100,24.72004344244361,0.03328657150268555,624.4412472248077,35.13907749505311,1.40099900778523,32.03646370414493,5.774338006973267,6.039038419723511,0.2311842441558838,-0.0019534256,2.081937789916992,3.509969472885132
71,-1.1679315e-05,27.82191766953606,720000,100,24.87185779399168,0.03509688377380371,631.0943691730499,35.27210768951729,1.4448757733840063,32.178653047584184,6.357552528381348,6.643362283706665,0.25051355361938477,-0.0035183458,2.2912590503692627,3.868914842605591
72,-1.161203e-05,29.012724018503107,730000,100,24.819447303140734,0.04581427574157715,638.2286491394043,35.999360643722056,1.4787391326129204,32.21322632665662,6.796959638595581,7.123562812805176,0.28043460845947266,-0.002401764,2.481900691986084,4.103788614273071
