Time-Sampling,Time-Optimization,train-AverageDiscountedReturn,train-MaxReturn,n_timesteps,train-NumTrajs,Time-SampleProc,ItrTime,train-EnvExecTime,train-PolicyExecTime,Time,LossAfter,train-AverageReturn,train-MinReturn,Itr,LossBefore,train-StdReturn
26.404456615447998,1.0679950714111328,126.52103448071225,228.97019120139282,540000,100,0.11501598358154297,27.588129997253418,11.435753583908081,14.258121728897095,1490.005729675293,-0.0010138428,219.06352614618322,206.78153343891904,53,2.4414062e-08,3.7212828515957646
26.296655654907227,1.087665319442749,126.99888586230637,230.12048800182538,550000,100,0.11570048332214355,27.50063705444336,11.399730205535889,14.19115138053894,1517.5676729679108,-0.0011737,220.37994340863597,206.48623519562943,54,3.4332275e-09,4.458941578987496
26.218119144439697,1.0653295516967773,127.24701206829157,229.64953158703412,560000,100,0.12325644493103027,27.407397747039795,11.345813035964966,14.170740842819214,1545.0361516475677,-0.003824118,221.46176951982693,207.48356059071406,55,-3.0517577e-09,4.16238874572828
26.212000131607056,1.0713276863098145,127.30941903573485,231.63725780854622,570000,100,0.11461639404296875,27.3988299369812,11.273595809936523,14.228620052337646,1572.4973604679108,-0.002614026,221.8515792763107,208.97502692944815,56,-6.1035155e-09,4.589764467553304
26.200851678848267,1.0843968391418457,127.36378668304596,231.66744951146757,580000,100,0.11402773857116699,27.400004625320435,11.224867343902588,14.271134376525879,1599.9600689411163,-0.0038144044,222.3098318849519,186.79602723507702,57,-1.2207031e-08,5.973179552155839
26.16203474998474,1.0860376358032227,127.72335459269462,232.21353168140897,590000,100,0.11564397811889648,27.3643057346344,11.258976697921753,14.204124689102173,1627.3868432044983,-0.0025095702,222.54946520974846,214.42763806389544,58,6.1035155e-09,3.882404642199799
26.19361710548401,1.0729970932006836,128.2164457212862,232.33285547648097,600000,100,0.11590862274169922,27.38323736190796,11.303764820098877,14.192048788070679,1654.83300447464,-0.0028547607,223.65956633838917,209.6929384288061,59,2.4414062e-08,3.9356595497446585
26.176475048065186,1.0561628341674805,127.92794873741565,235.75182649859565,610000,100,0.12564754486083984,27.359045028686523,11.313687562942505,14.168139219284058,1682.249145269394,-0.0035924905,223.20517201816213,192.6608735359557,60,4.005432e-09,6.106529347897012
26.21664595603943,1.1691768169403076,128.3032078302615,231.30862410038657,620000,100,0.13524770736694336,27.521711111068726,11.298202753067017,14.207614183425903,1709.8364856243134,-0.0015078796,223.91335121563176,209.00204547959103,61,3.6621095e-08,4.028877361983667
25.974708318710327,1.5415425300598145,128.15471443005154,234.93678748587615,630000,100,0.12739849090576172,27.64432144165039,11.226422548294067,14.048657178878784,1737.559175491333,-0.003205835,223.98895226338206,195.65931491220758,62,-1.373291e-08,5.260170253887458
26.16637372970581,1.3663673400878906,128.57182865820167,237.1361886214651,640000,100,0.19770002365112305,27.731688976287842,11.30308723449707,14.16177487373352,1765.3878753185272,-0.00068583374,224.69738867141066,210.66599174912108,63,3.051758e-08,4.537477778657744
26.12916326522827,1.0555531978607178,128.46681755423512,234.01083277182278,650000,100,0.11520075798034668,27.300544023513794,11.266731023788452,14.155148983001709,1792.7495300769806,-0.002082055,224.09441337335136,208.8560144040357,64,3.0517577e-09,4.422116355416706
26.148485898971558,1.0660207271575928,128.6616315695693,232.61886834051927,660000,100,0.11949324607849121,27.33478617668152,11.243848085403442,14.208426475524902,1820.147590637207,-0.00058119505,224.68748554208298,212.93997783095804,65,6.1035155e-09,4.004728827292176
26.24420928955078,1.0620019435882568,128.79354657338388,232.1530838021324,670000,100,0.11841034889221191,27.42535161972046,11.317985773086548,14.226309776306152,1847.63121676445,-0.00047905275,224.84910374940392,208.85565503924437,66,0.0004907715,4.061290555303103
26.212188243865967,1.1010968685150146,128.72274264680712,234.15193592707737,680000,100,0.1140584945678711,27.42802596092224,11.348402500152588,14.163272142410278,1875.1149804592133,-0.00043892823,224.69733843108247,202.42053928446114,67,-1.2207031e-08,4.8245336855393814
26.100258350372314,1.0727839469909668,129.18122661263084,235.41797659982757,690000,100,0.11871719360351562,27.29248046875,11.295247793197632,14.099776029586792,1902.4744834899902,-0.0017876938,225.64921403600994,211.4669152927717,68,1.373291e-08,4.876554803787923
26.09098482131958,1.0577726364135742,128.9168033012382,236.65968501148336,700000,100,0.11177253723144531,27.261266231536865,11.281805992126465,14.107272386550903,1929.7954080104828,0.000431958,224.98823017481936,208.1874022836549,69,0.00152108,5.223046888357975
26.168534994125366,1.0646886825561523,129.02692791669668,236.23469926919702,710000,100,0.11626553535461426,27.3501193523407,11.238725185394287,14.222793102264404,1957.2017414569855,-0.0017420776,225.49807738957912,210.8605186158317,70,-9.155274e-09,4.894223096934152
26.132323265075684,1.108088493347168,129.38290105287456,237.40676798391038,720000,100,0.14435267448425293,27.38539481163025,11.247308731079102,14.17601752281189,1984.6462061405182,-0.0017235413,226.29798211550457,211.03152710312153,71,-9.155274e-09,5.240570691629557
26.51951313018799,1.0573761463165283,129.70677562405064,240.0020544211643,730000,100,0.11426353454589844,27.691800594329834,11.48075270652771,14.321300506591797,2012.4093136787415,-0.003135376,227.20620003571833,214.6544553975912,72,-1.2207031e-08,4.877466463647631
26.13290309906006,1.0739855766296387,129.4857090422639,240.2164457807415,740000,100,0.10323905944824219,27.311051607131958,11.223380088806152,14.201666116714478,2039.7839562892914,-0.004429196,226.4739556275042,198.86697834542753,73,1.5258789e-09,6.5974594567924205
