train-MinReturn,n_timesteps,train-PolicyExecTime,train-MaxReturn,Time-Optimization,train-EnvExecTime,Itr,ItrTime,Time-Sampling,train-AverageDiscountedReturn,train-NumTrajs,LossBefore,LossAfter,Time,train-StdReturn,Time-SampleProc,train-AverageReturn
-96.9236699071524,960000,14.750967979431152,95.22949263029165,1.162013292312622,8.724589824676514,95,25.558550119400024,24.239492654800415,-2.726181977652376,100,-1.30905e-05,-0.018751608,2464.1391654014587,34.74243698514868,0.156235933303833,-1.6643672110662886
-85.74527905471696,970000,14.73662805557251,80.36027449222877,1.1977317333221436,8.754063129425049,96,25.59352135658264,24.256742000579834,-2.3310011264712376,100,-1.3069209e-05,-0.017959395,2489.8095257282257,37.47663165188517,0.1382136344909668,-2.343351862483606
-80.92191596231181,980000,14.899946928024292,59.98256019291324,1.6327142715454102,8.730319499969482,97,26.177577018737793,24.398698806762695,-6.400386990749762,100,-1.30367225e-05,-0.019255307,2516.0620262622833,31.647586584252068,0.144484281539917,-10.23197820605136
-64.51733493669323,990000,14.515426635742188,61.25943251854304,1.7062275409698486,8.69921326637268,98,25.87555503845215,23.974234104156494,-4.644752238697561,100,-1.3058009e-05,-0.018562768,2542.0324614048004,28.068894618030072,0.1926126480102539,-5.801635214909223
-121.52675731434529,1000000,14.492778539657593,109.32694308350348,1.4102296829223633,8.690799236297607,99,25.610016584396362,23.97388195991516,-2.9288129012033193,100,-1.3016768e-05,-0.019275457,2567.7090978622437,37.58259855613977,0.2245471477508545,-4.05938355435733
-100.96813291089224,1010000,14.55216932296753,87.01943085903942,1.2477774620056152,8.694756269454956,100,25.46704864501953,24.01993489265442,-4.643037933741233,100,-1.3010203e-05,-0.019682257,2593.2439930438995,35.32526080562317,0.19640851020812988,-6.3993367446261376
-120.53740671821409,1020000,14.743767738342285,134.22862201342605,1.1369738578796387,8.77247428894043,101,25.568535089492798,24.289830207824707,-5.0951070982750775,100,-1.300147e-05,-0.019404668,2618.8798089027405,38.236333548259964,0.14107179641723633,-6.7655075820348705
-104.29401174170223,1030000,14.818182468414307,94.99816164559827,1.1499428749084473,8.735748052597046,102,25.6272714138031,24.32497239112854,-3.8387200892521958,100,-1.2979131e-05,-0.019573068,2644.579308986664,35.135577442588946,0.15152549743652344,-3.9956825946971493
-85.77166998228418,1040000,14.833686828613281,74.21032226747644,1.1434173583984375,8.763638496398926,103,25.674986839294434,24.363520622253418,-2.3327673950138132,100,-1.2951873e-05,-0.019679273,2670.3291006088257,30.121068046456276,0.16718411445617676,-4.595248297218064
-80.74045222533289,1050000,14.684317827224731,83.2683221007007,1.153642177581787,8.766820907592773,104,25.507226943969727,24.211649179458618,1.2904238952815796,100,-1.2947322e-05,-0.018372813,2695.9049229621887,34.051301549011235,0.14115667343139648,2.2089819555772916
