LossBefore,train-PolicyExecTime,ItrTime,train-AverageReturn,LossAfter,Time-Sampling,Time-SampleProc,train-MaxReturn,train-MinReturn,n_timesteps,Time-Optimization,train-EnvExecTime,train-NumTrajs,train-StdReturn,Itr,Time,train-AverageDiscountedReturn
-1.108699e-05,14.188187599182129,24.702415704727173,139.10265586151246,-0.013496494,23.456817865371704,0.12594985961914062,194.38522476764632,48.69720996753697,1590000,1.1187012195587158,8.53813648223877,100,31.906044083478093,158,3970.3383405208588,76.8399807829589
-1.105312e-05,14.24236273765564,24.745718002319336,143.34115938666352,-0.0122105535,23.517191410064697,0.12125134468078613,232.1154620479658,49.7742520879018,1600000,1.106675624847412,8.549676895141602,100,37.20590229862406,159,3995.1507058143616,79.66257253852613
-1.1049541e-05,14.204121351242065,24.74636149406433,140.96862104079653,-0.012267645,23.510619401931763,0.12973809242248535,220.9444391047808,57.38296888022096,1610000,1.1050045490264893,8.57366418838501,100,37.0235285841425,160,4019.959728717804,78.75863018552229
-1.1027976e-05,14.233672857284546,24.7734854221344,134.52401253515987,-0.013764245,23.520280361175537,0.1255810260772705,195.36042303855578,60.44321906560208,1620000,1.1267938613891602,8.558671474456787,100,33.149317872501165,161,4044.7923877239227,75.41280982093883
-1.0971404e-05,14.170517683029175,24.705889463424683,144.83656737350353,-0.011443067,23.48086977005005,0.12312197685241699,219.30093613660927,69.11454434065405,1630000,1.1011536121368408,8.567563533782959,100,34.736991715913405,162,4069.564803123474,80.72051543228326
-1.0946941e-05,14.30726957321167,24.90135884284973,144.7816404930131,-0.014473328,23.649974822998047,0.12596631050109863,229.63876593647092,51.344569418485456,1640000,1.1246955394744873,8.609762907028198,100,36.66520256222647,163,4094.5291113853455,81.17170863974573
-1.0949639e-05,14.19235110282898,24.742231607437134,144.11160192471414,-0.014643613,23.495898246765137,0.13534879684448242,250.9233934404933,72.21260501360264,1650000,1.1103131771087646,8.581347942352295,100,32.71737781942008,164,4119.337378501892,80.48575106493347
-1.0913375e-05,14.265513181686401,24.810632944107056,142.96174780465634,-0.012028458,23.595841884613037,0.12233304977416992,218.86312842275356,66.49453683126089,1660000,1.0917584896087646,8.604623556137085,100,31.037714197195456,165,4144.210047483444,80.12513657888039
-1.0886892e-05,14.292677879333496,24.847031354904175,139.77643811730732,-0.010474397,23.59976100921631,0.12211847305297852,216.88369804391314,26.70762341445,1670000,1.124488353729248,8.58309817314148,100,36.0319443274835,166,4169.11633515358,77.98225015524525
-1.0905763e-05,14.183185338973999,24.73777675628662,138.5937516480255,-0.009722617,23.49179744720459,0.12711811065673828,231.39450507329101,24.627223240961193,1680000,1.1177918910980225,8.575999736785889,100,37.513595601919064,167,4193.927054643631,77.758198081999
-1.0876847e-05,14.267372608184814,24.863415002822876,144.6827798395121,-0.01226877,23.60773515701294,0.12388753890991211,244.50344525455105,57.94633542247826,1690000,1.1311490535736084,8.606122493743896,100,36.0661777556291,168,4218.855000495911,80.64742084802519
-1.0850487e-05,14.342023372650146,24.967549562454224,152.51674834259774,-0.01324707,23.695574045181274,0.16069388389587402,249.67072800026065,67.56198509116014,1700000,1.1105575561523438,8.623918533325195,100,32.12692015934088,169,4243.882120609283,85.23692160550024
-1.0820935e-05,14.285567283630371,24.825817108154297,149.20955085154813,-0.012043508,23.598076343536377,0.12080216407775879,233.58484658138815,74.30709570626468,1710000,1.1061995029449463,8.572204828262329,100,33.762513392678464,170,4268.77813243866,84.02005557559761
-1.0792018e-05,14.44083285331726,25.085654973983765,145.95344979673177,-0.014606458,23.865211725234985,0.128035306930542,225.82139144883823,50.40515300028597,1720000,1.0916199684143066,8.694864511489868,100,35.13322178715725,171,4293.928119421005,82.13050627010634
-1.0788057e-05,14.345690250396729,24.8716037273407,144.55984135855348,-0.013122699,23.59977912902832,0.11936306953430176,220.58489353263016,64.27079327855317,1730000,1.1515862941741943,8.540050268173218,100,33.55957077524449,172,4318.860753536224,80.4660191588327
-1.0803966e-05,14.338286638259888,24.89686608314514,149.8546913899055,-0.014617808,23.665764331817627,0.12433433532714844,242.58544386024698,75.8014105012579,1740000,1.1060717105865479,8.591967105865479,100,38.02327145912636,173,4343.818765640259,84.14368752026672
-1.0758731e-05,14.314756155014038,24.88460898399353,152.9572805452492,-0.013015714,23.647025108337402,0.14720439910888672,216.8288699472819,86.50344556409087,1750000,1.0895671844482422,8.604431629180908,100,31.582946694968637,174,4368.76393032074,85.90786152452938
-1.0759717e-05,14.338892221450806,24.957316160202026,151.5727105871317,-0.011328093,23.701476573944092,0.14773845672607422,244.42837543271645,60.958855951345015,1760000,1.1074299812316895,8.636738777160645,100,35.09666266595267,175,4393.792393445969,84.78104129959418
-1.0742219e-05,14.188761472702026,24.782888650894165,152.54734630209197,-0.012943778,23.529786109924316,0.14269590377807617,220.63750808621856,72.06103105853651,1770000,1.1097984313964844,8.62068247795105,100,36.342087553410806,176,4418.634321451187,85.77574421137406
-1.0778655e-05,14.30631422996521,24.89693570137024,151.51494841248737,-0.014668749,23.650084972381592,0.13831853866577148,247.588558637518,65.93320645046998,1780000,1.107771396636963,8.612209796905518,100,35.44661767815387,177,4443.591408729553,85.33437738190354
-1.0708598e-05,14.236561298370361,24.772949695587158,155.63777437729766,-0.013153384,23.523674488067627,0.1294100284576416,240.98625993000567,50.60688571108616,1790000,1.1192240715026855,8.545448303222656,100,35.66004007010756,178,4468.429463863373,86.82989307304746
-1.0671816e-05,14.323535680770874,24.923690795898438,149.97806717683375,-0.012583222,23.66141414642334,0.13808846473693848,227.39906332545888,74.57047978662455,1800000,1.1234536170959473,8.613174438476562,100,32.84677441924505,179,4493.429693222046,83.87382791678263
-1.067316e-05,14.405381917953491,25.160447359085083,160.4689024195007,-0.009684701,23.885376930236816,0.1676647663116455,252.1470348465004,58.51939619354477,1810000,1.1063120365142822,8.742587804794312,100,41.88153423809091,180,4518.660289287567,89.85595917045383
-1.0647851e-05,14.292730569839478,24.887462615966797,160.3769454346241,-0.012865763,23.635105848312378,0.13707923889160156,233.38538513761767,50.937252815506874,1820000,1.1145367622375488,8.606110095977783,100,39.946120784394076,181,4543.612569093704,89.54119302401732
