train-PolicyExecTime,Time-SampleProc,train-AverageDiscountedReturn,train-StdReturn,train-MaxReturn,Time-Sampling,Time,Time-Optimization,train-EnvExecTime,LossBefore,Itr,n_timesteps,train-NumTrajs,train-MinReturn,ItrTime,LossAfter,train-AverageReturn
4.5257439613342285,0.06772375106811523,97.76021587744076,37.23414480583209,243.26532727824306,7.199477910995483,1313.5402083396912,0.4887125492095947,2.4546706676483154,-9.714384e-06,159,1600000,100,44.88277192461161,7.75624680519104,-0.010164422,167.7849825871623
5.775007724761963,0.05958366394042969,97.69265638015472,39.73005786727111,243.61490745197932,9.237151622772217,1323.347261428833,0.4832596778869629,3.183051824569702,-9.721904e-06,160,1610000,100,0.8457331265870505,9.780396938323975,-0.013961181,166.48696942943886
5.67248010635376,0.060204505920410156,94.19626899092393,38.19956045145923,229.06621379189036,9.076833724975586,1332.9862189292908,0.47418928146362305,3.1282379627227783,-9.6909735e-06,161,1620000,100,-71.5773270703609,9.61159634590149,-0.011346592,161.2470541970676
5.583724737167358,0.05984997749328613,98.72945534794678,43.477896021111015,242.63251479904403,8.930166006088257,1342.4877285957336,0.48363518714904785,3.0745415687561035,-9.667482e-06,162,1630000,100,-11.608568327201349,9.47394585609436,-0.0125765465,168.42242671246152
5.671792984008789,0.06105971336364746,100.92569539811826,36.45891859448149,251.51982446031784,9.094322443008423,1352.177975654602,0.5048720836639404,3.1452903747558594,-9.647165e-06,163,1640000,100,46.26947294397828,9.66060495376587,-0.011955085,171.79572401011995
5.6335577964782715,0.11090779304504395,97.64377162163093,45.977493099466564,257.12752087719974,9.016014337539673,1361.830650806427,0.4971776008605957,3.1064507961273193,-9.627156e-06,164,1650000,100,-102.40988177592311,9.62440824508667,-0.009378425,168.08086649998458
5.555231332778931,0.053923606872558594,102.55798096267814,41.05860726603998,256.71170640329984,8.910766363143921,1371.3031558990479,0.47926878929138184,3.0830557346343994,-9.616985e-06,165,1660000,100,-5.792307182277737,9.44435167312622,-0.014031769,176.36024097017096
4.201367139816284,0.07938551902770996,99.72702090737954,40.02041423895169,252.74186802599135,6.654046058654785,1378.41086602211,0.34023165702819824,2.2453818321228027,-9.59018e-06,166,1670000,100,-60.413308275973044,7.079813241958618,-0.013092279,171.83275988790282
3.841557264328003,0.05421948432922363,99.07320160081228,37.41541452178873,246.0863959344387,6.117551326751709,1384.9553260803223,0.3548097610473633,2.084190607070923,-9.589657e-06,167,1680000,100,37.52163023361243,6.526868104934692,-0.013592316,169.159641592967
3.889695167541504,0.06335902214050293,99.51869601087832,32.173720984447876,239.14158789824427,6.205971956253052,1391.5978918075562,0.3552846908569336,2.1198220252990723,-9.5682235e-06,168,1690000,100,90.87834666000175,6.625058174133301,-0.013145566,169.5577140969858
4.125409364700317,0.06151437759399414,101.37475579387161,40.75933271051537,245.63062917810657,6.579621315002441,1398.6488280296326,0.3916614055633545,2.245720148086548,-9.536386e-06,169,1700000,100,-73.70210344894093,7.033147096633911,-0.0114876805,173.07491107764915
