train-MinReturn,n_timesteps,Time-Optimization,LossAfter,Time-Sampling,train-PolicyExecTime,train-NumTrajs,Itr,LossBefore,Time,train-StdReturn,train-AverageReturn,ItrTime,train-AverageDiscountedReturn,Time-SampleProc,train-EnvExecTime,train-MaxReturn
-50.81372286756975,1450000,1.639791488647461,-0.016125776,23.142602682113647,13.964709520339966,100,144,-6.1035155e-09,3652.2764480113983,31.26930282687547,44.07063262136292,24.932493686676025,24.805338816833927,0.14939498901367188,8.47755217552185,121.99443922065574
-73.71691013803908,1460000,1.6718308925628662,-0.015556522,23.114228010177612,13.937180995941162,100,145,9.155274e-09,3677.2743179798126,38.377479419821185,43.9460377998939,24.90403151512146,24.180347035911563,0.11731505393981934,8.479174375534058,130.59690310088016
-58.8378999997577,1470000,1.5181784629821777,-0.01496283,23.13929772377014,13.92872929573059,100,146,-2.4414062e-08,3702.1509902477264,35.68539708007791,41.729471985475286,24.777281761169434,22.735220032172098,0.11861634254455566,8.507542848587036,127.5502950725963
-80.6510549362672,1480000,1.4880492687225342,-0.015355658,23.236695528030396,14.024547576904297,100,147,1.8310548e-08,3727.086634159088,36.94181679897513,52.43729409896206,24.85239839553833,29.93651873105023,0.1260986328125,8.506792783737183,134.83466952137837
-52.66548911104756,1490000,1.5737905502319336,-0.017767543,23.229800939559937,14.067238569259644,100,148,-3.8146974e-09,3752.125053167343,35.040515343030094,49.93404406611053,24.931915044784546,27.947703315740704,0.12675213813781738,8.464428901672363,136.29087390346095
-68.24904470463522,1500000,1.4819986820220947,-0.01821269,23.17418932914734,14.009621143341064,100,149,-6.1035155e-09,3776.9959444999695,32.96857669902207,52.5745323934129,24.78983736038208,30.419053366437407,0.13226866722106934,8.46646499633789,117.28961732317916
-29.848844239814376,1510000,1.461517572402954,-0.019278811,23.31460690498352,14.104641914367676,100,150,-2.746582e-08,3801.9823977947235,37.755119360402006,56.14442690727171,24.901106595993042,32.0603090526418,0.12368226051330566,8.491625308990479,144.3726713041001
-70.76124803078844,1520000,1.5658457279205322,-0.018535614,23.308735132217407,14.092587947845459,100,151,-1.2207031e-08,3827.091067790985,40.410214940954134,53.11557821364338,25.026395797729492,29.250125521378195,0.15065288543701172,8.518097877502441,120.62157952015443
-48.285228079307956,1530000,1.6332838535308838,-0.016835714,23.224968433380127,14.011491775512695,100,152,0.00033600006,3852.234793663025,35.86353067617161,53.19566073950637,25.013416051864624,29.74256946383373,0.15442132949829102,8.505911827087402,113.87383549168872
-70.08897422359868,1540000,1.7060368061065674,-0.014817586,23.17374324798584,14.013954877853394,100,153,-1.8310548e-08,3877.3814799785614,41.297631492396164,61.941349411936955,25.02740716934204,34.99949287615782,0.14634466171264648,8.462226390838623,137.81665711118916
-41.31153626035525,1550000,1.6321744918823242,-0.0140163265,22.954156398773193,13.844879627227783,100,154,0.009864505,3902.187333583832,33.53849351824955,56.37249492220697,24.722461700439453,31.528201035742168,0.13528943061828613,8.405940532684326,130.53240536424286
-43.66599909502016,1560000,1.5591826438903809,-0.012680457,23.19477653503418,14.030845403671265,100,155,-2.4414062e-08,3927.19473195076,40.037188257806754,52.924549271351516,24.91396689414978,29.811611409643373,0.15836715698242188,8.46207332611084,124.97640095765598
-29.17453140524592,1570000,1.5328867435455322,-0.015998688,23.29096221923828,14.12121868133545,100,156,-3.051758e-08,3952.277286052704,35.5330645286842,53.622339424353164,24.98369026184082,30.28782782217845,0.15878677368164062,8.464106559753418,142.31555998248308
-31.14753631623546,1580000,1.4369299411773682,-0.014182498,23.17048454284668,14.016941547393799,100,157,6.1035155e-09,3977.1257321834564,38.03081964933132,58.434263765714256,24.750934600830078,31.819578354417075,0.142622709274292,8.446569204330444,158.92087885130547
-38.56039489620312,1590000,1.3120315074920654,-0.009178758,23.275500535964966,14.094391822814941,100,158,1.8310548e-08,4001.953556537628,34.01354615897176,59.88914441809937,24.715036630630493,32.61565485748821,0.1253066062927246,8.476882219314575,141.3738725532964
-23.963707418695048,1600000,1.1389286518096924,-0.014855942,23.32460355758667,14.150489091873169,100,159,0.02106149,4026.6296861171722,35.339162566411545,59.371386283155324,24.587844610214233,33.553852829516615,0.12355422973632812,8.47418999671936,142.78154216259497
-61.0568589583527,1610000,1.094886064529419,-0.012798354,23.389846563339233,14.186790227890015,100,160,5.340576e-09,4051.3259587287903,34.96094430939982,57.24615032400818,24.605798721313477,31.50768246021237,0.1190643310546875,8.507748365402222,143.85442272596634
-65.48369476288353,1620000,1.100006341934204,-0.015004388,23.690233945846558,14.413328886032104,100,161,-2.4414062e-08,4076.3046460151672,43.509042830920464,56.21138759537138,24.913372039794922,31.89845184138824,0.12240290641784668,8.56337594985962,128.98787709467922
-53.56896216788105,1630000,1.104914903640747,-0.015051557,23.520162105560303,14.320635795593262,100,162,1.8310548e-08,4101.131518125534,37.1044545564965,58.14264361483891,24.747516870498657,32.912600901153766,0.12166333198547363,8.484928369522095,142.8089265356805
-34.75110923469632,1640000,1.1237964630126953,-0.016177215,23.564501523971558,14.337836742401123,100,163,1.2207031e-08,4126.010860443115,35.14772455293768,55.10428046958704,24.814770460128784,31.92033270511848,0.12577509880065918,8.507932186126709,136.3803928110561
-73.3247806830272,1650000,1.12078857421875,-0.015962744,23.56270408630371,14.289209365844727,100,164,1.8310548e-08,4150.886600494385,37.56492182599928,56.423302863538304,24.81328320503235,32.06527725053717,0.128814697265625,8.55842924118042,124.06892092693188
-62.9325882788152,1660000,1.0979082584381104,-0.014803442,23.60429358482361,14.304148435592651,100,165,6.1035155e-09,4175.7844388484955,40.204265260823334,56.25267439048672,24.83398151397705,32.60962253961847,0.1307382583618164,8.580690145492554,154.72043718802897
-18.703479846201464,1670000,1.1280169486999512,-0.017666481,23.611579656600952,14.339073896408081,100,166,7.6293943e-10,4200.713697433472,37.85476214196336,64.01841509414261,24.862884283065796,36.37281244675088,0.12249612808227539,8.5436851978302,146.61793693004503
-90.84136035360214,1680000,1.117264986038208,-0.018949129,23.827896118164062,14.506422758102417,100,167,-2.1362304e-08,4225.843757867813,35.15134591891595,51.77907922362095,25.064001321792603,29.616729487199795,0.11813569068908691,8.60443377494812,142.05493040419572
-55.34848544201218,1690000,1.1321702003479004,-0.016064698,23.535284280776978,14.284076690673828,100,168,-1.8310548e-08,4250.710782051086,39.46153644133846,54.267681850212774,24.803120613098145,31.183935691287928,0.13471460342407227,8.545336484909058,149.7626040022587
-27.592677083063794,1700000,1.1263914108276367,-0.017556587,23.5730299949646,14.34488844871521,100,169,-0.000917614,4275.599797487259,34.42965792587357,58.104906935358855,24.82823872566223,33.40888971341934,0.1276254653930664,8.518646955490112,132.7014706063129
-37.58227911392004,1710000,1.1211521625518799,-0.016588626,23.543479442596436,14.286613941192627,100,170,6.1035155e-09,4300.492541313171,36.71136504341824,57.9798185881139,24.821316480636597,33.37962636113243,0.15583515167236328,8.552854537963867,153.60210251151767
