train-PolicyExecTime,train-NumTrajs,Time-Optimization,n_timesteps,train-MaxReturn,LossBefore,Time-SampleProc,Time-Sampling,Time,Itr,train-AverageReturn,ItrTime,train-StdReturn,train-AverageDiscountedReturn,train-MinReturn,LossAfter,train-EnvExecTime
16.316100120544434,100,0.42662787437438965,1640000,175.83529267206868,-9.982936e-06,0.16504359245300293,21.488537073135376,3655.7889642715454,163,101.72372533107092,22.081421375274658,32.14089632863279,59.92402284256402,-2.7390712765430556,-0.011741024,4.728142499923706
16.833106517791748,100,0.4586923122406006,1650000,161.83936768019421,-9.969237e-06,0.17922544479370117,22.215841054916382,3678.658834218979,164,98.7594059707417,22.85759663581848,28.437866435874177,57.618570815076076,18.39456322897167,-0.006681201,4.906901836395264
15.267107009887695,100,0.6339433193206787,1660000,160.986080578486,-9.9551335e-06,0.17120003700256348,20.43030548095703,3699.9089267253876,165,102.16841109315496,21.235973596572876,32.365120539423266,60.61125214433437,17.140480755871877,-0.015936114,4.69757866859436
15.275599002838135,100,0.5074028968811035,1670000,148.92815319374333,-9.921346e-06,0.15165138244628906,20.677786350250244,3721.263219356537,166,92.85569548907544,21.340584754943848,33.792492157670154,56.6617576077497,-1.2208818075593606,-0.015062698,4.919452905654907
16.753018617630005,100,0.569624662399292,1680000,197.82337912132442,-9.884621e-06,0.18940472602844238,22.15372109413147,3744.194185256958,167,102.84302166333003,22.915523290634155,35.540196201174865,60.69799486540741,10.489251850588177,-0.013783458,4.907242059707642
17.64878273010254,100,0.5057978630065918,1690000,181.59273305813392,-9.855732e-06,0.18325328826904297,22.971389532089233,3767.901034116745,168,93.92484827356041,23.688597679138184,37.938769815539985,55.36081898701599,-14.617692532784961,-0.0152990045,4.854740142822266
15.792845010757446,100,0.41463279724121094,1700000,173.0012938024143,-9.822294e-06,0.13771939277648926,21.079038858413696,3789.549162864685,169,103.16975108604211,21.632933855056763,37.59027675128342,61.1780520285381,8.14729524173295,-0.014238142,4.823672771453857
14.251260042190552,100,0.5331106185913086,1710000,206.36868352311495,-9.788603e-06,0.25823140144348145,19.37546968460083,3809.733447790146,170,107.72761147185489,20.16892123222351,37.796221290786164,63.897756855479045,12.886285017438535,-0.016177302,4.683032989501953
15.650769472122192,100,0.666008472442627,1720000,183.70975447946904,-9.773329e-06,0.19101762771606445,20.97140669822693,3831.5824818611145,171,103.10357640523561,21.82972812652588,37.38867573854616,60.977686661309356,-1.1590608533811784,-0.013209119,4.862755537033081
17.32778763771057,100,0.6038870811462402,1730000,202.09031374647543,-9.740698e-06,0.07753348350524902,22.69683837890625,3854.975890159607,172,108.26195864998941,23.379167318344116,30.849924999775293,64.30053343791619,24.056053560945763,-0.013938114,4.892913341522217
