LossAfter,Time-Optimization,Itr,Time-SampleProc,LossBefore,Time,train-StdReturn,train-AverageReturn,train-EnvExecTime,train-PolicyExecTime,train-MaxReturn,train-MinReturn,Time-Sampling,ItrTime,train-NumTrajs,train-AverageDiscountedReturn,n_timesteps
-11.26327,0.5698866844177246,72,0.012847900390625,-0.016314307,657.3577711582184,53.41831573190768,-51.95898774892775,3.9256372451782227,6.564098119735718,108.85505716343187,-200.9725425491626,10.830908060073853,11.413912534713745,100,-36.261443444071375,730000
-6.2968216,0.5673305988311768,73,0.017470121383666992,0.00095671386,667.3879206180573,57.524669887825645,-59.284883795291115,3.4059882164001465,5.7159504890441895,56.474268988739745,-208.9791376153762,9.422945976257324,10.00816822052002,100,-38.592126756864914,740000
-11.360954,0.5970828533172607,74,0.015981435775756836,-0.020889001,676.0257823467255,57.000378732600105,-60.629271113502234,2.865196704864502,4.883491277694702,103.56659751398499,-216.12062775845436,8.001831293106079,8.61519455909729,100,-40.14702935067871,750000
-13.991754,0.5586104393005371,75,0.014171600341796875,-0.0027634033,687.4830543994904,61.44851072096614,-50.33506815277808,3.9376144409179688,6.571467161178589,73.01597641597277,-289.78613740608216,10.851279735565186,11.424527168273926,100,-34.127763733502945,760000
-8.225838,0.6363778114318848,76,0.02071857452392578,-0.010362231,697.8377819061279,61.957203411238815,-58.70384498535003,3.4811229705810547,5.8946473598480225,68.24110356545347,-198.8707964835368,9.676279783248901,10.333667278289795,100,-40.486526001560975,770000
-16.909744,0.7794413566589355,77,0.017436742782592773,0.029527301,708.4097883701324,61.25111085585519,-57.27681777818739,3.533878803253174,5.905185699462891,108.93017605680829,-236.35898943784946,9.74739408493042,10.544673681259155,100,-39.6494214215277,780000
-71.47979,0.5642662048339844,78,0.015535831451416016,-0.003149878,722.0190949440002,60.234729038674104,-40.86104367000537,4.644042730331421,7.92923641204834,105.34438930212305,-200.21285864204035,12.974123239517212,13.554391860961914,100,-28.635070533377696,790000
-20.124,0.5624620914459229,79,0.01824164390563965,-0.0075365724,730.4517350196838,48.76734011246882,-54.93074395636163,2.7878620624542236,4.794840335845947,103.09309048549058,-179.73427718033327,7.831265926361084,8.412291526794434,100,-33.5697663448101,800000
-10.426605,0.5768768787384033,80,0.013578414916992188,-0.011389087,738.9400973320007,46.523517024710344,-46.32542983641303,2.794185161590576,4.831431150436401,46.94697145572214,-242.7772472876252,7.8761513233184814,8.46710205078125,100,-28.905604893349246,810000
-5.9592633,0.5838308334350586,81,0.016089916229248047,0.007036853,750.3741714954376,47.43484941023261,-44.174079801178635,3.8776235580444336,6.596558094024658,65.22751332165629,-245.99944806113098,10.812423944473267,11.412636280059814,100,-25.608247462243607,820000
