train-AverageReturn,Time-Sampling,train-PolicyExecTime,n_timesteps,train-AverageDiscountedReturn,LossBefore,Time-SampleProc,train-NumTrajs,ItrTime,Time,train-MaxReturn,Itr,train-MinReturn,Time-Optimization,train-EnvExecTime,train-StdReturn,LossAfter
90.43445339713313,5.768099308013916,3.585702419281006,1000000,52.159951496687015,-1.1084177e-05,0.07757043838500977,100,6.0694334506988525,632.2944085597992,151.50241965405084,99,-49.77635723516354,0.22345495223999023,1.9901371002197266,35.44028096813152,-0.010967872
91.36689208472353,5.803476572036743,3.600320816040039,1010000,52.64691980884414,-1.1074545e-05,0.04441213607788086,100,6.0882568359375,638.3928503990173,157.85648777987322,100,-31.359966285530707,0.240098237991333,2.001662015914917,32.68554445644317,-0.010730311
93.59750167651326,6.04194450378418,3.725539207458496,1020000,54.62577240294761,-1.1022871e-05,0.04888463020324707,100,6.338642120361328,644.7420494556427,165.94797933842884,101,-28.443604731379516,0.24758577346801758,2.114283323287964,33.262068989785895,-0.015016341
102.73027144742207,6.033987760543823,3.7265686988830566,1030000,59.19379636011737,-1.097892e-05,0.0365450382232666,100,6.318133115768433,651.0727806091309,157.17339406880046,102,19.148657079290324,0.24735808372497559,2.105738639831543,27.05745363728451,-0.012898119
105.21624897148733,5.9525227546691895,3.6847970485687256,1040000,61.67402431743354,-1.0942214e-05,0.04363656044006348,100,6.237980365753174,657.3232936859131,154.25961707616162,103,1.3969913637206144,0.24159979820251465,2.0682716369628906,26.81164120614606,-0.0152047975
104.04922207183427,5.876657962799072,3.62552809715271,1050000,60.52015612320813,-1.0910096e-05,0.04584693908691406,100,6.161974668502808,663.496687412262,147.1646218566128,104,-1.9452983859397792,0.23920965194702148,2.053845167160034,25.952169944302792,-0.011761852
101.47412384991677,6.50550389289856,4.0184032917022705,1060000,58.991673797432725,-1.0834203e-05,0.04810976982116699,100,6.812073469161987,670.3203775882721,163.41459687510152,105,-36.24743227876284,0.2581791877746582,2.2710580825805664,37.5699241836528,-0.01108695
109.13952262950674,6.267410516738892,3.878117084503174,1070000,63.176942699073614,-1.0809442e-05,0.08603501319885254,100,6.580655574798584,676.9122135639191,186.17117007198874,106,32.790877478894465,0.22694134712219238,2.1809635162353516,28.083216948118128,-0.017263373
111.90897863622551,5.834338903427124,3.6123745441436768,1080000,64.36750857663465,-1.0747252e-05,0.0426485538482666,100,6.115652561187744,683.0402419567108,175.46654901997843,107,-58.79518475675972,0.23828959465026855,2.025862693786621,34.681936278626786,-0.010735267
113.82953719325604,5.993888854980469,3.726038694381714,1090000,65.29651188456057,-1.0740665e-05,0.05711245536804199,100,6.278990983963013,689.3293192386627,180.76936504261104,108,19.187034287002415,0.22766375541687012,2.0585896968841553,31.496124485406305,-0.0134372385
110.32697881750886,5.70935583114624,3.550187349319458,1100000,63.5804118082995,-1.0669976e-05,0.045978546142578125,100,5.987185716629028,695.3272013664246,169.53329596879928,109,-57.112562358933815,0.2315082550048828,1.9655086994171143,36.28496438118088,-0.0054515703
113.02896268005941,6.177244424819946,3.8271446228027344,1110000,65.39847280534606,-1.0654589e-05,0.05257058143615723,100,6.512150526046753,701.8503465652466,166.15812199548552,110,28.666958579490384,0.2819511890411377,2.13936710357666,29.662290077581385,0.011964578
120.18273842134627,6.907659292221069,4.277299880981445,1120000,69.4018729513748,-1.0582527e-05,0.06043696403503418,100,7.22639799118042,709.091607093811,184.825758153045,111,36.29773620526052,0.25799036026000977,2.4027655124664307,28.20941793713219,-0.008969889
116.56849021175569,6.642817497253418,4.12345027923584,1130000,67.46910699071569,-1.0549256e-05,0.11143231391906738,100,7.0370447635650635,716.1406283378601,192.22555939338488,112,12.135897680645208,0.2825324535369873,2.2936604022979736,33.55907380952701,-0.015894502
118.0820894929269,6.34637451171875,3.943718671798706,1140000,68.67924176381544,-1.0526724e-05,0.1195518970489502,100,6.7879040241241455,722.9415807723999,191.93097582077993,113,6.277290998440709,0.32149672508239746,2.1894798278808594,30.446326788047102,-0.01699981
121.12781458292045,6.020821809768677,3.728811502456665,1150000,69.03564961851578,-1.0467187e-05,0.06571626663208008,100,6.406318426132202,729.3631479740143,189.10637692615563,114,-45.57072071550442,0.3193933963775635,2.0874202251434326,33.05165070797902,-0.0182131
122.49814169042551,5.839879274368286,3.5923573970794678,1160000,70.88855783453954,-1.0457398e-05,0.06575798988342285,100,6.276858329772949,735.6507713794708,181.59720747121844,115,49.17121278496743,0.35924816131591797,2.0512852668762207,26.790683636665445,-0.01604937
129.025851935233,6.514575958251953,4.00996732711792,1170000,74.26811984473187,-1.03784105e-05,0.08435750007629395,100,6.922996759414673,742.5915937423706,201.1518647362686,116,44.269997387812964,0.323749303817749,2.2884843349456787,30.318000879897134,-0.014377641
127.83675238762085,6.307246446609497,3.892193555831909,1180000,72.93087268362633,-1.03491975e-05,0.077972412109375,100,6.608119964599609,749.2202010154724,206.52333375143738,117,41.27636439326766,0.21261239051818848,2.2030835151672363,28.399346855971448,-0.003173612
127.24465590977935,5.902462005615234,3.653536796569824,1190000,73.38239011564882,-1.0306591e-05,0.03635907173156738,100,6.16198468208313,755.3968162536621,182.77342999331722,118,29.788934449725957,0.22278809547424316,2.0513339042663574,28.268104280055862,-0.0051235394
131.21689171786613,5.7775702476501465,3.5795295238494873,1200000,75.6250069056656,-1.0280612e-05,0.0827338695526123,100,6.078152179718018,761.4848992824554,217.21812453407753,119,58.352892624811034,0.21765398979187012,2.0057995319366455,27.295423985459525,-0.000857343
123.20936671576301,5.738160133361816,3.5551767349243164,1210000,70.72496800910794,-1.0278829e-05,0.0451207160949707,100,6.0200605392456055,767.5154209136963,198.74487286523515,120,33.45100414244749,0.23647546768188477,1.989607334136963,33.20172677587016,-0.011817224
128.81182829706407,6.210179328918457,3.8422634601593018,1220000,74.71433858155271,-1.0243014e-05,0.051302194595336914,100,6.482282876968384,774.0084788799286,202.23190103719097,121,25.700237226206394,0.22048735618591309,2.160191297531128,33.61319594974092,-0.014671971
128.9400307683694,6.1022748947143555,3.784841775894165,1230000,73.56226162886075,-1.0200522e-05,0.04334282875061035,100,6.376807689666748,780.3962082862854,210.14806572032685,122,14.801823422009962,0.23097848892211914,2.1146457195281982,33.961078316243004,-0.014862549
125.57312925125119,5.962836742401123,3.6802377700805664,1240000,72.34212011234528,-1.0166907e-05,0.04426836967468262,100,6.224165439605713,786.6318819522858,177.49556228679344,123,28.405277553790427,0.2167966365814209,2.0800583362579346,28.7514175701715,-0.015637718
