train-MinReturn,train-StdReturn,LossAfter,train-NumTrajs,n_timesteps,Time-Sampling,ItrTime,train-EnvExecTime,Itr,train-AverageReturn,train-AverageDiscountedReturn,LossBefore,train-MaxReturn,Time-Optimization,Time-SampleProc,Time,train-PolicyExecTime
31.047154831091888,1.5503654475311004,-0.0021642202,100,1250000,24.554530382156372,25.812335968017578,9.266400337219238,124,34.80572564749099,26.89153506422971,-9.164544e-06,39.19378341956485,1.136059045791626,0.12103033065795898,3236.079470396042,14.570450067520142
31.109092151178807,1.265730889900991,-0.0008314332,100,1260000,24.718026876449585,25.942984104156494,9.316153526306152,125,34.791485724057694,26.883029835011506,-9.138298e-06,38.32347630769413,1.1145248413085938,0.10976362228393555,3262.0918486118317,14.68480634689331
31.517986949243816,1.484576923526343,-0.00015588428,100,1270000,24.65764045715332,25.88029646873474,9.345012187957764,126,34.66655403103929,26.750743682324988,-9.08214e-06,37.95324758931664,1.0867278575897217,0.13491559028625488,3288.0387485027313,14.600619316101074
31.098616089521066,1.4274708965176899,0.003794482,100,1280000,24.57360005378723,25.80886673927307,9.21920394897461,127,34.74469619150396,26.82530364103397,-9.025299e-06,38.3027850885652,1.122060775756836,0.11229324340820312,3313.910491466522,14.637251377105713
31.404806508683194,1.5267875861985072,-0.0015075916,100,1290000,24.686749696731567,25.924848318099976,9.295180082321167,128,34.76458745253,26.89869013911795,-8.99696e-06,38.40567729100968,1.1165039539337158,0.12034893035888672,3339.899743080139,14.681952953338623
31.618049765511095,1.463774991740198,-0.0014819654,100,1300000,24.408568620681763,25.630776405334473,9.206650257110596,129,34.99440757682767,27.10868603671923,-8.935115e-06,38.4198216017508,1.1011557579040527,0.12034344673156738,3365.592576265335,14.497747421264648
31.74716421064791,1.4588447430598188,0.0004420417,100,1310000,24.479356288909912,25.715178966522217,9.234139442443848,130,35.18491506881133,27.260790802335816,-8.917415e-06,38.562190085058425,1.1206398010253906,0.11446762084960938,3391.365992307663,14.534341096878052
31.781065360069398,1.4366588837814593,0.0010542726,100,1320000,25.87008047103882,27.17104148864746,9.736949682235718,131,34.93834881637806,26.99185310373533,-8.911988e-06,38.47953409909421,1.186762809753418,0.11343216896057129,3418.6018373966217,15.38507628440857
31.835529973558387,1.4228514538756445,0.004565662,100,1330000,25.347396850585938,26.601208448410034,9.535346031188965,132,34.92944214797617,26.947702933067777,-8.849911e-06,37.930624721894155,1.115664005279541,0.1370236873626709,3445.276004076004,15.081085920333862
31.325391427255003,1.4796158826747303,0.020161033,100,1340000,24.85778045654297,26.079836130142212,9.319217443466187,133,34.84337684743739,26.83556753369144,-8.779487e-06,38.24392321468297,1.106039047241211,0.11538910865783691,3471.4193155765533,14.818156719207764
32.106198084074386,1.2821559452391598,0.037706316,100,1350000,24.661482572555542,25.924606323242188,9.251869916915894,134,34.92436397890282,26.95506728588461,-8.778212e-06,37.976897812108305,1.142186164855957,0.12008976936340332,3497.413435459137,14.687373161315918
30.961535080026074,1.6056385150312131,0.036769878,100,1360000,24.477774381637573,25.701388597488403,9.201433181762695,135,34.90036659973263,26.92226850269793,-8.735691e-06,38.47769873504646,1.0933048725128174,0.12969684600830078,3523.1756463050842,14.567181587219238
31.001391675728588,1.459175884501025,-0.0011321034,100,1370000,24.58382558822632,25.837620973587036,9.253812789916992,136,34.72456584944625,26.765162140995617,-8.702786e-06,37.95445670705557,1.1287028789520264,0.12427830696105957,3549.0744955539703,14.615294456481934
31.36405379425263,1.6035623630518825,0.0010708323,100,1380000,24.516692638397217,25.75043821334839,9.231489419937134,137,34.90454472049911,26.968226405516116,-8.674312e-06,38.278927291860505,1.1202325820922852,0.11271095275878906,3574.8907001018524,14.570918798446655
31.670341976298495,1.5231038207344583,-0.0004602978,100,1390000,24.601768016815186,25.81824827194214,9.264488697052002,138,35.00196972502443,27.051495868812097,-8.6660875e-06,38.07226547893685,1.0969414710998535,0.11880064010620117,3600.7778956890106,14.627543926239014
31.28669935010643,1.5967851423877963,0.009907567,100,1400000,24.510220766067505,25.739362478256226,9.304750442504883,139,35.05304363755127,27.0415139923953,-8.620102e-06,38.37443679648226,1.1140329837799072,0.11446928977966309,3626.5830681324005,14.482009410858154
30.729118621961607,1.4570013002208986,0.0028688547,100,1410000,25.719114780426025,27.098320245742798,9.51742148399353,140,34.902968657404266,26.900993261468383,-8.604647e-06,37.71702575518003,1.2536029815673828,0.12421226501464844,3653.75040268898,15.470290422439575
31.38060489080846,1.493925326890104,0.014048223,100,1420000,26.97439742088318,28.22841238975525,9.832088708877563,141,35.025846622615184,26.985761727430837,-8.5675765e-06,37.840801414987325,1.1202137470245361,0.1330699920654297,3682.0534393787384,16.379993438720703
31.918233468408747,1.545120011524238,0.0035032895,100,1430000,24.786365747451782,26.059161901474,9.28702974319458,142,35.295925282423184,27.24513427245821,-8.548157e-06,38.26716028209943,1.127241611480713,0.14478516578674316,3708.1782734394073,14.781965970993042
31.088445138097256,1.6134048414694082,0.0067631616,100,1440000,24.89513921737671,26.16383957862854,9.316313028335571,143,34.91777774978338,26.89080198869046,-8.547926e-06,39.33225675284505,1.1241281032562256,0.14375591278076172,3734.4100143909454,14.857819318771362
31.182106283148826,1.5729507680533819,0.0055705076,100,1450000,24.78493094444275,26.02718210220337,9.330636978149414,144,35.048366394095076,26.982202565855292,-8.529128e-06,38.274227390439904,1.092846155166626,0.1486372947692871,3760.501048564911,14.741445541381836
31.912091555355783,1.5141792016684927,0.0054817474,100,1460000,24.86483383178711,26.13970708847046,9.33459758758545,145,35.25953983564421,27.20464858151017,-8.505779e-06,38.5686914437699,1.1395454406738281,0.13404417037963867,3786.7086515426636,14.792582511901855
31.559187089416238,1.4280450365189155,0.008373559,100,1470000,24.719712018966675,25.998846530914307,9.309496402740479,146,35.258333506768764,27.187949993141125,-8.486212e-06,38.76803185772341,1.1525516510009766,0.12538480758666992,3812.7722430229187,14.691513299942017
31.281367003439865,1.385736854989707,0.013282425,100,1480000,24.854866981506348,26.120622396469116,9.333438634872437,147,35.01460408023747,27.01630832524836,-8.452992e-06,38.30464890670143,1.1479463577270508,0.11674213409423828,3838.963732481003,14.79772400856018
30.79314400528723,1.6670669616064833,0.002334433,100,1490000,24.597764015197754,25.874194860458374,9.24343729019165,148,34.85489224946969,26.833488438387462,-8.404032e-06,38.399854581394344,1.129286766052246,0.14617133140563965,3864.909081697464,14.641012191772461
31.249470717410563,1.4712676722787104,-0.00087627035,100,1500000,24.525408506393433,25.76021671295166,9.236327648162842,149,35.13683472162759,27.139841312415243,-8.366575e-06,38.43330546683177,1.1079542636871338,0.12581205368041992,3890.727161884308,14.578608989715576
30.966104744045598,1.5797337468677692,-0.0001472039,100,1510000,24.913721323013306,26.162845134735107,9.38752794265747,150,34.91635496842709,26.923874834061607,-8.3565465e-06,39.35087258056847,1.1225230693817139,0.12529802322387695,3916.950460910797,14.808003187179565
30.954709219184476,1.5929471779785727,0.0037295823,100,1520000,24.82701015472412,26.085328578948975,9.307734966278076,151,34.62236875501845,26.63379527608808,-8.310768e-06,38.40216882995932,1.1381025314331055,0.11876392364501953,3943.1092760562897,14.797127485275269
31.885399741956995,1.4083504915162859,0.0055845506,100,1530000,24.88526964187622,26.1216983795166,9.358495235443115,152,34.91575859363184,26.922900371624,-8.267048e-06,38.4379471572287,1.1183531284332275,0.11693525314331055,3969.300616979599,14.81576919555664
32.479014653356785,1.4207182509966394,0.00088520296,100,1540000,24.952239274978638,26.25788450241089,9.365273475646973,153,35.294361374110466,27.315227736003553,-8.239579e-06,38.59129078949046,1.1537306308746338,0.15113067626953125,3995.6183178424835,14.871087551116943
31.57961087898131,1.2506758578533523,-5.107955e-05,100,1550000,25.113765954971313,26.329882860183716,9.382118463516235,154,34.96777783042615,26.958686552598564,-8.216526e-06,37.930391332696814,1.087174654006958,0.12815165519714355,4022.019280195236,15.013416528701782
31.484936816796598,1.442409513067227,0.0005739817,100,1560000,24.734893321990967,25.941421508789062,9.286123037338257,155,35.17964533068669,27.156354031536402,-8.164208e-06,39.0065934111932,1.0897777080535889,0.11606955528259277,4048.020715236664,14.730928182601929
31.06366329033873,1.5579493177122643,-0.0009142185,100,1570000,25.059832096099854,26.28709864616394,9.338533163070679,156,34.99819317040027,27.015770774361414,-8.142583e-06,38.43628673343329,1.1127264499664307,0.11379384994506836,4074.3726060390472,14.990537643432617
31.302731135466114,1.5032913667601724,0.005727108,100,1580000,24.58489203453064,25.807204008102417,9.237792253494263,157,35.23656453945792,27.23869259871793,-8.113445e-06,38.598396981355506,1.1157498359680176,0.10588884353637695,4100.24530339241,14.632246494293213
32.54541157106264,1.2697854373818163,-0.00017843032,100,1590000,24.652698040008545,25.93040180206299,9.25656771659851,158,35.085938578421334,27.087094516157023,-8.095608e-06,38.88079514474872,1.1561224460601807,0.12079429626464844,4126.242481231689,14.648605346679688
31.163399492059412,1.4346050835238535,-0.0008632534,100,1600000,24.529109716415405,25.781915187835693,9.216301202774048,159,35.04841170048484,27.040500813933086,-8.072033e-06,38.31257291180568,1.1089410781860352,0.14306306838989258,4152.100746631622,14.605005502700806
31.712703710914155,1.2714089963087518,-0.0020410917,100,1610000,24.61348867416382,25.8554470539093,9.264611005783081,160,35.23703426574881,27.212735336028185,-8.053154e-06,38.760530296423866,1.1241741180419922,0.11706876754760742,4178.021502256393,14.633745908737183
32.17665344320453,1.3011267410898053,0.0017538078,100,1620000,24.545263290405273,25.775951623916626,9.24022126197815,161,34.977273344488886,26.97228123371099,-8.022824e-06,37.80373929753995,1.108595609664917,0.12134528160095215,4203.860393047333,14.597246646881104
31.55993047232254,1.417242174631059,0.0006835414,100,1630000,24.48862910270691,25.70482325553894,9.246868133544922,162,35.155156940843646,27.14304604317788,-8.020167e-06,38.91461706406014,1.096919298171997,0.11841225624084473,4229.630391836166,14.540095090866089
31.408889298073888,1.4986871893721205,0.005277978,100,1640000,24.681126356124878,25.91540789604187,9.251497507095337,163,35.22657520383784,27.198772010386783,-7.994523e-06,38.256017081268865,1.1285400390625,0.10511326789855957,4255.618184566498,14.70887017250061
31.473349705742674,1.3880094326216819,0.0036383297,100,1650000,24.667963981628418,25.878788232803345,9.290117740631104,164,35.01234546443037,27.024964454443694,-7.985307e-06,38.21379559071321,1.101442813873291,0.10874819755554199,4281.559700965881,14.653423309326172
32.008941816116945,1.454520027051186,-0.0005018705,100,1660000,24.595702171325684,25.83814311027527,9.258769273757935,165,35.31717917844198,27.292697426905942,-7.947085e-06,38.55822485213615,1.1158061027526855,0.12574076652526855,4307.458405256271,14.623974561691284
31.493768147734198,1.464180373257962,0.0005656466,100,1670000,24.57223343849182,25.830349683761597,9.259490013122559,166,35.189423919133226,27.215599805720412,-7.919839e-06,39.494709244863316,1.1299068927764893,0.12758231163024902,4333.352974653244,14.591904878616333
32.125547628223224,1.4174287474660463,0.006407761,100,1680000,24.52458143234253,25.743264198303223,9.231858491897583,167,35.07873629047705,27.117613201277173,-7.897679e-06,38.88079555537159,1.0979502201080322,0.1200265884399414,4359.163817405701,14.581862688064575
31.834122031124416,1.3571095728223985,0.0020068404,100,1690000,24.695688247680664,25.943440198898315,9.281351804733276,168,34.96925461092445,27.013081467406842,-7.883753e-06,38.06949147195422,1.1340858936309814,0.11295032501220703,4385.168313741684,14.697874069213867
31.050171225047983,1.5692767360513185,0.0026674094,100,1700000,24.596851587295532,25.846069812774658,9.239824056625366,169,35.18576010655622,27.245325076803034,-7.873071e-06,39.01414864343453,1.1338067054748535,0.11471271514892578,4411.086920976639,14.635610103607178
31.703280612440338,1.3315124127448228,-0.0007637406,100,1710000,24.591561317443848,25.85782790184021,9.249902963638306,170,35.1514873878134,27.19349351809826,-7.869098e-06,38.36057304382543,1.122678518295288,0.14281034469604492,4437.011209964752,14.618888854980469
31.614659807120553,1.3398734764913525,-0.0013009423,100,1720000,24.590409994125366,25.865742444992065,9.293796300888062,171,35.03885029636328,27.0402565904691,-7.8499625e-06,38.47143406799617,1.1531522274017334,0.12148356437683105,4462.942450761795,14.569705963134766
31.381907866641292,1.5138109483648055,-0.0023245134,100,1730000,24.502970933914185,25.750064373016357,9.23594331741333,172,35.06750032216259,27.05974910383484,-7.859392e-06,37.929739021872344,1.1394290924072266,0.10696530342102051,4488.7642369270325,14.555678367614746
31.185688688577205,1.4036268583146092,-0.002743887,100,1740000,24.542247533798218,25.784350872039795,9.26850414276123,173,35.23550423715669,27.170525993836495,-7.834051e-06,37.770229858319894,1.1219170093536377,0.11937451362609863,4514.611809968948,14.558842897415161
33.009510672942056,1.5107826977241678,-0.00077802845,100,1750000,24.715949058532715,26.00106716156006,9.369144439697266,174,35.333967611554506,27.292640505910946,-7.820549e-06,39.452125532864,1.1614131927490234,0.12299704551696777,4540.673901319504,14.62864637374878
31.882076491714162,1.4335500624953141,-0.00088506733,100,1760000,24.61322045326233,25.829875707626343,9.228536605834961,175,35.35588105520491,27.239600834854958,-7.804864e-06,38.80208725454588,1.1009511947631836,0.11447978019714355,4566.574795722961,14.668952465057373
31.906118953037243,1.5054142730080569,-0.0014376598,100,1770000,24.481280088424683,25.721280097961426,9.218972444534302,176,34.9944289253016,26.852344040758222,-7.79072e-06,38.708211523561666,1.123835563659668,0.11553335189819336,4592.356604814529,14.54598617553711
31.113310422432225,1.4082237241720084,-0.0014349694,100,1780000,24.65936589241028,25.877922773361206,9.266363143920898,177,34.97258443342932,26.86636353458432,-7.7496325e-06,38.71755946914276,1.090379238128662,0.12745141983032227,4618.299730300903,14.671979188919067
31.37097769382432,1.5288722492165656,0.009304915,100,1790000,24.43411612510681,25.676738739013672,9.241229772567749,178,35.24872367095531,27.08513943146258,-7.727858e-06,39.189689946908274,1.111556053161621,0.13025212287902832,4644.044559717178,14.482616662979126
31.970290390230907,1.4234196249034736,0.014195411,100,1800000,24.68874430656433,25.928027153015137,9.273064374923706,179,35.444496518145115,27.262740415426382,-7.716348e-06,38.867864702943905,1.1218898296356201,0.11662578582763672,4670.043663263321,14.698819160461426
31.731678454881283,1.322512394854529,0.0020599053,100,1810000,24.58093285560608,25.823050498962402,9.24596619606018,180,35.30204452524324,27.134520208074893,-7.712036e-06,39.22066429982127,1.0905957221984863,0.15070772171020508,4695.930970191956,14.622320413589478
31.141820727356166,1.3960058173992413,-0.0024085324,100,1820000,24.511948823928833,25.740621328353882,9.235321998596191,181,35.24591207527278,27.11868371381572,-7.6942215e-06,38.52909447431985,1.118746280670166,0.10917139053344727,4721.732053518295,14.544246435165405
32.19072263479752,1.39771286106724,-0.0017281761,100,1830000,24.603198766708374,25.83137273788452,9.275481224060059,182,35.307155017192805,27.149030898266897,-7.653553e-06,38.498902994516186,1.1145501136779785,0.1121666431427002,4747.62931895256,14.610386371612549
31.250095596391,1.4423572263662767,-0.0019791895,100,1840000,24.50135827064514,25.745636463165283,9.226516246795654,183,35.16601316361197,27.05307170931102,-7.6269275e-06,38.472311707879804,1.131671667098999,0.1118311882019043,4773.438046216965,14.557171821594238
31.82075147932017,1.5678481356756508,0.0056384397,100,1850000,25.28629422187805,26.592730045318604,9.396913766860962,184,35.41881466940628,27.2365538850981,-7.610885e-06,39.31251419131588,1.190490484237671,0.114898681640625,4800.093546628952,15.13716435432434
31.394012449324396,1.4660442538657539,0.0025097048,100,1860000,24.809141159057617,26.040160655975342,9.30210828781128,185,35.43412402265507,27.262312319143508,-7.6038596e-06,38.53366639302634,1.1016526222229004,0.12857770919799805,4826.201708316803,14.775433778762817
32.207629958427255,1.411100200265881,0.0065625724,100,1870000,25.095985412597656,26.36432194709778,9.41065502166748,186,35.37275903302239,27.1658654960007,-7.578979e-06,39.170048301617065,1.1408417224884033,0.12656545639038086,4852.6368708610535,14.958162069320679
31.837752515605683,1.3816212120015168,0.004844268,100,1880000,24.855459690093994,26.075873374938965,9.28384280204773,187,35.4544468332674,27.225828854214424,-7.551155e-06,38.685624155438745,1.1100313663482666,0.1090857982635498,4878.780220508575,14.855435848236084
32.026315332879854,1.4792921734910012,0.011885784,100,1890000,24.813592195510864,26.08326745033264,9.335641145706177,188,35.487313061594115,27.240687683562957,-7.5158746e-06,38.69067697625491,1.1230049133300781,0.1455821990966797,4904.92654967308,14.757542610168457
33.018201488266094,1.3646617537995698,0.015964253,100,1900000,24.824716567993164,26.10348653793335,9.26686954498291,189,35.54407103014822,27.334641885662307,-7.4969253e-06,38.713408835640585,1.1443850994110107,0.13356709480285645,4931.0940108299255,14.831639766693115
31.609470221719587,1.4054699046372516,-0.0006864079,100,1910000,24.757060289382935,26.003376483917236,9.272093057632446,190,35.366846681799316,27.101956975775824,-7.45389e-06,38.58352292130549,1.1028506755828857,0.14192819595336914,4957.16389465332,14.772125720977783
31.734654991450288,1.5526123884497982,0.010899096,100,1920000,24.81672239303589,26.093880891799927,9.313453435897827,191,35.35789228581467,27.00869188874498,-7.4205545e-06,39.21340992268894,1.1455004215240479,0.1308896541595459,4983.331237316132,14.741503715515137
31.903342609379852,1.5004023435296223,0.006938016,100,1930000,24.403222799301147,25.642892122268677,9.144684314727783,192,35.639524702341355,27.280355449126418,-7.38545e-06,39.20328692461924,1.1312916278839111,0.10773539543151855,5009.043349742889,14.557436227798462
32.146124486359774,1.4053304158456081,0.00101935,100,1940000,24.680535554885864,25.928429126739502,9.230473756790161,193,35.659837128150045,27.311786958305063,-7.355832e-06,38.44492777933315,1.0913236141204834,0.1558361053466797,5035.038910627365,14.729645490646362
31.97764206283552,1.445549438045013,0.0003590819,100,1950000,24.913740873336792,26.157277584075928,9.35035252571106,194,35.5162703424644,27.214903144757177,-7.331453e-06,38.58062218342994,1.12251877784729,0.12034082412719727,5061.265377521515,14.837043046951294
